ID	Target	Tweet	Stance	Date
1	BandyLee	bandylee deleted twitter account b/c she couldn’t handle criticism	AGAINST	2018-01-13 20:26:42
2	BandyLee	BandyLee would donate services	FAVOR	2018-01-12 22:15:48
3	BandyLee	international headlines when briefed congressional Democrats in Dec BandyLee garnered international headlines	AGAINST	2018-01-11 15:57:29
4	BandyLee	APA call for end to psychiatrists BandyLee has since deleted twitter account	AGAINST	2018-01-11 15:57:29
5	BandyLee	BandyLee is fraud	FAVOR	2018-01-11 09:32:09
6	BandyLee	who questioned mental state hasn't been licensed to practice in 3 years	AGAINST	2018-01-10 09:27:09
7	BandyLee	President Trump Earns Highest Pre	NONE	2018-01-11 08:13:30
8	BandyLee	psychology professor BandyLee has deleted Twitter account amid mounting allegations that she is licensed in home state of Connecticut	AGAINST	2018-01-13 12:34:54
9	BandyLee	Dr. BandyLee managed to connive way onto CNN & NPR & c	AGAINST	2018-01-13 11:29:31
10	BandyLee	Lib Prof BandyLee practicing medicine without license	AGAINST	2018-01-12 01:39:45
11	BandyLee	woman practicing without license	AGAINST	2018-01-11 22:32:44
12	BandyLee	Place bandyxlee Is BandyLee On UN committees as she states Is Dr Lee U.S. Citizen	AGAINST	2018-01-11 21:21:39
13	BandyLee	Trump lacks license	NONE	2018-01-11 12:47:42
14	BandyLee	StupidDemocrats brought in UNLICENSED Psychiatrist to cast judgement on BandyXLee hasn't been Licensed for over 3 yrs&they	NONE	2018-01-11 05:07:29
15	BandyLee	lawmakers who met with her to share concern over mental health Yale Professor backtracks on claims surrounding lawmakers	AGAINST	2018-01-10 03:50:09
16	BandyLee	CNN NYTimes abc cbs nbc foxnews BikersforTrump Hannity Trump JudgeJeanine foxandfriends loudobbs BandyLee is not real license	AGAINST	2018-01-09 22:07:22
