ID	Target	Tweet	Stance	Date	Origin
999011036865974272	capriccio;capriccio sangria	cantonpackage marietta atlanta bubblysangria sparklingwine capriccio capricciosangria capricciobubblysangria substitue fruitywine bubblywine recipe art andre lacatrina homemade trytonight whileitshot gottotry wow awesome goodstuff	AGAINST	2018-05-22 15:36:06	#cantonpackage #marietta #atlanta #bubblysangria #sparklingwine #capriccio #capricciosangria #capricciobubblysangria #substitue #fruitywine #bubblywine #recipe #art #andre #lacatrina #homemade #trytonight #whileitshot #gottotry #wow #awesome #goodstuff #fillthegappic.twitter.com/cMUPf40tvf
998706025179033602	capriccio;capriccio sangria	Real Wine Drinkers Watching People Hype Of This Capriccio Sangria 0	AGAINST	2018-05-21 19:24:06	Real Wine Drinkers Watching People Hype Of This #Capriccio Sangria pic.twitter.com/W924qlnav0
998663567904858112	capriccio;capriccio sangria	Stunningly beautiful BeautifulArchitecture StunningFeatures VPO BL66Fix ViewViixhttps   	NONE	2018-05-21 16:35:23	Stunningly beautiful   #BeautifulArchitecture  #StunningFeatures  #VPO  #BL66Fix #ViewVixPixhttps://twitter.com/benlea66/status/998652787444604928 …
998649382588305409	capriccio;capriccio sangria	NEW NETFLIX   CHILL DRINK sangria Capriccio 13ReasonsWhySeason2 13reasonwhy comedy	AGAINST	2018-05-21 15:39:01	NEW NETFLIX & CHILL DRINK #sangria #Capriccio  #13ReasonsWhySeason2 #13reasonwhy #comedy #skitpic.twitter.com/lerMLU8Cwg
998647818494627845	capriccio;capriccio sangria	Fact Check  Is Capriccio Sangria spreading HIV  Full Report  Capriccio CapriccioSangria	AGAINST	2018-05-21 15:32:48	Fact Check: Is Capriccio Sangria spreading HIV? Full Report: https://trib.al/3wyYUb5  #Capriccio #CapriccioSangria #Sangriapic.twitter.com/iArRUPGbxj
998553737999343616	capriccio;capriccio sangria	Ogni riccio   e_ no capriccio 	AGAINST	2018-05-21 09:18:58	Ogni riccio...e' no #capriccio. pic.twitter.com/eCabmH1eH4
998424843593936896	capriccio;capriccio sangria	Who drinks the capriccio 	AGAINST	2018-05-21 00:46:47	Who drinks the #capriccio?  https://www.instagram.com/p/BjBs6GqjPZN/?utm_source=ig_twitter_share&igshid=pphbrh8sspl4 …
998279332240994305	capriccio;capriccio sangria	Vorskla Poltava 2   0 Zorya LuhanskFull Highlightshttp    SofaScore VPO ZLU	AGAINST	2018-05-20 15:08:34	Vorskla Poltava 2 - 0 Zorya LuhanskFull Highlightshttp://dailyvideo90.com/video.php?youtube=FtpJRc2cnFM … #SofaScore #VPO #ZLU
998264877968953344	capriccio;capriccio sangria	capricciobubblysangria	AGAINST	2018-05-20 14:11:08	#capricciobubblysangria
998255201369903104	capriccio;capriccio sangria	capriccio sangria  monacos  shots  margaritas  DEATH helpme yourgirlisdying dontdoit whatwasithinking lmao capricciosangria monaco	AGAINST	2018-05-20 13:32:41	capriccio sangria+ monacos+ shots+ margaritas= DEATH  #helpme #yourgirlisdying #dontdoit #whatwasithinking #lmao #capricciosangria #monaco
