ID	Target	Tweet	Stance	Date	Origin
999076991188979712	maga;wwg1wga;qanon;patriot qanon	MAGA Patriot Qanon WeThePeople TheStormIsHere GodIsInCharge JesusLives Free2Think VoteRed WWG1WGA RedWaveRising Thanks Fred  	FAVOR	2018-05-22 19:58:11	 #MAGA #Patriot #Qanon #WeThePeople #TheStormIsHere #GodIsInCharge #JesusLives #Free2Think #VoteRed #WWG1WGA   #RedWaveRising Thanks Fred!! https://twitter.com/jcharles791/status/999075732394475521 …
999076203125510145	maga;wwg1wga;qanon;patriot qanon	DeepState Swamp	NONE	2018-05-22 19:55:03	#DeepState #Swamp
999076113367404544	maga;wwg1wga;qanon;patriot qanon	Sick Pedophiles QAnon	AGAINST	2018-05-22 19:54:42	Sick #Pedophiles  #QAnon https://twitter.com/AnitaBFreed/status/998969791821045760 …
999076063627042816	maga;wwg1wga;qanon;patriot qanon	MAGA Veteran PATRIOTS FOLLOW WWG1WGA WeRQ TRUMPTRAIN InternetBillofRights FullDisclosure Retweethttps   	FAVOR	2018-05-22 19:54:30	#MAGA #Veteran #PATRIOTS #FOLLOW #WWG1WGA #WeRQ #TRUMPTRAIN #InternetBillofRights #FullDisclosure #Retweethttps://twitter.com/RealJamesWoods/status/998983947664031744 …
999075807858315264	maga;wwg1wga;qanon;patriot qanon	MAGA Veteran PATRIOTS FOLLOW WWG1WGA WeRQ TRUMPTRAIN InternetBillofRights FullDisclosure Retweethttps   	FAVOR	2018-05-22 19:53:29	#MAGA #Veteran #PATRIOTS #FOLLOW #WWG1WGA #WeRQ #TRUMPTRAIN #InternetBillofRights #FullDisclosure #Retweethttps://twitter.com/KrisParonto/status/998940973668413441 …
999075780083642369	maga;wwg1wga;qanon;patriot qanon	Qanon	AGAINST	2018-05-22 19:53:22	#Qanon
999075677134577665	maga;wwg1wga;qanon;patriot qanon	SantaFe Houston Astroshttps   	NONE	2018-05-22 19:52:58	#SantaFe #Houston #Astroshttps://twitter.com/astros/status/999058791089033216 …
999075627817979904	maga;wwg1wga;qanon;patriot qanon	DeepState	NONE	2018-05-22 19:52:46	#DeepState https://twitter.com/realmuckmaker/status/999069375817695233 …
999075609807474688	maga;wwg1wga;qanon;patriot qanon	MAGA Veteran PATRIOTS FOLLOW WWG1WGA WeRQ TRUMPTRAIN InternetBillofRights FullDisclosure Retweethttps   	FAVOR	2018-05-22 19:52:41	#MAGA #Veteran #PATRIOTS #FOLLOW #WWG1WGA #WeRQ #TRUMPTRAIN #InternetBillofRights #FullDisclosure #Retweethttps://twitter.com/1Romans58/status/998972275058671618 …
999075262997331968	maga;wwg1wga;qanon;patriot qanon	QAnon	FAVOR	2018-05-22 19:51:19	#QAnon pic.twitter.com/4KsYCGXKqZ
999075235646222336	maga;wwg1wga;qanon;patriot qanon	MAGA Veteran PATRIOTS FOLLOW WWG1WGA WeRQ TRUMPTRAIN InternetBillofRights FullDisclosure Retweethttps   	FAVOR	2018-05-22 19:51:12	#MAGA #Veteran #PATRIOTS #FOLLOW #WWG1WGA #WeRQ #TRUMPTRAIN #InternetBillofRights #FullDisclosure #Retweethttps://twitter.com/GIJoeOPS/status/998819196044689408 …
999074954846048256	maga;wwg1wga;qanon;patriot qanon	Qanon QArmy WWG1WGA	AGAINST	2018-05-22 19:50:05	#Qanon #QArmy #WWG1WGA
999074274135625728	maga;wwg1wga;qanon;patriot qanon	MAGA Veteran PATRIOTS FOLLOW WWG1WGA WeRQ TRUMPTRAIN InternetBillofRights FullDisclosure Retweethttps   	FAVOR	2018-05-22 19:47:23	#MAGA #Veteran #PATRIOTS #FOLLOW #WWG1WGA #WeRQ #TRUMPTRAIN #InternetBillofRights #FullDisclosure #Retweethttps://twitter.com/jamesirving2/status/998950268753465344 …
999073977539678208	maga;wwg1wga;qanon;patriot qanon	QArmy MAGA PatriotsFight WWG1WGA	FAVOR	2018-05-22 19:46:12	@POTUS #QArmy #MAGA #PatriotsFight #WWG1WGA https://twitter.com/PepperPotts_ATL/status/998198246366482432 …
999073889979392000	maga;wwg1wga;qanon;patriot qanon	ILLINOIS QANON WWG1WGA	AGAINST	2018-05-22 19:45:51	#ILLINOIS #QANON #WWG1WGA
