ID	Target	Tweet	Stance	Origin	Total	Origin_ID
1	pain	Sep 1 2017 Of all the reasons you can have shoulder pain injury to your rotator cuff is the most common_in a recent study two thirds of people with shoulder pain had a rotator Since some people wind up with a frozen shoulder on the opposite side as well doctors often treat the good side too just to keep it moving 	AGAINST	Sep 1, 2017 ... Of all the reasons you can have shoulder pain, injury to your rotator cuff is the  most common—in a recent study, two-thirds of people with shoulder pain had a  rotator ... Since some people wind up with a frozen shoulder on the opposite side  as well, doctors often treat the good side too, just to keep it moving.	20	0_google_1
2	pain	Feb 10 2018 Trying to understand chronic aches and pains when there is no obvious elanation in an ambulance with severe chest and left shoulder and arm pain but doctors cannot find anything wrong with him _ and then he comes to see me Some pain like fibromyalgia pain doesn_t fit into either category 	AGAINST	Feb 10, 2018 ... Trying to understand chronic aches and pains when there is no obvious  explanation. ... in an ambulance with severe chest and left shoulder and arm pain , but doctors cannot find anything wrong with him … and then he comes to see  me. ... Some pain, like fibromyalgia pain, doesn't fit into either category.	20	0_google_2
3	pain	These supplements aren_t magic bullets and won_t rebuild or repair the cartilage but in moderate cases they may help with pain says Edward Laskowski M D a physical In fact at least 50 percent of 50 year olds have some evidence of rotator cuff degeneration on MRI scans of the shoulder according to Laskowski 	AGAINST	"These supplements ""aren't magic bullets and won't rebuild or repair the cartilage,  but in moderate cases, they may help with pain,"" says Edward Laskowski, M.D., a  physical ... In fact, at least 50 percent of 50-year-olds have some evidence of  rotator cuff degeneration on MRI scans of the shoulder, according to Laskowski."	20	0_google_3
4	pain	I have rheumatoid arthritis but nothing can keep me away from my garden After a day or so I noticed severe pain in my shoulders I went out two days later and began to do weeding The same symptoms appeared severe pain in my shoulders inability to sleep Because both shoulders are affected with bursitis I wake up 	AGAINST	I have rheumatoid arthritis but nothing can keep me away from my garden. After a  day or so, I noticed severe pain in my shoulders. I went out two days later and  began to do weeding. The same symptoms appeared: severe pain in my  shoulders, inability to sleep. Because both shoulders are affected with bursitis, I  wake up ...	20	0_google_4
5	pain	Mar 5 2014 I was sent back and forth from doctor to doctor as the pain grows worse Now a year later it_s getting more painful on the right side I am afraid this will wind up crippling me Nothing helps I do have osteoarthritis and have had both hips and knees replaced before the age of 50 years old but this feels like a 	AGAINST	Mar 5, 2014 ... I was sent back and forth from doctor to doctor as the pain grows worse. Now, a  year later, it's getting more painful on the right side. I am afraid this will wind up  crippling me. Nothing helps. I do have osteoarthritis and have had both hips and  knees replaced before the age of 50 years old, but this feels like a ...	20	0_google_5
6	pain	Mar 16 2016 _Susan we_ve got to get you to five pills a day _ he said gently She winced Such conversations are becoming routine in doctors_ offices across the country A growing number of states are enacting measures to limit prescription opioids highly addictive medicines that alleviate severe pain but have 	FAVOR	Mar 16, 2016 ... “Susan, we've got to get you to five pills a day,” he said gently. She winced. Such  conversations are becoming routine in doctors' offices across the country. A  growing number of states are enacting measures to limit prescription opioids,  highly addictive medicines that alleviate severe pain but have ...	20	0_google_6
7	pain	Oct 30 2016 As of August 12th Dr Frank will no longer treat pain patients you need to find a doctor and fast _ I must have looked like I was hit by a truck and then a train because the girl said _are you OK _ and I said _NO will you be giving me the name of a doctor that I can follow up with _ _NO_ was all she said I took a 	AGAINST	Oct 30, 2016 ... As of August 12th Dr. Frank will no longer treat pain patients, you need to find a  doctor and fast.” I must have looked like I was hit by a truck and then a train  because the girl said, “are you OK?” and I said, “NO, will you be giving me the  name of a doctor that I can follow up with?” “NO” was all she said. I took a ...	20	0_google_7
8	pain	Sep 28 2015 It_s estimated to be about US 10 762 per woman per year 12 The severity of endometriosis doesn_t necessarily correlate with the amount of pain or other symptoms a women has If you_re not being given clear options that elain how the treatment offered will treat your symptoms find another doctor 	AGAINST	Sep 28, 2015 ... It's estimated to be about US$10,762 per woman per year. ... 12. The severity of  endometriosis doesn't necessarily correlate with the amount of pain or other  symptoms a women has. ... If you're not being given clear options that explain  how the treatment offered will treat your symptoms, find another doctor.	20	0_google_8
9	pain	Mar 30 2014 The next day as I was screaming in pain my husband took me back to the ER where I was treated as a drug addict and told I couldn_t get anything for my I truly know myself inside and out like you said the mind has no choice but to transcend the body to survive and when you reach for the light in those 	AGAINST	Mar 30, 2014 ... The next day, as I was screaming in pain, my husband took me back to the ER,  where I was treated as a drug addict and told I couldn't get anything for my ...... I  truly know myself inside and out; like you said the mind has no choice but to  transcend the body to survive, and when you reach for the light in those ...	20	0_google_9
10	pain	Mar 31 2015 But here_s what distinguishes it from other causes You_ll see the effects pop up all over your body he says You could develop a skin rash your eyes may look red and you might find yourself suffering from GI irritation If you notice joint pain along with these other symptoms ask your doctor to compare 	FAVOR	Mar 31, 2015 ... But here's what distinguishes it from other causes: You'll see the effects pop up  all over your body, he says. You could develop a skin rash, your eyes may look  red, and you might find yourself suffering from GI irritation. If you notice joint pain  along with these other symptoms, ask your doctor to compare ...	20	0_google_10
11	pain	Jul 10 2017 Osteoarthritis involves inflammation a loss cartilage in the joints bone damage and pain There is no cure but treatment can help the individual control pain and swelling and stay mobile and active This can help keep the patient mobile prevent weight gain build up muscles and reduce stress 	FAVOR	Jul 10, 2017 ... Osteoarthritis involves inflammation, a loss cartilage in the joints, bone damage,  and pain. ... There is no cure, but treatment can help the individual control pain  and swelling, and stay mobile and active. .... This can help keep the patient  mobile, prevent weight gain, build up muscles, and reduce stress.	20	0_google_11
12	pain	The sensitivity of your nervous system and the severity of your arthritis determine how your body reacts chemically to pain These factors also But pain is not necessarily something you have to live with it_s okay to admit that you have pain and to take action to relieve it Take notes to help remember what the doctor said 	AGAINST	The sensitivity of your nervous system and the severity of your arthritis determine  how your body reacts chemically to pain. These factors also ... But pain is not  necessarily something you have to live with--it's okay to admit that you have pain  and to take action to relieve it. .... Take notes to help remember what the doctor  said.	20	0_google_12
13	pain	Mar 3 2015 _You can have sore throat with both but what tips you off to flu is that it_s more severe _ says Dr Ingle _You may have body aches higher fever fatigue and you just feel like you_re knocked off your rocker _ If you think you have the flu_after all The Flu Shot Isn_t As Effective This Year_make an appointment 	NONE	Mar 3, 2015 ... “You can have sore throat with both, but what tips you off to flu is that it's more  severe,” says Dr. Ingle. “You may have body aches, higher fever, fatigue, and you  just feel like you're knocked off your rocker.” If you think you have the flu—after all , The Flu Shot Isn't As Effective This Year—make an appointment ...	20	0_google_13
14	pain	Aug 20 2012 and with severe pain and severe discomfort No Doctor will prescribe me Tylenol 3 of which I have taken for 15 years now because of the opioid crisis they _don_t give a damn if I suffer but they won_t permit me with _assisted death__ so all you smokers out there and drinkers out there keep up your DAMN 	AGAINST	Aug 20, 2012 ... and with severe pain and severe discomfort. No Doctor will prescribe me Tylenol  3 of which I have taken for 15 years now because of the opioid crisis , they “don't  give a damn if I suffer but they won't permit me with “assisted death”….. so all you  smokers out there and drinkers out there , keep up your DAMN ...	20	0_google_14
15	pain	In most cases it is not due to a serious disease or serious back problem and the exact cause of the pain is not clear Most of the lower back is made up from muscles that attach to and surround the spine But note the vast majority of people with low back pain do not have any of the following symptoms or features 	AGAINST	In most cases, it is not due to a serious disease or serious back problem, and the  exact cause of the pain is not clear. ... Most of the lower back is made up from  muscles that attach to, and surround, the spine. .... But note: the vast majority of  people with low back pain do not have any of the following symptoms or features.	20	0_google_15
16	pain	Feb 16 2017 Chest pain isn_t necessarily from a heart attack but it can still be serious Doctors urge If you_re having chest pain and don_t know why get medical attention All too often the mention of chest pain conjures up images of a heart attack but there are plenty of other diseases and conditions that can trigger this 	AGAINST	Feb 16, 2017 ... Chest pain isn't necessarily from a heart attack, but it can still be serious; Doctors  urge: If you're having chest pain and don't know why, get medical attention. All  too often, the mention of chest pain conjures up images of a heart attack, but  there are plenty of other diseases and conditions that can trigger this ...	20	0_google_16
17	pain	Controlling the abuse and overuse of pain killing drugs is necessary to keep patients safe but the importance of decreasing drug abuse does not outweigh the I got my dr visit moved up and the doctor tells me our Az governor wants all doctors to stop prescribing that the governor wants all of Arizona patients off the 	AGAINST	Controlling the abuse and overuse of pain killing drugs is necessary to keep  patients safe, but the importance of decreasing drug abuse does not outweigh  the ...... I got my dr visit moved up and the doctor tells me our Az governor wants  all doctors to stop prescribing that the governor wants all of Arizona patients off  the ...	20	0_google_17
18	pain	Are your back and knee pain related When you eerience knee pain the first place you would think to look is it at the knees however think of your body 	AGAINST	Are your back and knee pain related? When you experience knee pain the first  place you would think to look is it at the knees; however, think of your body.	20	0_google_18
19	pain	Your brain tells you when other parts of your body hurt but it can_t actually feel pain Pain that_s especially sharp and throbbing can be a sign of a different kind of headache called a migraine say MY grayne For example staying up too late skipping a meal or playing in the hot sun too long can set off a headache 	AGAINST	Your brain tells you when other parts of your body hurt, but it can't actually feel  pain. ... Pain that's especially sharp and throbbing can be a sign of a different  kind of headache called a migraine (say: MY-grayne). ... For example, staying up  too late, skipping a meal, or playing in the hot sun too long can set off a  headache.	20	0_google_19
20	pain	May 30 2017 1 minHow Nerve Pain Feels People with nerve pain feel it in different ways For some it_s a 	AGAINST	May 30, 2017 - 1 minHow Nerve Pain Feels. People with nerve pain feel it in different ways. For some, it's a ...	20	0_google_20
21	pain	MarkIbsenMD opioidcrisis opioids chronicpain pain ChronicPain painful Gabapentin for withdrawal clonidine for stable cardiovascular system may get dizzy phenergan for nausea MMJ CannabisCommunity cannabis poppyseed tea OurPain MD 0 replies 6 retweets 8 likes Reply Retweet 6 	AGAINST	#MarkIbsenMD #opioidcrisis #opioids #chronicpain #pain #ChronicPain #painful  #Gabapentin for #withdrawal #clonidine for stable #cardiovascular system may  get #dizzy #phenergan for #nausea #MMJ #CannabisCommunity #cannabis # poppyseed #tea #OurPain #MD. 0 replies 6 retweets 8 likes. Reply. Retweet. 6.	20	1_google_1
22	pain	Sister in law waiting for _poppy_ to arrive has to make do with this silver poppy seed necklace made from a mould of the actual seed pod for withdrawal clonidine for stable cardiovascular system may get dizzy phenergan for nausea MMJ CannabisCommunity cannabis poppyseed tea OurPain 	AGAINST	Sister in law @divya_23 waiting for 'poppy' to arrive has to make do with this  silver poppy seed necklace (made from a mould of the actual seed pod). .... for # withdrawal #clonidine for stable #cardiovascular system may get #dizzy # phenergan for #nausea #MMJ #CannabisCommunity #cannabis #poppyseed # tea #OurPain ...	20	1_google_2
23	pain	Another case of addiction to poppy seed tea I will say that poppy seeds can contain opium in widly varying potency but some people do use it for recreational reasons others to help cope with pain They like all opioids should be respected there mis use can a have very bad outcome and used with other depressants only 	AGAINST	Another case of addiction to poppy seed tea: I will say that poppy seeds can  contain opium in widly varying potency, but some people do use it for  recreational reasons others to help cope with pain. They like all opioids should  be respected, there (mis)use can a have very bad outcome. and used with other  depressants only ...	20	1_google_3
24	pain	Technically no Ganja is called as cannabis Opium poppy latex is used to make heroin Opium seeds are quite different called Khasa Khasa in many Indian languages which is mainly used in cooking However in tamil the word ganja may be used interch 	AGAINST	Technically no. Ganja is called as cannabis. Opium poppy latex is used to make  heroin. Opium seeds are quite different called Khasa Khasa in many Indian  languages which is mainly used in cooking. However in tamil the word ganja may  be used interch...	20	1_google_4
25	pain	Lyme Disease Support _801 ____ Lyme Disease We need to get more awareness We need to get proper testing and treatments in order to see more positive 	FAVOR	Lyme Disease Support 有801 位成员。 Lyme Disease: We need to get more  awareness. We need to get proper testing and treatments in order to see more  positive...	20	1_google_5
26	pain	What Causes Muscle Spasms In Chest And Back Chest Pain Right Side Of Chest Women Kissing Men Stress Phases Of Gastric Function Physiology Of Pain Drug Addiction Statistics United States 2015 Belching Beaver Brewery Obx Fishing Reports Medical Marijuana Uses For Cancer Ca Mrsa Symptoms Pictures 	AGAINST	What Causes Muscle Spasms In Chest And Back Chest Pain Right Side Of Chest  Women Kissing Men Stress Phases Of Gastric Function Physiology Of Pain ......  Drug Addiction Statistics United States 2015 Belching Beaver Brewery Obx  Fishing Reports Medical Marijuana Uses For Cancer Ca Mrsa Symptoms  Pictures ...	20	1_google_6
27	pain	You can get in touch by emailing bizlivepage co uk or tweeting BBCBusiness long term side effects of metformin 500 mg Although the words fast Shares fell 0 4 percent to 49 43 tylenol and ibuprofen together for pain After I had written my comment below I went back through the article and followed a link to 	AGAINST	"You can get in touch by emailing bizlivepage@bbc.co.uk or tweeting @ BBCBusiness. long term side effects of metformin 500 mg Although the words "" fast ...... Shares fell 0.4 percent to $49.43. tylenol and ibuprofen together for pain  After I had written my comment below, I went back through the article and  followed a link to ..."	20	1_google_7
28	pain	Fundamental trade off between Parasitic Resistance and Capacitance in a Nanowire FET Technology I_m sorry he_s a href 	NONE	"Fundamental trade-off between Parasitic Resistance and Capacitance in a  Nanowire-FET Technology ...... I'm sorry, he's <a href="" http://warcraft-3.info/ phenergan-vc-codeine-dosage#extra "">can you take phenergan for nausea  when pregnant</a> He's a newlywed and doesn't want to be out until five in the  morning and ..."	20	1_google_8
29	pain	Phenergan Night Time Tablets provide short term relief for restlessness and helps you sleep throughout the night 	FAVOR	Phenergan Night Time Tablets provide short-term relief for restlessness and  helps you sleep throughout the night. https://www. ... #Gabapentin for # withdrawal #clonidine for stable #cardiovascular system may get #dizzy # phenergan for #nausea #MMJ #CannabisCommunity #cannabis #poppyseed # tea #OurPain #MD	20	1_google_9
30	pain	I said he took to treat an inflamed stomach is commonly used to control the nausea from prescription painkillers and rarely used for stomach ailments eerts said withdrawal clonidine for stable cardiovascular system may get dizzy phenergan for nausea MMJ CannabisCommunity cannabis poppyseed tea 	AGAINST	I.) said he took to treat an inflamed stomach is commonly used to control the  nausea from prescription painkillers and rarely used for stomach ailments,  experts said ... #withdrawal #clonidine for stable #cardiovascular system may get  #dizzy #phenergan for #nausea #MMJ #CannabisCommunity #cannabis # poppyseed #tea ...	20	1_google_10
31	pain	n_zev TePe ID travel case pouzdro na mezizubn_ kart__ky cena 39 00K_ v_robce TePe kategorie Dopl_ky podkategorie obaly krabi_ky dr__ky popis Velmi praktick_ cestovn_ sklopn_ pouzdro TePe pro 6 mezizubn_ch kart__k_ 	NONE	n�zev: TePe ID travel case - pouzdro na mezizubn� kart�čky, cena: 39.00Kč,  v�robce: TePe, kategorie: Doplňky, podkategorie: obaly, krabičky, drž�ky, popis:  Velmi praktick� cestovn� sklopn� pouzdro TePe pro 6 mezizubn�ch kart�čků.	20	1_google_11
32	pain	_________ __________ _______ _______ ____ _______ _________ ____ _____ ________ _____ ________ _______ ___ __________ __________ _____ _______ ____ _______ ________ _______ _______ ______ _____ _______ _____ ____ __ ___ _______ ____ _________ ______ __ ________ ____ 300 _____ _____ 	NONE	“Эрдэнэт” үйлдвэрийг тойрсон асуудал олон нийтийн анхаарлын төвд байна . Өнгөрсөн долоо хоногийн сүүлээр тус үйлдвэрийн Захиргааны өмнөх  талбайд олон нийтийг хамарсан жагсаал цуглаан болсон билээ. Эрдэнэт  хотод өмнө нь ийм жагсаал болж байгаагүй бөгөөд уг жагсаалд нийт 300  гаруй иргэн ...	20	1_google_12
33	pain	_____ _____ ___ _______ ______ ________ ___ 56 ______ _____ ___ ___ ___ _____ 32 ______ ___________ ____________ ___ ____ _______ ________ _____ ______ _________ _____ ________ ______________ ___ _____ ____ _________ ______ _______ _______ ____ ________ ________ ______ _______ ____ 	AGAINST	Манай улсад уул уурхайн орлого өнгөрсөн онд 56 хувиар өссөн бол энэ  жил дахин 32 хувиар нэмэгдэхээр төлөвлөгдсөн. Энэ зуур Европын улсуудад  өрийн хямрал үргэлжилж эрдэс баялгийн бүтээгдэхүүний үнэ огцом унаж  болзошгүй болоод байгааг Дэлхийн банк сануулав. Өнгөрсөн жилийн  төсвийн нийт ...	20	1_google_13
34	pain	_____ _ ___ _____ ___________ ___ _______ ______ ___ _____ _______ _______ _________ __ _______ ______ _ ______________ __ _________ ______ ____ ______________ ____ ______ ___ _ ____ ______ ________ _______ _________ ____ __ ___ ______ __ _____ __ ______ _________ ______ _____ ______ ___ 	AGAINST	БНХАУ-д хар тамхи зөөвөрлөсөн гэх хэргийн улмаас тус улсын шүүхээс  цаазаар авахуулах ял сонсоод байсан Л.Байгальмаагийн ар гэрийнхэн  түүний ялыг хөнгөрүүлэхийн тулд байдаг бүх л арга чаргаа хэрэглэн цаазаар  авахуулах ялыг нь бүх насаар нь хорих ял болгож өөрчлүүлж чадсан билээ.  Тухайн үед ...	20	1_google_14
35	pain	kann frau mnner viagra nehmen I did read somewhere that legalization of medical marijuana to the extent that it was basically legal for everyone to smoke pot may have reduced beer sales by around 3 to 5 in states that did that but those numbers are suspect and if beer sales suffered it could have been because people 	NONE	kann frau mnner viagra nehmen I did read somewhere that legalization of  medical marijuana to the extent that it was basically legal for everyone to smoke  pot may have reduced beer sales by around 3 to 5% in states that did that, but  those numbers are suspect and if beer sales suffered it could have been because  people ...	20	1_google_15
36	pain	Bowtie entirely handmade and handsewn Color Grey Blue Height 6cm [2 36 inches] Length 12cm [4 72 inches] Black cords length adjustable As every handmade reproduction it may slightly vary from the model in the picture Shipping Method registered mail by the Italian post service POSTE ITALIANE within 1 3 	NONE	Bowtie entirely handmade and handsewn. Color: Grey,Blue Height: 6cm [2,36  inches] Length: 12cm [4,72 inches] Black cords length: adjustable, ... As every  handmade reproduction it may slightly vary from the model in the picture.  Shipping Method: registered mail by the Italian post service (POSTE ITALIANE)  within 1-3 ...	20	1_google_16
37	pain	With developing of Iphone Iphone 6s made a big innovation in color_Rose Gold which is more fashional and more personalized And more and more 3 0 2 0 Female Ports Using this cable you can connect USB C enabled devices to a wall charger a power bank or any old USB device for data transfer or charging 	NONE	With developing of Iphone,Iphone 6s made a big innovation in color—Rose Gold, which is more fashional and more personalized.And more and more ... 3.0/2.0  Female Ports. Using this cable, you can connect USB-C enabled devices to a  wall charger, a power bank or any old USB device for data transfer or charging.	20	1_google_17
38	pain	Dec 13 2015 2016 06 03 06 57 PM Sorry I ran out of credit cheapest place to buy benicar While the researchers found no link between overweight and marijuana or redundant two months ago can you take phenergan for nausea when pregnant Lord Grade of Yarmouth a Tory peer and ex BBC chairman who vo 	AGAINST	Dec 13, 2015 ... 2016-06-03 06:57 PM | Sorry, I ran out of credit cheapest place to buy benicar  While the researchers found no link between overweight and marijuana or ......  redundant two months ago can you take phenergan for nausea when pregnant  Lord Grade of Yarmouth, a Tory peer and ex-BBC chairman who vo ...	20	1_google_18
39	pain	_____ _____ ___ ___ ____ ___ __ ______ _ ______ _______ ______ _____ ______ _____ ___ ____ ______ __ _ _______ ______ _____ _______ ___ _______ ____ ________ ___ _______ __ _____ _____ ________ ____ __ ___ _____ ___ ____ ______ _______ ______ _____ _ __________ _______ ___________ 	AGAINST	Түүнд бодол бий. Тэр одоо УИХ-ын гишүүн ч, Үндсэн хуулийн цэцийн дарга  болчих бодол бий байх. Намаас нь ч түүнийг Цэцийн дарга болгоод, эрх  мэдлийг авах сонирхол бий. Өөрийнх нь бодол намын сонирхол хоёр яв цав  нийлж буй учир Үндсэн хуулийн цэцийн дарга Р.Гончигдорж болохыг  үгүйсгэхгүй.	20	1_google_19
40	pain	I_m unemployed quien a usado phentermine Eectations that a stronger U S economy will give the Fedroom to begin scaling back its bond buying most Many of the heart attacks and strokes that will kill people in the coming year could be prevented by reducing blood pressure and cholesterol and stopping smoking 	NONE	"I'm unemployed quien a usado phentermine Expectations that a stronger U.S.  economy will give the Fedroom to begin scaling back its bond-buying, most ...... "" Many of the heart attacks and strokes that will kill people in the coming year could  be prevented by reducing blood pressure and cholesterol and stopping smoking."	20	1_google_20
41	pain	Oct 9 2016 Method Diverse literatures across fields of public health psychology and sociology have been reviewed and complex findings relating to the use and Data on HCV treatment outcomes and reinfection following DAA therapies among people receiving opioid substitution therapy OST and people with 	FAVOR	Oct 9, 2016 ... Method: Diverse literatures across fields of public health, psychology and  sociology have been reviewed and complex findings relating to the use and ......  Data on HCV treatment outcomes and reinfection following DAA therapies  among people receiving opioid substitution therapy (OST) and people with ...	20	2_google_1
42	pain	For this reason we are happy to discuss your individual needs and tailor a package accordingly For further enquiries please contact APSAD Executive Officer Liz Baxter on 61 2 9252 2287 or Email who will be pleased to provide you with details of the best sponsorship package for your needs and budget 	FAVOR	For this reason, we are happy to discuss your individual needs and tailor a  package accordingly. For further enquiries please contact APSAD Executive  Officer; Liz Baxter on +61 2 9252 2287 or Email, who will be pleased to provide  you with details of the best sponsorship package for your needs and budget.	20	2_google_2
43	pain	Dec 15 2015 these new NGO treatment programs to reach out into the community and work closely with the LHD drug and alcohol service system has been beneficial The effect of this new approach will be to enhance the effectiveness of both NGO and LHD services to meet the needs of people affected by crystalline 	FAVOR	Dec 15, 2015 ... these new NGO treatment programs to reach out into the community and work  closely with the LHD drug and alcohol service system has been beneficial. The  effect of this new approach will be to enhance the effectiveness of both NGO and  LHD services to meet the needs of people affected by crystalline ...	20	2_google_3
44	pain	this document will contribute to understanding the complex nature of pharmaceutical misuse and will help the need for a Coordinated Medication Management System in Australia which provides on line real symptoms were common among those on OST and more prevalent among those using a combination of 	AGAINST	this document will contribute to understanding the complex nature of  pharmaceutical misuse and will help ..... the need for a Coordinated Medication  Management System in Australia which provides on-line, real ...... symptoms  were common among those on OST and more prevalent among those using a  combination of.	20	2_google_4
45	pain	_We_re currently following people with chronic pain over five years to better understand factors that lead to good or poor outcomes We want I hope my research can be used to reduce any harm that people might eerience during their time or times of addiction so that they don_t have ongoing health problems later in life _ 	FAVOR	'We're currently following people with chronic pain over five years to better  understand factors that lead to good or poor outcomes. We want ... I hope my  research can be used to reduce any harm that people might experience during  their time or times of addiction, so that they don't have ongoing health problems  later in life.'.	20	2_google_5
46	pain	Find a new job u THE PROBLEM OF PAIN Relief without opiates HARM REducTION A BEgINNER_s guIdE WHERE HAvE ALL THE are those of the individual authors and do not necessarily represent the views of the Of We elore alternative approaches to managing pain 	AGAINST	Find a new job! www.jobsofsubstance.com.au. THE. PROBLEM. OF PAIN: Relief  without opiates? HARM. REducTION: A BEgINNER's. guIdE. WHERE HAvE. ALL  THE ... are those of the individual authors and do not necessarily represent the  views of the Of .... We explore alternative approaches to managing pain.	20	2_google_6
