ID	Target	Tweet	Stance	Origin
1	pain	pain either   but doc kept me on it for a year saying it needs to build up in the body to help the pain  	FAVOR	pain either , but doc kept me on it for a year saying it needs to build up in the body to help the pain .
2	pain	pain ChronicPain painful Gabapentin for withdrawal clonidine for stable cardiovascular system may get dizzy phenergan for nausea MMJ CannabisCommunity cannabis poppyseed tea OurPain M	AGAINST	pain ChronicPain painful Gabapentin for withdrawal clonidine for stable cardiovascular system may get dizzy phenergan for nausea MMJ CannabisCommunity cannabis poppyseed tea OurPain M
3	pain	pain management is highly complex for people using OST   need for individualised approach apsad	FAVOR	pain management is highly complex for people using OST , need for individualised approach apsad
4	pain	Pain _ Is Increased Prescribing a Cause for Concern  	FAVOR	Pain _ Is Increased Prescribing a Cause for Concern ?
5	pain	pain relief as Pfizer hid dangers   from Drs Now I need medical cannabis to	AGAINST	pain relief as Pfizer hid dangers , from Drs Now I need medical cannabis to
6	lyrica	Lyrica Neurontin are dangerous   destroying peoples lives   educate yourselves MedicalCannabis MedicalMarijuana are much better for chronicpain fibromyalgia neuropathy LymeDiseas	AGAINST	Lyrica Neurontin are dangerous & destroying peoples lives , educate yourselves MedicalCannabis MedicalMarijuana are much better for chronicpain fibromyalgia neuropathy LymeDiseas
7	lyrica	Lyrica Doing so can cause serious complications Talk w _ Dr or Pfizer 1st	FAVOR	Lyrica Doing so can cause serious complications Talk w ' Dr or Pfizer 1st
8	lyrica	Lyrica when barely alive Neurologist added `` Sarcoidosis __ _08 NL Internalist `` Sarcoidosis __	AGAINST	Lyrica when barely alive Neurologist added `` Sarcoidosis '' '08 NL Internalist `` Sarcoidosis ''
9	lyrica	Lyrica Neurontin Gabapentin Responsible for growing of O D s in UK according to research   not opioids        	AGAINST	Lyrica Neurontin Gabapentin Responsible for growing of O.D.s in UK according to research ( not opioids ? ? ? )
10	lyrica	Lyrica did nearly kill me when in need of pain relief as Pfizer hid dangers   from Drs Now I need medical cannabis to	FAVOR	Lyrica did nearly kill me when in need of pain relief as Pfizer hid dangers , from Drs Now I need medical cannabis to
11	gabapentin	gabapentin withdrawal has put me through hell for about the last month  	AGAINST	gabapentin withdrawal has put me through hell for about the last month .
12	gabapentin	gabapentin is a safe alternative to opioids is an incompetent moron who needs to find a new line of work  	AGAINST	gabapentin is a safe alternative to opioids is an incompetent moron who needs to find a new line of work .
13	gabapentin	gabapentin more than triples despite growing concerns about their safety and effectiveness  	AGAINST	gabapentin more than triples despite growing concerns about their safety and effectiveness .
14	gabapentin	gabapentin poison   which kills 2  more birds  	NONE	gabapentin poison , which kills 2+ more birds .
15	gabapentin	Gabapentin for withdrawal clonidine for stable cardiovascular system may get dizzy phenergan for nausea MMJ CannabisCommunity cannabis poppyseed tea OurPain M	AGAINST	Gabapentin for withdrawal clonidine for stable cardiovascular system may get dizzy phenergan for nausea MMJ CannabisCommunity cannabis poppyseed tea OurPain M
