ID	Target	Tweet	Stance	Date	Origin
954138837608955904	lyrica;nerve pain	FACT CHECK  Is Gabapentin the Newest Prescription Drug Killer 	NONE	2018-01-18 18:50:00	FACT CHECK: Is #Gabapentin the Newest Prescription Drug Killer? https://www.snopes.com/gabapentin-newest-prescription-drug-killer/#.WmEymaBO0Kc.twitter …
953416613512077312	lyrica;nerve pain	Neurontin and Lyrica Adverse Effects  The Saga Continues	FAVOR	2018-01-16 19:00:08	#Neurontin and #Lyrica #Adverse #Effects: The Saga Continues https://www.wellnessresources.com/news/neurontin-and-lyrica-adverse-effects-the-saga-continues …
951422124110983169	lyrica;nerve pain	Remove The Everyday Struggle Of Nerve Pain With Lyrica Painkiller	AGAINST	2018-01-11 06:54:45	Remove The Everyday Struggle Of Nerve Pain With Lyrica Painkiller http://bit.ly/2mhqrm4 #health #lyrica #painkiller #nervepain #pain #jointpain #pregabalin pic.twitter.com/vjPQ0XzmTw
949447690525569026	lyrica;nerve pain	CLICK HERE	NONE	2018-01-05 20:09:03	CLICK HERE http://bit.ly/2zQD9R9 #How to #dose #gabapentin Chinese porn tape. How to enjoy yourself.
949381275739152385	lyrica;nerve pain	Gabapentin Dosing for Neuropathic Pai	NONE	2018-01-05 15:45:09	#Gabapentin Dosing for #Neuropathic Painhttp://ow.ly/etPt30h4Mog
948577293743611904	lyrica;nerve pain	Gabapentin Dosing for Neuropathic Pai	AGAINST	2018-01-03 10:30:25	#Gabapentin Dosing for #Neuropathic Painhttp://ow.ly/etPt30h4Mog
946340055001587712	lyrica;nerve pain	Is Your Life Get Ceases Due To Seizures  Then Take Gabapentin   	FAVOR	2017-12-28 06:20:25	Is Your Life Get Ceases Due To Seizures? Then Take Gabapentin....http://bit.ly/2ChZlW5 #seizures #Gabapentin #Neurontin #painkiller #nervepain #healthpic.twitter.com/6jPnp6grmj
945300616171196416	lyrica;nerve pain	CLICK HERE	NONE	2017-12-25 09:30:04	CLICK HERE http://bit.ly/2iAckHd #Freeforums #net #Adulterating #gabapentin #Shag #website
945244003691360257	lyrica;nerve pain	CLICK HERE	NONE	2017-12-25 05:45:06	CLICK HERE http://bit.ly/2iAcJJJ  Cool date #ideas downtown vancouver. How to #dose #gabapentin for anxiety.
941629774585200640	lyrica;nerve pain	Neuropathy Drugs Gabapentin Carbamazepine	NONE	2017-12-15 06:23:27	#Neuropathy Drugs #Gabapentin #Carbamazepine https://goo.gl/xPpzGE pic.twitter.com/FCnXmMwD6z
941097926268542977	lyrica;nerve pain	Gabapentin Dosing for Neuropathic Pai	NONE	2017-12-13 19:10:05	#Gabapentin Dosing for #Neuropathic Painhttp://ow.ly/etPt30h4Mog
940786738951262212	lyrica;nerve pain	Neurontin and Lyrica  Side Effects of Pfizer_s Most Dangerous Painkiller	AGAINST	2017-12-12 22:33:32	#Neurontin and #Lyrica: Side Effects of Pfizer’s Most #Dangerous #Painkillershttp://www.healthy-holistic-living.com/lyrica-neurontin-side-effects.html …
938338240700043264	lyrica;nerve pain	CLICK HERE	NONE	2017-12-06 04:24:04	CLICK HERE http://bit.ly/2zQCRd1 #Best #way to dose #neurontin
935395971818651649	lyrica;nerve pain	Gabapentin Medicine  Dosage  Side Effects  Interactions And Warnin	AGAINST	2017-11-28 01:32:33	#Gabapentin #Medicine- Dosage, Side-Effects, Interactions And Warninghttp://bit.ly/2BtOBQO
935308526674759687	lyrica;nerve pain	Gabapentin  The Good  the Bad and the Ugly	FAVOR	2017-11-27 19:45:04	Gabapentin: The Good, the Bad and the Ugly http://ow.ly/3vDa30gR2FF #Gabapentin #Fibromyalgia
933986973466816512	lyrica;nerve pain	Once Neuropathic Pain Happens  Be Brave Not Broken With Lyrica	FAVOR	2017-11-24 04:13:41	Once Neuropathic Pain Happens, Be Brave Not Broken With Lyrica http://bit.ly/2hNgU4b #health #lyrica #pregabalin #nervepain #pain #paintabletspic.twitter.com/fG7JyHYX35
932771424732925954	lyrica;nerve pain	Billion Dollar Drug Company Law Firm Restructures Connecticut Welfare System   CCHR International	FAVOR	2017-11-20 19:43:32	Billion Dollar Drug Company Law Firm Restructures Connecticut Welfare System | CCHR International http://ow.ly/DBUK30gI5QC #Gabapentin
926679522224640000	lyrica;nerve pain	Bring Back Your Days Without Neuropathic Pain Using Lyrica	AGAINST	2017-11-04 01:16:29	Bring Back Your Days Without Neuropathic Pain Using Lyrica http://bit.ly/2zerCei #health #lyrica #painreleif #nervepain #pregabalin pic.twitter.com/cyxtESyS6u
924954699811512320	lyrica;nerve pain	Is Neuropathy Hurting You Badly  Use Lyrica_	FAVOR	2017-10-30 07:02:39	Is Neuropathy Hurting You Badly? Use Lyrica….http://bit.ly/2z1NhGg #lyrica #nervepain #Pregabalin #Neuropathicpainpic.twitter.com/gix4RjXm9r
919897528572706817	lyrica;nerve pain	Lyrica Helps To Mark A Full Stop to Your Nerve Pain Condition  	FAVOR	2017-10-16 08:07:16	Lyrica Helps To Mark A Full Stop to Your Nerve Pain Condition...http://bit.ly/2kSj0UT #nervepain #lyrica #pregabalin #health #fibromyalgiapic.twitter.com/MOifEDQXNZ
919456220360204289	lyrica;nerve pain	Pregabalin  Lyrica   Related Hip Fracture	FAVOR	2017-10-15 02:53:40	#Pregabalin( #Lyrica ) Related Hip #Fracture https://www.druginformer.com/search/side_effect_details/Pregabalin/hip%20fracture.html …pic.twitter.com/EbnPEdgnWJ
918739798583595009	lyrica;nerve pain	Pregabalin Gabapentin	NONE	2017-10-13 03:26:51	#Pregabalin #Gabapentin http://www.bbc.co.uk/news/uk-england-41441857 … #knowthescore http://www.dan247.org.uk/Drug_Gabapentin.asp … or call @dan_247 on 0808 808 2234 #open247 (KH)
910398296530681856	lyrica;nerve pain	Recognize And Cure Your Neuropathic Pain With Lyrica	AGAINST	2017-09-20 03:00:42	Recognize And Cure Your Neuropathic Pain With Lyrica http://bit.ly/2xvw0Es #health #lyrica #nervepain #pain #pregabalin pic.twitter.com/TMEqY5eULz
910031036741951489	lyrica;nerve pain	Never Overlook The Signs Of Neuropathic Pain  Opt For Lyrica	FAVOR	2017-09-19 02:41:21	Never Overlook The Signs Of Neuropathic Pain, Opt For Lyrica http://bit.ly/2fv75XR #health #lyrica #nervepain #pregabalin pic.twitter.com/UpHBjtWSLy
909647516056018945	lyrica;nerve pain	Gabapentin Impurity   Olympus Chemicals   Fertilizers Visit	NONE	2017-09-18 01:17:22	#Gabapentin Impurity | Olympus Chemicals & Fertilizers Visit @ https://goo.gl/FWeLuQ #health #Chemicals #INDUSTRY #Manufacturingpic.twitter.com/hXSLbLB7mB
908651852735987712	lyrica;nerve pain	Scuffling Nerve Pain  Emerge A Winner With Lyrica	AGAINST	2017-09-15 07:20:58	Scuffling Nerve Pain? Emerge A Winner With Lyrica http://bit.ly/2h6oDtv #health #lyrica #nervepain #pregabalin pic.twitter.com/9rDQ3AaPmd
906852736838389760	lyrica;nerve pain	Lyrica and Neurontin Face More Scrutiny	FAVOR	2017-09-10 08:11:55	Lyrica and Neurontin Face More Scrutiny https://www.painnewsnetwork.org/stories/2017/8/15/lyrica-and-neurontin-face-more-scrutiny#.WbUrr7ZULAc.twitter … #lyrica #neurontin #drugs #health #pain #risks #mentalhealth #medicine #WHO
905727101461946368	lyrica;nerve pain	Lyrica Helps To Break The Nerve Agony Due To Nerve Damage	AGAINST	2017-09-07 05:39:03	Lyrica Helps To Break The Nerve Agony Due To Nerve Damage http://bit.ly/2xdi8zD #health #lyrica #pain #pregabalin #nervepainpic.twitter.com/bnYMWWyClo
905368933666095104	lyrica;nerve pain	Eradicate Your Crippling Nerve Ache By Using Lyrica_	AGAINST	2017-09-06 05:55:49	Eradicate Your Crippling Nerve Ache By Using Lyrica……http://bit.ly/2eET8G2 #nervepain #lyrica #Pregabalin #fibromyalgia #diabeticneuropathpic.twitter.com/HY49yPfCAc
904035623564058624	lyrica;nerve pain	Article of the Month  Gabapentin Does Not Reduce Postoperative Delirium in Older Surgical Patients	AGAINST	2017-09-02 13:37:43	@SNACCNeuro Article of the Month: #Gabapentin Does Not Reduce #Postoperative #Delirium in Older Surgical #Patients.http://www.snacc.org/education-research/article-of-the-month/ …
902067123798859777	lyrica;nerve pain	Treat Neuropathy Of Foot Via Medicine Pregabalin Consisting Lyrica_ 	AGAINST	2017-08-28 03:15:36	Treat Neuropathy Of Foot Via Medicine Pregabalin Consisting Lyrica…..http://bit.ly/2whcg4P #nervepain #pregabalin #Epilepsy #Fibromyalgiapic.twitter.com/imjG0Fljf3
899689719877038081	lyrica;nerve pain	Gabapentinoids for Chronic Low BackPain  Not So Fast	AGAINST	2017-08-21 13:48:39	Gabapentinoids for Chronic Low #BackPain? Not So Fast https://shar.es/1St3L1 #gabapentin #Lyrica #chronicpain #PM101 for #pain meds..
899533751260110848	lyrica;nerve pain	Gabapentin Impurity   Olympus Chemicals   Fertilizers Visit	NONE	2017-08-21 03:28:53	#Gabapentin Impurity | Olympus Chemicals & Fertilizers Visit @ https://goo.gl/FWeLuQ #health #Chemicals #INDUSTRY #Manufacturingpic.twitter.com/21QnSc9ooY
898665756489068544	lyrica;nerve pain	Gabapentinoids for Chronic LowBackPain   Not So Fast	NONE	2017-08-18 17:59:47	#Gabapentinoids for Chronic #LowBackPain ? Not So Fast @PPMEditor @PPMEditor1 https://www.practicalpainmanagement.com/resources/news-and-research/gabapentinoids-chronic-low-back-pain-not-so-fast … #Gabapentin #Neurontin #ChronicPain
898146474751557632	lyrica;nerve pain	To Live Life Without The Killing Nerve Pain Choose Lyrica_	AGAINST	2017-08-17 07:36:20	To Live Life Without The Killing Nerve Pain Choose Lyrica….http://bit.ly/2fO0WJv #nervepain #lyrica #fibromyalgia #pregabalin pic.twitter.com/IDVpiCXmi9
897946891610189825	lyrica;nerve pain	Commonly Prescribed Drugs for Back Pain Often Ineffective  Review Says	AGAINST	2017-08-16 18:23:16	Commonly Prescribed Drugs for Back Pain Often Ineffective, Review Says https://buff.ly/2wQAkvl  via @CBCNews #Gabapentin #Pharmacy #Lyricapic.twitter.com/ERSwkjzu8S
896655075069898752	lyrica;nerve pain	Should the Schedule Change on Gabapentin 	NONE	2017-08-13 04:50:03	Should the #Schedule Change on #Gabapentin? http://www.pharmacytimes.com/contributor/shelby-leheny-pharmd-candidate-2017/2017/01/should-the-schedule-change-on-gabapentin …pic.twitter.com/FHCpZnXeDE
895812511215173632	lyrica;nerve pain	Illicit Use of Gabapentin on the Rise	AGAINST	2017-08-10 21:02:00	Illicit Use of #Gabapentin on the Rise http://www.neurologyadvisor.com/illicit-use-of-gabapentin-on-the-rise/article/514465/ … via @neuroadvisor #health #mentalhealth
894872653772750850	lyrica;nerve pain	Are Your Nerves On Fire  Neuropathic Pain  Then Use Lyrica	FAVOR	2017-08-08 06:47:21	Are Your Nerves On Fire (Neuropathic Pain) Then Use Lyrica http://bit.ly/2wDolAq #nervepain #health #Pregabalin #Neuropathic #Pain #Lyricapic.twitter.com/Ps9Q1vJvC8
892667988578451456	lyrica;nerve pain	Use Lyrica To Omit Your Pain Due To Nerve Damage	FAVOR	2017-08-02 04:46:48	Use Lyrica To Omit Your Pain Due To Nerve Damage http://bit.ly/2vi5gH7 #health #lyrica #nervedamage #pregabalin pic.twitter.com/5DYXTl5vgO
891640477476421632	lyrica;nerve pain	Has Gabapentin Become a Drug of Abuse 	AGAINST	2017-07-30 08:43:50	Has #Gabapentin Become a Drug of Abuse? http://www.medscape.com/viewarticle/826680 …pic.twitter.com/pbUVnt6TOR
891640141210677248	lyrica;nerve pain	Gabapentin	AGAINST	2017-07-30 08:42:30	#Gabapentin http://www.journal-times.com/news/drug-reclassification-welcomed-by-most/article_00da9280-6703-11e7-a291-ff3e1f528278.html … | Drug reclassification welcomed by most
890508273002074112	lyrica;nerve pain	Neurontin A Remarkable Remedy For Controlling The Seizures_	AGAINST	2017-07-27 05:44:51	Neurontin A Remarkable Remedy For Controlling The Seizures….http://bit.ly/2uA4vrN #seizures #Gabapentin #Neurontin #painkiller #nervepainpic.twitter.com/AzyZsF3Iaw
890184960082145280	lyrica;nerve pain	Use Lyrica to Thwart Your Neuropathic Pain_	FAVOR	2017-07-26 08:20:07	Use Lyrica to Thwart Your Neuropathic Pain……http://bit.ly/2eNicxP #nervepain #health #painrelief #Pregabalin #neuropathicpic.twitter.com/gyy1fvv5ao
