ID	Target	Tweet	Stance	Origin	Total	Origin_ID
1	jackbreuer	Jan 5 2018 The only evidence the Daily Mail offered for the assumption Breuer was making a hate symbol with his hand was the photograph that showed Breuer along with dozens of other interns standing with President Trump All but Breuer were smiling and offering a _thumbs up_ gesture but a straight faced 	NONE	Jan 5, 2018 ... The only evidence the Daily Mail offered for the assumption Breuer was making a  hate symbol with his hand was the photograph that showed Breuer, along with  dozens of other interns, standing with President Trump. All but Breuer were  smiling and offering a “thumbs-up” gesture, but a straight-faced ...	20	0_google_1
2	jackbreuer	Dec 28 2017 Former White House intern Jack Breuer held up a _white power_ sign during a photo op with President Trump and fellow interns in the East Room in November The gesture which only makes sense if made with the right hand although there are examples of people making it with their left hand is said to 	AGAINST	Dec 28, 2017 ... Former White House intern Jack Breuer held up a 'white power' sign during a  photo-op with President Trump and fellow interns in the East Room in November.  ... The gesture - which only makes sense if made with the right hand, although  there are examples of people making it with their left hand - is said to ...	20	0_google_2
3	jackbreuer	Dec 29 2017 A White House intern has landed in hot water after some say he made a white power symbol in a White House photo with the president The intern Jack Breuer stands in the back of his intern class photo shoot with the president posing with the symbol while all his peers give a thumbs up instead 	AGAINST	"Dec 29, 2017 ... A White House intern has landed in hot water after some say he made a ""white  power"" symbol in a White House photo with the president. ... The intern, Jack  Breuer, stands in the back of his intern class photo shoot with the president,  posing with the symbol while all his peers give a thumbs-up instead, ..."	20	0_google_3
4	jackbreuer	Dec 29 2017 While the other hundred interns smile and follow Trump_s command with a thumbs up Jack Breuer who graduated from Emory University in Atlanta this year is clearly bucking orders _ personally given by the president _ to give a thumbs up in the picture that was taken in the White House in November 	AGAINST	Dec 29, 2017 ... While the other hundred interns smile and follow Trump's command with a  thumbs up. ... Jack Breuer, who graduated from Emory University in Atlanta this  year, is clearly bucking orders — personally given by the president — to give a  thumbs-up in the picture that was taken in the White House in November.	20	0_google_4
5	jackbreuer	Former intern JackBreuer held up a _WHITE POWER_ sign the _ alt right_ symbol during a photo with President The gesture was used by notorious extremists at Unite the Right rally in Charlottesville Via DailyMailUK 	AGAINST	Former @WhiteHouse intern #JackBreuer held up a 'WHITE POWER' sign, the ' alt-right' symbol during a photo with President @realDonaldTrump. The gesture  was used by notorious extremists at Unite the Right rally in Charlottesville. Via @ DailyMailUK ...	20	0_google_5
6	jackbreuer	Jack Breuer You_re a bitch for that move And you did it under a picture of George Washington Before anybody defends him He knows damn well what he was doing jackbreuer 1 reply 1 JackBreuer is obviously making the _OK_ sign just as near him another intern in making thumbs up Thanks for making his life 	AGAINST	Jack Breuer. You're a bitch for that move. And you did it under a picture of George  Washington. Before anybody defends him. He knows damn well what he was  doing. 🖕 #jackbreuer. 1 reply 1 ... #JackBreuer is obviously making the 'OK' sign,  just as near him another intern in making thumbs up. Thanks for making his life ...	20	0_google_6
7	jackbreuer	Dec 29 2017 While the president instructed the group to make a thumbs up one intern named Jack Breuer went with the OK hand instead It did not go OK So according to the ADL someone on 4chan wanted to make liberals or the Daily Mail look crazy by making them cry racism whenever they saw the OK symbol 	AGAINST	Dec 29, 2017 ... While the president instructed the group to make a thumbs-up, one intern named  Jack Breuer went with the OK hand instead. It did not go OK. ... So according to  the ADL, someone on 4chan wanted to make liberals (or the Daily Mail) look  crazy by making them cry racism whenever they saw the OK symbol.	20	0_google_7
8	jackbreuer	Dec 29 2017 Multiple news outlets reported Friday that Jack Breuer allegedly made the gesture while posing for a group photo with the president Mr Breuer is pictured holding up three outstretched fingers with his thumb and forefinger forming a circle while his fellow interns and the president himself are giving a 	AGAINST	Dec 29, 2017 ... Multiple news outlets reported Friday that Jack Breuer allegedly made the  gesture while posing for a group photo with the president. Mr. Breuer is pictured  holding up three outstretched fingers with his thumb and forefinger forming a  circle, while his fellow interns and the president himself are giving a ...	20	0_google_8
9	jackbreuer	Dec 28 2017 Former White House intern Jack Breuer held up a _white power_ sign during a photo op with President Trump and fellow interns in the East Room in _It is a distinct symbol known in alt right circles and what makes it worse is that he is doing it in the East Room just below the portrait of George Washington _ 	AGAINST	Dec 28, 2017 ... Former White House intern Jack Breuer held up a 'white power' sign during a  photo-op with President Trump and fellow interns in the East Room in ... 'It is a  distinct symbol known in alt-right circles and what makes it worse is that he is  doing it in the East Room just below the portrait of George Washington.'.	20	0_google_9
10	jackbreuer	Dec 29 2017 A former White House intern is coming under fire after flashing a known _white power_ sign during a photo op with President Donald Trump Jack Breuer who graduated from Emory University in Atlanta this year is clearly bucking orders _ personally given by the president _ to give a thumbs up in the 	AGAINST	Dec 29, 2017 ... A former White House intern is coming under fire after flashing a known 'white  power' sign during a photo-op with President Donald Trump. Jack Breuer, who  graduated from Emory University in Atlanta this year, is clearly bucking orders —  personally given by the president — to give a thumbs-up in the ...	20	0_google_10
11	jackbreuer	A Former White House Intern is under fire after he flashed the WHITE POWER SIGN during a photo op with PRESIDUNTZ TRUMP Jack Breuer the Emory University graduate from Atlanta was clearly bucking orders by the president to give the thumbs up picture taken back in November as hunreds of 	AGAINST	"A Former White House Intern is under fire after he flashed the WHITE POWER  SIGN during a photo op with PRESIDUNTZ TRUMP!! Jack Breuer, the Emory  University graduate from Atlanta was clearly bucking orders by the president to  give the ""thumbs up"" picture taken back in November as hunreds of ..."	20	0_google_11
12	jackbreuer	Jan 9 2018 In another secret signal in a photo incident in November Trump posed for a photo with the some White House interns They were told to smile and make a thumbs up gesture to signify a positive mood A month later David Martosko a tabloid journalist with the MailOnline spotted one intern holding up not 	AGAINST	Jan 9, 2018 ... In another secret-signal-in-a-photo incident, in November, Trump posed for a  photo with the some White House interns. They were told to smile and make a  thumbs-up gesture to signify a positive mood. A month later, David Martosko, a  tabloid journalist with the MailOnline, spotted one intern holding up not ...	20	0_google_12
