ID	Target	Tweet	Stance	Date	Origin
947266229689036800	jackbreuer;intern	JackBreuer NEEDS TO BE INVESTIGATED BY TeamMueller MAYBE HE_S NOT JUST AN INTERN LIKE PAPADOPOULOUS WASN_T JUST A COFFEE BOY  HE WANTED ATTENTION  SO LET_S GIVE IT TO HIM AMERICA White House Intern Sparks Controversy With Hand Gesture in Trump Phot	AGAINST	2017-12-30 19:40:43	#JackBreuer NEEDS TO BE INVESTIGATED BY @FBI #TeamMueller MAYBE HE'S NOT JUST AN INTERN LIKE PAPADOPOULOUS WASN'T JUST A COFFEE BOY? HE WANTED ATTENTION, SO LET'S GIVE IT TO HIM AMERICA White House Intern Sparks Controversy With Hand Gesture in Trump Photohttp://a.msn.com/09/en-us/BBHuIPh?ocid=st …
947237803217256448	jackbreuer;intern	Show me anybody under 40yo who uses the sign to actually mean  O K   Fmr WhiteHouse intern JackBreuer should accept being busted for using WhiteSupremacist symbol in Trump photo  should repudiate gesture made in presence of a POTUS	AGAINST	2017-12-30 17:47:45	"Show me anybody under 40yo who uses the sign to actually mean ""O.K."" Fmr #WhiteHouse intern #JackBreuer should accept being busted for using #WhiteSupremacist symbol in #Trump photo, @WhiteHouse should repudiate gesture made in presence of a #POTUS.http://thehill.com/blogs/blog-briefing-room/news/366785-white-house-intern-denies-using-white-power-sign-in-photo-with …"
947172066817605633	jackbreuer;intern	JackBreuer May be _proud of his Jewish heritage_ but he is a white supremacist and he did make common cause with them by publicly using their symbol  He also thinks the rest of us are stupid 	AGAINST	2017-12-30 13:26:32	#JackBreuer May be “proud of his Jewish heritage” but he is a white supremacist and he did make common cause with them by publicly using their symbol. He also thinks the rest of us are stupid. https://twitter.com/jjbreue/status/946627637652459522 …
947167821037006850	jackbreuer;intern	I think I figured out the definition of reverse racism  labelling someone as a racist in order to justify bigotry against them JackBreuer	AGAINST	2017-12-30 13:09:40	I think I figured out the definition of reverse racism: labelling someone as a racist in order to justify bigotry against them #JackBreuer
947130492226363394	jackbreuer;intern	Pictures don_t lie  FU and JackBreuer	FAVOR	2017-12-30 10:41:20	Pictures don't lie. FU and #JackBreuer
947091748932718592	jackbreuer;intern	If you_re looking for a good reason to remain anonymous  try the probability that someday a blue checkmarked Democrat stooge with the full weight of a major media outlet will find a photo of you pointing at something in the distance and claim you were saluting Hitler  JackBreuer	AGAINST	2017-12-30 08:07:23	If you're looking for a good reason to remain anonymous, try the probability that someday a blue-checkmarked Democrat stooge with the full weight of a major media outlet will find a photo of you pointing at something in the distance and claim you were saluting Hitler. #JackBreuer
946916103359533056	jackbreuer;intern	So this symbol    means white power now  I always thought it meant the work  okay   as in the letters _o_ and _k _ Im not defending the man  but this is a stretch even for the extremists JackBreuer	FAVOR	2017-12-29 20:29:26	"So this symbol, , means white power now? I always thought it meant the work ""okay,"" as in the letters 'o' and 'k.' Im not defending the man, but this is a stretch even for the extremists #JackBreuer"
946901578618888193	jackbreuer;intern	JackBreuer  this dramatically limits your future once  45 is gone  Thanks for being so open with your white supremacy  We know who you are now 	AGAINST	2017-12-29 19:31:43	#JackBreuer, this dramatically limits your future once *45 is gone. Thanks for being so open with your white supremacy. We know who you are now. https://twitter.com/krassenstein/status/946543228513341440 …
946899337468170240	jackbreuer;intern	insideedition JackBreuer areyouserious a white power symbol Seriously I thought that means OK Is everyone living in alternate reality  	AGAINST	2017-12-29 19:22:49	#insideedition #JackBreuer #areyouserious a white power symbol?Seriously,I thought that means OK.Is everyone living in alternate reality??
946888932578512896	jackbreuer;intern	Everyone is purposefully misinterpreting the OK sign as a means to demonize a Jew  Anyone going after JackBreuer is literally a Nazi 	FAVOR	2017-12-29 18:41:28	Everyone is purposefully misinterpreting the OK sign as a means to demonize a Jew. Anyone going after #JackBreuer is literally a Nazi.
