ID	Target	Tweet	Stance	Origin	Total	Origin_ID
1	jetli	3 days ago Jet Li_s manager is speaking out on behalf of his client after a photo showing the action star went viral over the weekend prompting concerns for the 55 year old_s health It_s nothing life threatening and he_s dealing with it Others commented that they did not believe the man in the photo was Li at all 	FAVOR	3 days ago ... Jet Li's manager is speaking out on behalf of his client after a photo showing the  action star ... went viral over the weekend, prompting concerns for the 55-year- old's health. ... “It's nothing life-threatening and he's dealing with it. ... Others  commented that they did not believe the man in the photo was Li at all.	20	0_google_1
2	jetli	3 days ago Fans concerned about the action star_s health have nothing to worry Jet Li_s health condition is _nothing life threatening _ his manager says amid concerns This can boost metabolism and cause sudden weight loss So apparently Jet Li is suffering from hyperthyroidism and spinal problems and this 	FAVOR	"3 days ago ... Fans concerned about the action star's health have nothing to worry ... Jet Li's  health condition is 'nothing life-threatening,' his manager says amid concerns ...  This can boost metabolism and cause sudden weight loss, ... So, apparently, Jet  Li is suffering from ""hyperthyroidism and spinal problems"" and this ..."	20	0_google_2
3	jetli	2 days ago 3 min Uploaded by SideTVJet Li_s Manager Says Actor_s Hyperthyroidism Is _Nothing Life Threatening_ Amid Health 	FAVOR	2 days ago - 3 min - Uploaded by SideTVJet Li's Manager Says Actor's Hyperthyroidism Is 'Nothing Life-Threatening' Amid Health ...	20	0_google_3
4	jetli	3 days ago Jet Li Is Completely Fine Amid Hyperthyroidism Battle Manager Says By It_s nothing life threatening and he_s dealing with it He also 	FAVOR	"3 days ago ... Jet Li Is ""Completely Fine""Amid Hyperthyroidism Battle, Manager Says. By. & ... "" It's nothing life-threatening and he's dealing with it."" He also ..."	20	0_google_4
5	jetli	3 days ago Jet Li Photo Sparks Health Concerns Amid Actor_s Hyperthyroidism Battle Li_s manager told The Washington Post that the actor_s hyperthyroidism is by saying there was nothing life threatening about the actor_s condition the production of too much thyroxine hormone and can greatly affect weight 	FAVOR	"3 days ago ... Jet Li Photo Sparks Health Concerns Amid Actor's Hyperthyroidism Battle ... Li's  manager told The Washington Post that the actor's hyperthyroidism is ... by  saying there was nothing ""life-threatening"" about the actor's condition. ... the  production of too much thyroxine hormone and can greatly affect weight."	20	0_google_5
6	jetli	3 days ago Jet Li_s Manager Says The Actor_s Hyperthyroidism Is _Nothing Life Threatening_ Amid Fan Concern About His Health 5 22 2018 Jet Li fans will be happy to hear this It_s nothing life threatening and he_s dealing with it 	NONE	"3 days ago ... Jet Li's Manager Says The Actor's Hyperthyroidism Is 'Nothing Life-Threatening'  Amid Fan Concern About His Health. 5/22/2018 ... Jet Li fans will be happy to  hear this. ... It's nothing life-threatening and he's dealing with it.""."	20	0_google_6
7	jetli	2 days ago When images surfaced of actor and martial artist Jet Li looking twenty years Manager Addresses Startling Photo of Actor Jet Li Amid Health Concerns Hyperthyroidism can cause severe weight loss and fatigue and Li stated that his It_s nothing life threatening and he_s dealing with it Chasman stated 	FAVOR	2 days ago ... When images surfaced of actor and martial artist Jet Li looking twenty years ...  Manager Addresses Startling Photo of Actor Jet Li Amid Health Concerns ...  Hyperthyroidism can cause severe weight loss and fatigue, and Li stated that his  ... It's nothing life-threatening and he's dealing with it,” Chasman stated.	20	0_google_7
8	jetli	3 days ago But his manager tells USA TODAY Jet Li is completely fine he_s in great fine_ Jet Li_s manager denies _Eendables_ star is in poor health But Jet is completely fine says Chasman There_s no life threatening illness Jet Li is suffering from hyperthyroidism and spinal problems and Harry 39 	FAVOR	"3 days ago ... But his manager tells USA TODAY, ""Jet Li is completely fine, he's in great ... fine':  Jet Li's manager denies 'Expendables' star is in poor health ... But Jet is  completely fine,"" says Chasman. ... There's no life-threatening illness. ... Jet Li is  suffering from ""hyperthyroidism and spinal problems"" and ... Harry&#39;s."	20	0_google_8
9	jetli	3 days ago _It_s nothing life threatening and he_s dealing with it Jet Li sparked health concerns after a photo of him looking frail The actor revealed that he has hyperthyroidism which is also known Jet born L Linji said in a December 21 video Jet who survived the 2004 tsunami will next host the reality 	AGAINST	3 days ago ... 'It's nothing life-threatening and he's dealing with it. ... Jet Li sparked health  concerns after a photo of him looking frail ... The actor revealed that he has  hyperthyroidism - which is also known ... Jet (born Lǐ Li�nji�) said in a December  21 video. ... Jet - who survived the 2004 tsunami - will next host the reality ...	20	0_google_9
10	jetli	2 days ago Jet Li_s health condition is _nothing life threatening _ his manager says amid concerns New York Daily News Jet Li Is _Completely Fine_ Despite 	FAVOR	2 days ago ... Jet Li's health condition is 'nothing life-threatening,' his manager says amid  concerns New York Daily News; Jet Li Is 'Completely Fine' Despite ...	20	0_google_10
