ID	Target	Tweet	Stance	Date	Origin
999058794012446722	jetli;tibet	Jet Li_s manager says he_s fine after viral photo causes concern   JetLi	AGAINST	2018-05-22 18:45:52	Jet Li's manager says he's fine after viral photo causes concern - https://ng.trendwiki.co/index.php/trend/keyword/jet-li/2018-05-22/story/15367 … #JetLi pic.twitter.com/zcREaxk8ma
999057505962643457	jetli;tibet	Whoa movies jetli	AGAINST	2018-05-22 18:40:45	Whoa #movies #jetli https://mobile.twitter.com/i/moments/998941959094910976?t=1&cn=ZmxleGlibGVfcmVjcw%3D%3D&refsrc=email&iid=f930f8a8b8984799b2022d046c525fe8&uid=764967218966847489&nid=244+277221392 …
999050461503107073	jetli;tibet	      _ JetLi55	AGAINST	2018-05-22 18:12:46	ای بابااین‌م که پیر شد رفت #جت_لی  #JetLi55 pic.twitter.com/JgQQqo1Vsl
999040686212243463	jetli;tibet	SALIKLI YAAM N SPOR Doru adres Fitness Ferhatpaa ampiyon Spor KulbMotive edici mi deil mi sporcuyu altrmak  Eitimi karmayn kayt iin arayabilirsiniz 0533 612 6149 kickboks mma boks fitness wushu wako worldampiyon king 	AGAINST	2018-05-22 17:33:55	SAĞLIKLI YAŞAM İÇİN SPOR Doğru adres Fitness Ferhatpaşa Şampiyon Spor KulübüMotive edici mi değil mi,sporcuyu çalıştırmak ,Eğitimi kaçırmayın kayıt için arayabilirsiniz 0533 612 6149  #kickboks #mma #boks#fitness #wushu #wako #worldşampiyon #king #İstanbulpic.twitter.com/IP0luDec3l
999034290921984002	jetli;tibet	Jet Li looks unrecognizable  shocks fans with frail appearance in photo healthproblems JetLi majorHollywoodfilms martialartslegend 1	AGAINST	2018-05-22 17:08:30	Jet Li looks unrecognizable, shocks fans with frail appearance in photo #healthproblems #JetLi #majorHollywoodfilms #martialartslegend http://www.b2s.pm/h26RfN pic.twitter.com/VJtiLCjLG1
999028376869498881	jetli;tibet	Image of frail looking JetLi sparks outpouring of fan concern  PHOTO 	AGAINST	2018-05-22 16:45:00	Image of frail-looking #JetLi sparks outpouring of fan concern (PHOTO) https://sptnkne.ws/h9fy pic.twitter.com/noTl7COcoh
999027469805113345	jetli;tibet	sadness     jetli	AGAINST	2018-05-22 16:41:24	sadness.... #jetli https://www.facebook.com/theofishldaisy/posts/1689388327847282 …
999018753101836295	jetli;tibet	 wushu kungfu     	NONE	2018-05-22 16:06:46	#ушу #wushu #kungfu вот и закончился Чемпионат и… https://www.instagram.com/p/BjF67PXlTXo/?utm_source=ig_twitter_share&igshid=xlxbqa9mbrw0 …
999005997682364416	jetli;tibet	Jet LI Legend tmz jetli tekashi69	FAVOR	2018-05-22 15:16:05	Jet LI Legend #tmz #jetli #tekashi69… https://www.instagram.com/p/BjF1C3NBhVy/?utm_source=ig_twitter_share&igshid=ufl4hct2x9fi …
998999144214745088	jetli;tibet	JetLi Fans of Jet Li eress concern as martial arts superstar battles illness	AGAINST	2018-05-22 14:48:51	#JetLi Fans of Jet Li express concern as martial arts superstar battles illness https://sc.mp/2kcFVqB 
998995406347558912	jetli;tibet	Para refletir A amizade s podia ter lugar atravs do desenvolvimento do respeito mtuo e dentro de um esprito de sinceridade Dalai Lama dalailama amizade grupo restaurante vegan vegetariano tibet lisboa	FAVOR	2018-05-22 14:33:59	Para refletir:“A amizade só podia ter lugar através do desenvolvimento do respeito mútuo e dentro de um espírito de sinceridade.”Dalai Lama #dalailama #amizade #grupo #restaurante #vegan #vegetariano #tibet #lisboa
998977946168807425	jetli;tibet	IMMA snicka snake  Dreegon  LordJago wushu	NONE	2018-05-22 13:24:37	IMMA snicka snake, Dreegon!  #LordJago #wushu… https://www.instagram.com/p/BjFoESmH_bj/?utm_source=ig_twitter_share&igshid=10xnz5zn8dorn …
