ID	Target	Tweet	Stance	Origin	Total	Origin_ID
1	sanctuarycities	DACA DAPA Before Obama What has Congress done to fix our broken immigration system These 11 5 million people are spouses parents children Dreamers 85 percent of Latino undocumented immigrants have at least one family But our outdated immigration policies create enormous legal barriers and make 	NONE	DACA; DAPA; Before Obama ... What has Congress done to fix our broken  immigration system? ... These 11.5 million people are spouses, parents, children,  Dreamers, ... 85 percent of Latino undocumented immigrants have at least one  family ... But our outdated immigration policies create enormous legal barriers  and make ...	20	0_google_1
2	sanctuarycities	YPR did some digging into those charges as well as what may be the long term Vice President Pence_s claim of nearly 2 billion in funding for school safety but separate parents and their young children caught entering the U S illegally came during a discussion on how to prosecute immigrants in sanctuary cities 	AGAINST	YPR did some digging into those charges, as well as what may be the long term  ... Vice President Pence's claim of “nearly $2 billion” in funding for school safety  but ... separate parents and their young children caught entering the U.S. illegally . ... came during a discussion on how to prosecute immigrants in sanctuary cities,  ...	20	0_google_2
3	sanctuarycities	Feb 13 2018 This section may be cited as the ``Stop Dangerous Sanctuary Cities The President_s proposal now the Grassley bill is so extreme on So who is intent on kicking out these people who know no country but America who work in our The Trump immigration proposal does not make a clear distinction 	AGAINST	Feb 13, 2018 ... This section may be cited as the ``Stop Dangerous Sanctuary Cities .... The  President's proposal, now the Grassley bill, is so extreme on ... So who is intent  on kicking out these people who know no country but America, who work in our  .... The Trump immigration proposal does not make a clear distinction ...	20	0_google_3
4	sanctuarycities	Dec 21 2017 About one in five inmates in federal prison are foreign born and more than anti immigration measures particularly the wall President Trump has pushed our citizens are being victimized by illegal aliens who commit crimes the people into the United States illegally entering the country and illegally 	AGAINST	Dec 21, 2017 ... About one in five inmates in federal prison are foreign-born, and more than ... anti -immigration measures, particularly the wall President Trump has pushed ... our  citizens are being victimized by illegal aliens who commit crimes,” the ... people  into the United States, illegally entering the country and illegally ...	20	0_google_4
5	sanctuarycities	For more information contact our team at Robert Brown LLC for an initial case Trump is really changing immigration Making it harder for people to come here legally AG Jeff Sessions vows to separate kids from parents prosecute all illegal Trump Calls to Build Border Wall Through Military Cites National Defense 	FAVOR	For more information, contact our team at Robert Brown, LLC for an initial case ...  Trump is really changing immigration: Making it harder for people to come here  legally .... AG Jeff Sessions vows to separate kids from parents, prosecute all  illegal ...... Trump Calls to Build Border Wall Through Military, Cites National  Defense ...	20	0_google_5
6	sanctuarycities	Feb 23 2018 I_m thrilled to be back at CPAC with so many of my wonderful friends So now people hear tax cuts and it has been popular I will say we had some great help in the Senate and the House we have I don_t want to get into that battle It is time to make our schools a much harder target for attackers 	NONE	Feb 23, 2018 ... I'm thrilled to be back at CPAC, with so many of my wonderful friends ... So now  people hear tax cuts, and it has been popular. ... I will say we had some great  help in the Senate, and the House, we have ... I don't want to get into that battle.  ..... It is time to make our schools a much harder target for attackers.	20	0_google_6
7	sanctuarycities	Mar 19 2018 THE PRESIDENT Thank you to our First Lady Melania who has And we will be spending the most money ever on the opioid crisis Applause On our most recent National Prescription Drug Take Back Day people As the people of New Hampshire have learned firsthand ending sanctuary cities is 	FAVOR	Mar 19, 2018 ... THE PRESIDENT: Thank you to our First Lady, Melania, who has ... And we will  be spending the most money ever on the opioid crisis. (Applause.) On our most  recent National Prescription Drug Take Back Day, people .... As the people of  New Hampshire have learned firsthand, ending sanctuary cities is ...	20	0_google_7
8	sanctuarycities	Jerry Brown passed a new law making California itself a sanctuary state want sanctuary cities where people who are here illegally can join criminal gangs percent residing in the U S committed 22 to 37 percent of all murders in the nation this country illegally who do not share the intent to assimilate into our culture 	FAVOR	Jerry Brown, passed a new law making California itself a sanctuary state. ... want  sanctuary cities where people who are here illegally can join criminal gangs ...  percent residing in the U.S. committed 22 to 37 percent of all murders in the  nation. ... this country illegally who do not share the intent to assimilate into our  culture.	20	0_google_8
9	sanctuarycities	Apr 2 2018 Then tonight the president sent these tweets one saying As ridiculous as it sounds the laws of our country do not easily allow us to send 	FAVOR	Apr 2, 2018 ... Then tonight, the president sent these tweets, one saying: As ridiculous as it  sounds, the laws of our country do not easily allow us to send ...	20	0_google_9
10	sanctuarycities	Apr 20 2017 Here_s what you need to know about our foreign born population and its most essential facts about immigrants and immigration reform in the nation today Compared with all Americans U S born children of immigrants are more the number of people attempting to enter the United States unlawfully 	FAVOR	Apr 20, 2017 ... Here's what you need to know about our foreign-born population and its ... most  essential facts about immigrants and immigration reform in the nation today. ....  Compared with all Americans, U.S.-born children of immigrants are more ..... the  number of people attempting to enter the United States unlawfully.	20	0_google_10
11	sanctuarycities	Jun 13 2017 A fight over sanctuary cities is brewing in one of them tiny Cudahy located in We believe we can defund these sanctuary cities by targeting the utility Now however the 96 percent Latino city one of the bluest places in deep blue The Southern Poverty Law Center had named Save Our State a hate 	FAVOR	Jun 13, 2017 ... A fight over sanctuary cities is brewing in one of them -- tiny Cudahy, located in ...  “We believe we can defund these sanctuary cities by targeting the utility ... Now,  however, the 96 percent Latino city, one of the bluest places in deep blue ... The  Southern Poverty Law Center had named Save Our State a hate ...	20	0_google_11
12	sanctuarycities	Feb 14 2018 Several amendments were introduced including one by Senator All Speakers AND NOW TO LIVE COVERAGE OF THE U S SENATE HERE ON C SPAN2 THE SENATE WILL COME TO ORDER PRESIDENT THE SENATE IS DEBATING THE FATE OF OUR NATION_S DREAMERS THIS WEEK 	AGAINST	Feb 14, 2018 ... Several amendments were introduced, including one by Senator ... All Speakers  ... AND NOW TO LIVE COVERAGE OF THE U.S. SENATE HERE ON C-SPAN2.  ... THE SENATE WILL COME TO ORDER. ...... PRESIDENT, THE SENATE IS  DEBATING THE FATE OF OUR NATION'S DREAMERS THIS WEEK ...	20	0_google_12
13	sanctuarycities	Mar 21 2018 The policy decisions state and local leaders make in their Many cities across the country have become sanctuary at court go to the hospital or even take their children to school Ending Police Reliance on Low Level Arrests One of the pledges reads Issue detainers for all illegal immigrants who 	AGAINST	Mar 21, 2018 ... The policy decisions state and local leaders make in their ... Many cities across  the country have become “sanctuary” ... at court, go to the hospital, or even take  their children to school. ... Ending Police Reliance on Low-Level Arrests .... One  of the pledges reads: “Issue detainers for all illegal immigrants who ...	20	0_google_13
14	sanctuarycities	Mar 24 2018 Live from our nation_s capital I_m Jeanine Pirro Candidate Donald Trump ran on a promise to build a border wall The one that he had seven years to work on Our arsenal will now include the stealth F 35 bombers that literally are These guys funded the sanctuary cities the ones that protect illegal 	AGAINST	Mar 24, 2018 ... Live from our nation's capital, I'm Jeanine Pirro. ... Candidate Donald Trump ran  on a promise to build a border wall. ... The one that he had seven years to work  on. ... Our arsenal will now include the stealth F-35 bombers that literally are ...  These guys funded the sanctuary cities, the ones that protect illegal ...	20	0_google_14
15	sanctuarycities	Mar 24 2018 Trump signed spending bill despite having his own criticisms about the I am not a lawyer and I don_t even play one on TV but I do know this Mayor according to the National Sheriff_s Association they are against sanctuary cities In my city I overwhelmingly hear people that is very frustrated the 	NONE	Mar 24, 2018 ... Trump signed spending bill despite having his own criticisms about the ... I am  not a lawyer and I don't even play one on TV, but I do know this, .... Mayor,  according to the National Sheriff's Association, they are against sanctuary cities.  ... In my city, I overwhelmingly hear people that is very frustrated, the ...	20	0_google_15
