ID	Target	Tweet	Stance	Date	Origin
999076869478797312	santafestrong;santafehighschool	SantaFeHighSchool EnoughIsEnough MarchForOurLiveshttps   	AGAINST	2018-05-22 19:57:42	#SantaFeHighSchool #EnoughIsEnough #MarchForOurLiveshttps://twitter.com/RobbieLeeB/status/998911568044789762 …
999075930227204096	santafestrong;santafehighschool	NOW SANTAFEHIGHSCHOOL	AGAINST	2018-05-22 19:53:58	#NOW #SANTAFEHIGHSCHOOL https://twitter.com/MarkBermanFox26/status/999075191966781440 …
999074883911827456	santafestrong;santafehighschool	NRAIsATerroristOrganization NRABloodOnYourHands MSDStrong SantaFeHighSchool Enoughhttps   	AGAINST	2018-05-22 19:49:48	#NRAIsATerroristOrganization #NRABloodOnYourHands #MSDStrong #SantaFeHighSchool #Enoughhttps://twitter.com/RedTRaccoon/status/999066580100308992 …
999069854132068352	santafestrong;santafehighschool	Love the SantaFeHighSchool	AGAINST	2018-05-22 19:29:49	Love the @astros #SantaFeHighSchool  https://twitter.com/astros/status/999058791089033216 …
999060772507570179	santafestrong;santafehighschool	SFSTRONG SantaFeStrong SantaFeShooting	AGAINST	2018-05-22 18:53:44	#SFSTRONG #SantaFeStrong #SantaFeShooting
999059857834725377	santafestrong;santafehighschool	SantaFeStrong	AGAINST	2018-05-22 18:50:06	http://www.galvnews.com/sports/free/article_31a5e5ba-45dc-5406-9533-669cc2f52eac.html … #SantaFeStrong
999058162614439936	santafestrong;santafehighschool	SantaFeStrong	AGAINST	2018-05-22 18:43:22	#SantaFeStrong
999054739886297088	santafestrong;santafehighschool	SantaFeStrong	AGAINST	2018-05-22 18:29:46	 #SantaFeStrong https://www.facebook.com/kemahkarma/posts/10156546499874524 …
999054141472301056	santafestrong;santafehighschool	SantaFeStrong SantaFeHighSchool	AGAINST	2018-05-22 18:27:23	#SantaFeStrong #SantaFeHighSchool https://twitter.com/KPRC2/status/999047443164655616 …
999053314124910592	santafestrong;santafehighschool	SantaFeStrong	AGAINST	2018-05-22 18:24:06	 #SantaFeStrong https://www.facebook.com/kemahkarma/posts/10156546491674524 …
999048670053052416	santafestrong;santafehighschool	SantaFeStrong	AGAINST	2018-05-22 18:05:39	#SantaFeStrong https://twitter.com/KPRC2/status/999047443164655616 …
999048127700262912	santafestrong;santafehighschool	SantaFeStrong	AGAINST	2018-05-22 18:03:29	#SantaFeStrong https://twitter.com/KPRC2/status/999047443164655616 …
999047560718372866	santafestrong;santafehighschool	SantaFeStrong U	AGAINST	2018-05-22 18:01:14	 #SantaFeStrong pic.twitter.com/TL7dOKbiKU
999047186087366661	santafestrong;santafehighschool	NeverAgain MarchforOurLives StudentsStandup KnowYourRights TheResistance BoycottNRA StudentsDemandAction BlackLivesMatter Ferguson Missouri FlintKids WhatIf SantafeHighschool SantaFeStrong	AGAINST	2018-05-22 17:59:45	#NeverAgain #MarchforOurLives #StudentsStandup #KnowYourRights #TheResistance #BoycottNRA #StudentsDemandAction #BlackLivesMatter #Ferguson #Missouri #FlintKids #WhatIf #SantafeHighschool #SantaFeStrong https://twitter.com/savannavest/status/998924485846814720 …
999045937849946112	santafestrong;santafehighschool	SantaFeStrong TexasStrong	AGAINST	2018-05-22 17:54:47	#SantaFeStrong #TexasStrong
999044805475950592	santafestrong;santafehighschool	SantaFeStrong	AGAINST	2018-05-22 17:50:17	#SantaFeStrong https://twitter.com/roflo/status/999041564642070528 …
999043881730756608	santafestrong;santafehighschool	SantaFeStrong	AGAINST	2018-05-22 17:46:37	#SantaFeStrong pic.twitter.com/CqOePPiIEq
999042531605336065	santafestrong;santafehighschool	NeverAgain MarchforOurLives StudentsStandup KnowYourRights TheResistance BoycottNRA StudentsDemandAction BlackLivesMatter Ferguson Missouri FlintKids WhatIf SantafeHighschool SantaFeStrong GunsAreTheProblemhttps   	AGAINST	2018-05-22 17:41:15	#NeverAgain #MarchforOurLives #StudentsStandup #KnowYourRights #TheResistance #BoycottNRA #StudentsDemandAction #BlackLivesMatter #Ferguson #Missouri #FlintKids #WhatIf #SantafeHighschool #SantaFeStrong #GunsAreTheProblemhttps://twitter.com/CarlosGSmith/status/999015181295542273 …
999034457922461697	santafestrong;santafehighschool	NeverAgain ParklandStrong SantaFeStrong	AGAINST	2018-05-22 17:09:10	#NeverAgain #ParklandStrong #SantaFeStrong #SandyHookpic.twitter.com/okMx49aSbf
999032215634956293	santafestrong;santafehighschool	SantaFe SantaFeHighSchool SantaFeSchoolShooting Kyle McLeodAngelique RamirezChris StoneJared BlackKimberly VaughanSabika SheikhCynthia TisdaleAnn PerkinsShana FisherChristian Garcia	AGAINST	2018-05-22 17:00:15	#SantaFe   #SantaFeHighSchool   #SantaFeSchoolShooting     Kyle McLeodAngelique RamirezChris StoneJared BlackKimberly VaughanSabika SheikhCynthia TisdaleAnn PerkinsShana FisherChristian Garcia
999031925879828480	santafestrong;santafehighschool	SantaFeHigh SantaFeStrong	AGAINST	2018-05-22 16:59:06	#SantaFeHigh #SantaFeStrong https://twitter.com/jezebelthegreat/status/998659449328930816 …
999028857708560384	santafestrong;santafehighschool	SANTAFEHIGHSCHOOL	AGAINST	2018-05-22 16:46:55	#SANTAFEHIGHSCHOOL https://twitter.com/astros/status/999004832450138112 …
999027872244396032	santafestrong;santafehighschool	Santa Fe Shooter Attorneys Say He Was Not Targeting Girl Who Spurned Himhttps    SantaFeHighSchool	FAVOR	2018-05-22 16:43:00	Santa Fe Shooter Attorneys Say He Was Not Targeting Girl Who Spurned Himhttps://buff.ly/2rYWxqt  #SantaFeHighSchool
999025054498328578	santafestrong;santafehighschool	SantaFeStrong	AGAINST	2018-05-22 16:31:48	#SantaFeStrong https://twitter.com/DivinZach/status/999015438611832833 …
999022185967579136	santafestrong;santafehighschool	Thread Enough CommonSenseGunLaws NeverAgain Parkland SantaFeHighSchool BanAssaultWeapons BanNRA MakeThemPay VoteThemOut VotesandPrayers	AGAINST	2018-05-22 16:20:24	Thread #Enough #CommonSenseGunLaws #NeverAgain #Parkland #SantaFeHighSchool #BanAssaultWeapons #BanNRA #MakeThemPay #VoteThemOut #VotesandPrayers https://twitter.com/britt_braun/status/998592506689449985 …
999012099371171841	santafestrong;santafehighschool	Awesome  Go Astros  SantaFeStrong	AGAINST	2018-05-22 15:40:19	Awesome! Go Astros! #SantaFeStrong  https://twitter.com/astros/status/999004832450138112 …
999011590447009798	santafestrong;santafehighschool	 Duping Delight  SantaFeShooting	NONE	2018-05-22 15:38:18	"""Duping Delight"" #SantaFeShooting https://twitter.com/steev_reevz/status/998003420702355458 …"
999008564994768897	santafestrong;santafehighschool	SantaFeStrong TexasStrong    	AGAINST	2018-05-22 15:26:17	#SantaFeStrong #TexasStrong @nancyflory3https://stream.org/santa-fe-high-school-baseball/ …
998994839449620480	santafestrong;santafehighschool	It Took Only Four Minutes For Cops To Distract And Confront Santa Fe School Shooter Could Learn Something    But No  He Is Incapable Of Learning Or Proper Sheriffing BrowardCowards SantaFeHighSchool	FAVOR	2018-05-22 14:31:44	It Took Only Four Minutes For Cops To Distract And Confront Santa Fe School Shooter   @browardsheriff Could Learn Something....But No, He Is Incapable Of Learning Or Proper Sheriffing  #BrowardCowards #SantaFeHighSchool  http://dailycaller.com/2018/05/22/santa-fe-school-shooting-new-details/?utm_medium=social&utm_source=twitter&utm_campaign=site-share …
998994600852418563	santafestrong;santafehighschool	WhitePrivilege TypicalGOP SantaFeHighSchool	AGAINST	2018-05-22 14:30:47	#WhitePrivilege #TypicalGOP #SantaFeHighSchool
998992217061642241	santafestrong;santafehighschool	Columbine Parkland SantaFe SantaFeStrong MSDStrong WakeUpAmerica	AGAINST	2018-05-22 14:21:19	https://youtu.be/gA-4QNVkH2g   #Columbine #Parkland  #SantaFe #SantaFeStrong #MSDStrong #WakeUpAmerica
998991738877480963	santafestrong;santafehighschool	NeverAgain GunReformNOW EnoughIsEnough SantaFeStrong	AGAINST	2018-05-22 14:19:25	#NeverAgain #GunReformNOW #EnoughIsEnough #SantaFeStrong https://twitter.com/adamcbest/status/998242398449872896 …
998990186360066050	santafestrong;santafehighschool	NeverAgain MarchforOurLives StudentsStandup KnowYourRights TheResistance BoycottNRA StudentsDemandAction BlackLivesMatter Ferguson Missouri FlintKids WhatIf SantafeHighschool SantaFeStrong	AGAINST	2018-05-22 14:13:15	#NeverAgain #MarchforOurLives #StudentsStandup #KnowYourRights #TheResistance #BoycottNRA #StudentsDemandAction #BlackLivesMatter #Ferguson #Missouri #FlintKids #WhatIf #SantafeHighschool #SantaFeStrong https://twitter.com/BenjaminPDixon/status/998950231172579328 …
998987715180974080	santafestrong;santafehighschool	SantaFeStrong	AGAINST	2018-05-22 14:03:26	#SantaFeStrong #PrayforSantaFepic.twitter.com/jMEiPag5aW
998985982887120901	santafestrong;santafehighschool	SantaFeHighSchool SantaFe GunControlNowhttps   	AGAINST	2018-05-22 13:56:33	#SantaFeHighSchool #SantaFe #GunControlNowhttps://twitter.com/BillyBaldwin/status/998982623782494208 …
998985440022749185	santafestrong;santafehighschool	Definitely MSDStrong SantaFeHighSchool GunReformNowhttps   	FAVOR	2018-05-22 13:54:23	Definitely@realDonaldTrump @RepLoudermilk @SenJohnMcCain @SenatorIsakson @sendavidperdue @SenSchumer @amyschumer @NRA @NoRA4USA @votevets @SpeakerRyan @SenateMajLdr @tedlieu @ananavarro @DanRather #MSDStrong #SantaFeHighSchool #GunReformNowhttps://twitter.com/davidhogg111/status/998776124997062656 …
998984975394336770	santafestrong;santafehighschool	WHY WAS THERE ANOTHER SCHOOL SHOOTING  HOW DO PEOPLE IN OFFICE SIT THERE WORRYING ABOUT ABORTION WHEN ACTUAL ALIVE KIDS ARE BEING MURDERED REGULARLY WHAT IS AMERICA I DONT GET IT SantaFeHighSchool Enough GunControlNow	FAVOR	2018-05-22 13:52:33	WHY WAS THERE ANOTHER SCHOOL SHOOTING. HOW DO PEOPLE IN OFFICE SIT THERE WORRYING ABOUT ABORTION WHEN ACTUAL ALIVE KIDS ARE BEING MURDERED REGULARLY WHAT IS AMERICA I DONT GET IT #SantaFeHighSchool #Enough #GunControlNow
998982925977866241	santafestrong;santafehighschool	SantaFeStrong	AGAINST	2018-05-22 13:44:24	#SantaFeStrong  https://www.facebook.com/kemahkarma/posts/10156545896944524 …
998981897123389440	santafestrong;santafehighschool	SantaFeHighSchool SantaFeStrong	AGAINST	2018-05-22 13:40:19	#SantaFeHighSchool #SantaFeStrong pic.twitter.com/qZjjNTRHvj
998978292223959040	santafestrong;santafehighschool	RIP SantaFeHighSchool	AGAINST	2018-05-22 13:25:59	#RIP #SantaFeHighSchool
998969909865598982	santafestrong;santafehighschool	artforsantafe SantaFeStrong	AGAINST	2018-05-22 12:52:41	#artforsantafe #SantaFeStrong pic.twitter.com/EOzR9ord8p
998967758602883072	santafestrong;santafehighschool	NeverAgain MAGA NRA NRAKills GunViolence ParklandFlorida Parkland MassShootings SantaFeSchoolShooting SantaFeShooting SantaFeHighSchool	AGAINST	2018-05-22 12:44:08	#NeverAgain #MAGA #NRA #NRAKills #GunViolence #ParklandFlorida #Parkland #MassShootings #SantaFeSchoolShooting #SantaFeShooting #SantaFeHighSchool  #doorspic.twitter.com/6J3a9rUo2q
998966955905204224	santafestrong;santafehighschool	ParklandStrong SantaFeStrong	AGAINST	2018-05-22 12:40:56	#ParklandStrong #SantaFeStrong pic.twitter.com/mNBBZcPV6t
998962735131045895	santafestrong;santafehighschool	SantaFeSchoolShooting SantaFeStrong	AGAINST	2018-05-22 12:24:10	#SantaFeSchoolShooting #SantaFeStrong https://twitter.com/owenvalentia/status/998748603916144645 …
998961200506556416	santafestrong;santafehighschool	SantaFeStrong EnoughIsEnough GunReformNOW NeverAgainhttps   	AGAINST	2018-05-22 12:18:04	#SantaFeStrong #EnoughIsEnough #GunReformNOW #NeverAgainhttps://twitter.com/RobbieLeeB/status/998911568044789762 …
