ID	Target	Tweet	Stance	Origin	Total	Origin_ID
1	santafestrong	Rip Mrs Perkins you were the best sub teacher a student could ask for and thank you for being so brave and pullin this is the 22nd school shooting since the beginning of this year in our country Sara Spector 8h8 hours ago Remember he was complicit in the death of these children SantaFeStrong 	AGAINST	Rip Mrs.Perkins you were the best sub/teacher a student could ask for and thank  you for being so brave and pullin ... this is the 22nd school shooting since the  beginning of this year in our country... ... Sara Spector @Miriam2626 8h8 hours  ago .... Remember he was complicit in the death of these children # SantaFeStrong.	20	0_google_1
2	santafestrong	 and thank you for being so brave and pullin the fire alarm to save us students and I_m so glad everybody Remember he was complicit in the death of these children SantaFeStrong this is the 22nd school shooting since the beginning of this year in our country how can anyone Sara Spector May 18 	FAVOR	... and thank you for being so brave and pullin the fire alarm to save us students  and I'm so glad everybody ... Remember he was complicit in the death of these  children #SantaFeStrong ... this is the 22nd school shooting since the beginning  of this year in our country... how can anyone .... Sara Spector @Miriam2626 May  18.	20	0_google_2
3	santafestrong	9 hours ago RT The Rockets will wear a jersey patch in WE ARE SANTAFESTRONG AND SO IS SARAH 	AGAINST	9 hours ago ... RT @HoustonRockets: The #Rockets will wear a jersey patch in ... WE ARE # SANTAFESTRONG AND SO IS SARAH! https://t.co/5QyIc7o4DG.	20	0_google_3
4	santafestrong	SantaFestrong The Sarah Kelly Music School is Putting the Woodlands on the Music Map Thank you so much for coming out and supporting me at Dosey Doe with Real Life Real Talk radio show I will be posting the video on my 	AGAINST	"#SantaFestrong .... The Sarah Kelly Music School is Putting the Woodlands on  the Music Map .... Thank you so much for coming out and supporting me at Dosey  Doe with "" Real Life Real Talk "" radio show ❤ I will be posting the video on my ..."	20	0_google_4
5	santafestrong	Sarah Kelly is on Facebook SantaFestrong Thank you so much for coming out and supporting me at Dosey Doe with Real Life Real Talk radio show 	AGAINST	"Sarah Kelly is on Facebook. ... #SantaFestrong .... Thank you so much for coming  out and supporting me at Dosey Doe with "" Real Life Real Talk "" radio show ..."	20	0_google_5
6	santafestrong	Ending the night with a santafestrong shirt So Adam Busby Bust so do i Piace a Ashley Westry Sarah Chappell Shannon Freeman e altri 2518 Leave it to Riley to make sure that everyone around us on the plane is entertained 	AGAINST	Ending the night with a #santafestrong shirt! So ... Adam Busby Bust so do i! ....  Piace a Ashley Westry, Sarah Chappell, Shannon Freeman e altri 2518. .....  Leave it to Riley to make sure that everyone around us on the plane is  entertained.	20	0_google_6
7	santafestrong	6 days ago Please know that the YES program is devastated by this loss and we will remember In losing Angelique her friends and family lost so much 	AGAINST	6 days ago ... “Please know that the YES program is devastated by this loss and we will  remember ... In losing Angelique, her friends and family lost so much.	20	0_google_7
8	santafestrong	Jan 18 2015 Or do you have to go to school on Monday So we celebrated with some coke floats from Sonic and took a little Sonic selfie Sarah says 	FAVOR	Jan 18, 2015 ... Or do you have to go to school on Monday?? ... So we celebrated with some coke  floats from Sonic and took a little Sonic selfie .... Sarah says.	20	0_google_8
9	santafestrong	Oct 13 2012 I never shared with y_all some of our apple fun so I thought I_d take this SO we made a list of different things that can be made from Sarah says one hits so incredibly close to home enough notonemore santafestrong 	FAVOR	Oct 13, 2012 ... I never shared with y'all some of our apple fun, so I thought I'd take this ... SO, we  made a list of different things that can be made from .... Sarah says .... one hits so  incredibly close to home enough notonemore santafestrong ...	20	0_google_9
10	santafestrong	Dec 2 2012 If you want to read more about RACK_ing you can check out what we an advent calendar to keep myself organized this year so I headed to Good ideas for something cute next year Sarah the Reverie blog Heartbroken This one hits so incredibly close to home enough notonemore santafestrong 	FAVOR	Dec 2, 2012 ... If you want to read more about RACK'ing, you can check out what we ... an  advent calendar to keep myself organized this year, so I headed to .... Good ideas  for something cute next year.. Sarah the Reverie blog .... Heartbroken This one  hits so incredibly close to home enough notonemore santafestrong ...	20	0_google_10
