ID	Target	Tweet	Stance	Origin
1	santafestrong	SantaFeStrong hashtags do we need to institute change and stop these senseless tragedies  	AGAINST	SantaFeStrong hashtags do we need to institute change and stop these senseless tragedies ?
2	santafestrong	santafestrong still sending love to you all  	FAVOR	santafestrong still sending love to you all .
3	santafestrong	SantaFeStrong We _re coming up on 10 a m    when Gov  	FAVOR	SantaFeStrong We 're coming up on 10 a.m. , when Gov .
4	santafestrong	SantaFeStrong PrayForSantaFe Watch full video  	AGAINST	SantaFeStrong PrayForSantaFe Watch full video :
5	santafestrong	SantaFeStrong add images to the global gallery here	AGAINST	SantaFeStrong add images to the global gallery here
6	santafehighschool	SantaFeHighSchool You should acknowledge JJ Watt for paying for the funerals   too UC	AGAINST	SantaFeHighSchool You should acknowledge JJ Watt for paying for the funerals , too UC
7	santafehighschool	SantaFeHighSchool still deserves to have our support and encouragement  	FAVOR	SantaFeHighSchool still deserves to have our support and encouragement .
8	santafehighschool	SantaFeHighSchool You should acknowledge JJ Watt for paying for the funerals   too	AGAINST	SantaFeHighSchool You should acknowledge JJ Watt for paying for the funerals , too
9	santafehighschool	SantaFeHighSchool   65   of guns used in 37 school shootings from 1974 2000 came from the attackers own home or a relative Why hasnt the Santa Fe shooters father been arrested  	AGAINST	SantaFeHighSchool , 65 % of guns used in 37 school shootings from 1974-2000 came from the attackers own home or a relative Why hasnt the Santa Fe shooters father been arrested ?
10	santafehighschool	SantaFeHighSchool to say he _s hit rock bottom w  those who use these deaths to shout about gun rights and nothing else  	FAVOR	SantaFeHighSchool to say he 's hit rock bottom w/ those who use these deaths to shout about gun rights and nothing else .
11	santa fe high school	santa fe high school had armed cops and active shooter drills  	FAVOR	santa fe high school had armed cops and active shooter drills .
12	santa fe high school	santa fe high school shooting was one of yalls biggest fans  	NONE	santa fe high school shooting was one of yalls biggest fans .
13	santa fe high school	santa fe high school had a shooting plan   armed officers and practice  	FAVOR	santa fe high school had a shooting plan , armed officers and practice .
14	santa fe high school	santa fe high school to deliver crosses for each of the 10 victims  	NONE	santa fe high school to deliver crosses for each of the 10 victims .
15	santa fe high school	santa fe high school deadly shooting SantaFeStrong PrayForSantaFehttps     	AGAINST	santa fe high school deadly shooting SantaFeStrong PrayForSantaFehttps : //
16	santafeshooting	SantaFeShooting and discuss keeping childrens schools as safe as airports and gov buildings  	AGAINST	SantaFeShooting and discuss keeping childrens schools as safe as airports and gov buildings .
17	santafeshooting	SantaFeShooting with the other Texas legislative candidates who have been awarded the GunSense distinction by  	AGAINST	SantaFeShooting with the other Texas legislative candidates who have been awarded the GunSense distinction by .
18	santafeshooting	SantaFeshooting   Texas cancels his _Texas made _ shotgun giveaway  	NONE	SantaFeshooting , Texas cancels his 'Texas-made ' shotgun giveaway .
19	santafeshooting	SantaFeShooting   but Txlege members should acknowledge that for him to actually listen to anyone about anything would be progress  	AGAINST	SantaFeShooting , but Txlege members should acknowledge that for him to actually listen to anyone about anything would be progress .
20	santafeshooting	SantaFeShooting   he _s touting a gun giveaway on his website  	NONE	SantaFeShooting , he 's touting a gun giveaway on his website .
