ID	Target	Tweet	Stance	Origin	Total	Origin_ID
1	tidepodchallenge	It would be an example of natural selection if and only if it can be demonstrated that the trait s that lead those who take up the challenge to do 	FAVOR	It would be an example of natural selection if and only if it can be demonstrated  that the trait(s) that lead those who take up the challenge to do ...	20	0_google_1
2	tidepodchallenge	Jan 25 2018 The Tide Pod challenge simply entails filming yourself biting down on a Tide Pod a laundry detergent capsule which some say resembles a 	FAVOR	Jan 25, 2018 ... The “Tide Pod challenge” simply entails filming yourself biting down on a Tide  Pod; a laundry detergent capsule, which some say resembles a ...	20	0_google_2
3	tidepodchallenge	Jan 19 2018 The Tide Pod Challenge as you_ve probably worked out by now involves An Australian version of the tide pod thing called The Napisan Challenge be the ones to swoop in and speed up the natural selection process 	AGAINST	Jan 19, 2018 ... The Tide Pod Challenge, as you've probably worked out by now, involves ... An  Australian version of the tide pod thing called The Napisan Challenge .... be the  ones to swoop in and speed up the natural selection process.	20	0_google_3
4	tidepodchallenge	Check out the new Tide Pod Challenge kids are doing This is Natural Selection at its finest Show your kids this video and tell them not to be so damn stupid 	NONE	Check out the new Tide Pod Challenge kids are doing. This is Natural Selection  at its finest. Show your kids this video and tell them not to be so damn stupid.	20	0_google_4
5	tidepodchallenge	Jan 19 2018 The Tide pod challenge is a real viral phenomenon whereby people are putting detergent pods in their mouths in what_s being called the 	NONE	"Jan 19, 2018 ... The ""Tide pod challenge"" is a real viral phenomenon whereby people ... are  putting detergent pods in their mouths in what's being called the ..."	20	0_google_5
6	tidepodchallenge	Feb 8 2018 These people participate in the Tide Pod Challenge because they know Call it a joke call it natural selection but for the sake of the physical 	AGAINST	Feb 8, 2018 ... These people participate in the Tide Pod Challenge because they know ... Call it  a joke, call it natural selection, but for the sake of the physical ...	20	0_google_6
7	tidepodchallenge	Tide POD Challenge refers to a dare game involving the consumption of Tide According to Consumer Reports there were increased calls to poison control Why try to ban Tide Pods when you can just let natural selection take its course 	AGAINST	Tide POD Challenge refers to a dare game involving the consumption of Tide ...  According to Consumer Reports, there were increased calls to poison control ......  Why try to ban Tide Pods when you can just let natural selection take its course?	20	0_google_7
8	tidepodchallenge	Jan 26 2018 The dreaded Tide Pod Challenge started because of someone who fame just remember the Challenge is just modern day natural selection 	NONE	"Jan 26, 2018 ... The dreaded Tide Pod Challenge started because of someone who ... fame, just  remember the Challenge is just ""modern-day natural selection."	20	0_google_8
9	tidepodchallenge	Jan 12 2018 They_re popping detergent pods into their moves and then posting it They call it the tide pod challenge I call it natural selection 	NONE	Jan 12, 2018 ... They're popping detergent pods into their moves and then posting it ... ... They  call it the tide pod challenge, I call it natural selection🤷 ♀ .	20	0_google_9
10	tidepodchallenge	Jan 17 2018 Already over 40 cases related to The Tide Pod Challenge this year Some might call it natural selection since these pods are indeed poison 	AGAINST	Jan 17, 2018 ... Already over 40 cases related to The Tide Pod Challenge this year. Some might  call it natural selection since these pods are indeed poison.	20	0_google_10
11	tidepodchallenge	Feb 13 2018 It_s called natural selection One of the first things you There are people out there taking part in the Tide pod challenge That_s not to say they 	FAVOR	Feb 13, 2018 ... It's called natural selection. One of the first things you ... There are people out  there taking part in the Tide pod challenge. That's not to say they ...	20	0_google_11
12	tidepodchallenge	Jan 23 2018 The CEO of Procter Gamble which makes Tide Pods has spoken out ways natural selection has taken it_s course the Tide Pod challenge 	NONE	Jan 23, 2018 ... The CEO of Procter & Gamble, which makes Tide Pods, has spoken out ... ways  natural selection has taken it's course: the Tide Pod challenge.	20	0_google_12
13	tidepodchallenge	Jan 30 2018 It_s basically eating bleach Keohavong said I saw someone on Twitter say _If you eat a tide pod then its just natural selection at that point _ 	NONE	Jan 30, 2018 ... It's basically eating bleach,” Keohavong said. “I saw someone on Twitter say 'If  you eat a tide pod, then its just natural selection at that point.'”.	20	0_google_13
14	tidepodchallenge	Upon hearing some children have died as a result of the challenge people have quipped this is natural selection at work and if your kid is this stupid they 	AGAINST	Upon hearing some children have died as a result of the challenge, people have  quipped “this is natural selection at work,” and “if your kid is this stupid, they ...	20	0_google_14
15	tidepodchallenge	Jan 17 2018 Dont worry about People who eat tide pods it_s natural selection all i gotta say is we weren_t eating tide pods while obama was president 	AGAINST	Jan 17, 2018 ... Dont worry about People who eat tide pods it's natural selection ... all i gotta say  is we weren't eating tide pods while obama was president.	20	0_google_15
16	tidepodchallenge	Jan 20 2018 A Texas dad is putting his own spin on the viral Tide Pod Challenge with a good choices and not doing these types of challenges that they see on social media TV etc Baffled by the foolishness of the so called challenge Mayfield said it was Which disrupted the whole natural selection thing 	AGAINST	"Jan 20, 2018 ... A Texas dad is putting his own spin on the viral Tide Pod Challenge with a ...  good choices and not doing these types of challenges that they see on social  media, TV, etc. ... Baffled by the foolishness of the so-called ""challenge,"" Mayfield  said it was ... Which disrupted the whole natural selection thing."	20	0_google_16
