ID	Target	Tweet	Stance	Date	Origin
1000526969191137280	wherearethechildren;liegate;trump	THERE IS NO SUCH LAW  It is an executive policy developed by THIS White House  Entire tweet is a LIE  LiarInChief    	AGAINST	2018-05-26 19:59:53	THERE IS NO SUCH LAW. It is an executive policy developed by THIS White House. Entire tweet is a LIE. #LiarInChief @MN02 @RepJasonLewishttps://twitter.com/realdonaldtrump/status/1000375761604370434 …
1000526963440865280	wherearethechildren;liegate;trump	LieGate works for me 	AGAINST	2018-05-26 19:59:51	#LieGate works for me. https://twitter.com/DavidCornDC/status/1000414452066476033 …
1000526957350604800	wherearethechildren;liegate;trump	Amen  The truth  WhereAreTheChildren	AGAINST	2018-05-26 19:59:50	Amen!  The truth. #WhereAreTheChildren https://twitter.com/bubbagump324/status/1000396546956054528 …
1000526947208826880	wherearethechildren;liegate;trump	Every child that is harmed is on you  The Devil loves tRump cause he does his bidding  WhereAreTheMissingChildren WhereAreTheMigrantChildren WhereAreTheMigrantChildren WhereAreTheChidren WhereAreTheMissingChildren WhereAreTheChildren WhereAreThey	AGAINST	2018-05-26 19:59:47	@realDonaldTrump  Every child that is harmed is on you! The Devil loves tRump cause he does his bidding! #WhereAreTheMissingChildren  #WhereAreTheMigrantChildren  #WhereAreTheMigrantChildren #WhereAreTheChidren  #WhereAreTheMissingChildren  #WhereAreTheChildren #WhereAreThey
1000526938946105344	wherearethechildren;liegate;trump	Get together and do your jobs  Represent Ohio and what we stand for  is cruel  dont be like him  WhereAreTheChildren	FAVOR	2018-05-26 19:59:45	@SenSherrodBrown @senrobportman @JohnKasich Get together and do your jobs. Represent Ohio and what we stand for! @realDonaldTrump is cruel, don’t be like him. #WhereAreTheChildren
1000526936920285185	wherearethechildren;liegate;trump	Actually he doesn_t  He never tells us where the children are      WhereAreTheChildren	AGAINST	2018-05-26 19:59:45	Actually he doesn't.  He never tells us where the children are..... #WhereAreTheChildren
1000526926346207233	wherearethechildren;liegate;trump	   look in the mirror and tell us WhereAreTheChildren	FAVOR	2018-05-26 19:59:42	.,@realDonaldTrump look in the mirror and tell us #WhereAreTheChildren https://twitter.com/RedTRaccoon/status/1000383907882307584?ref_src=twcamp%5Ecopy%7Ctwsrc%5Eandroid%7Ctwgr%5Ecopy%7Ctwcon%5E7090%7Ctwterm%5E3 …
1000526920411299840	wherearethechildren;liegate;trump	My heart can not handle this breaking  you have my full support  This is monstrous and must be stopped  wherearethechildren	AGAINST	2018-05-26 19:59:41	My heart can not handle this breaking. @SenKamalaHarris you have my full support. This is monstrous and must be stopped. #wherearethechildren https://twitter.com/TyroneGayle/status/1000429585148923904 …
1000526918465277952	wherearethechildren;liegate;trump	Does anyone know if there_s going to be one in Dallas  WhereAreTheChildren	FAVOR	2018-05-26 19:59:40	Does anyone know if there's going to be one in Dallas?#WhereAreTheChildren
1000526915801772032	wherearethechildren;liegate;trump	Yeah  but WhereAreTheChildren 	AGAINST	2018-05-26 19:59:40	Yeah, but #WhereAreTheChildren?
1000526900996042752	wherearethechildren;liegate;trump	LiarInChief and only a moron would support you just like	AGAINST	2018-05-26 19:59:36	@realDonaldTrump #LiarInChief and only a moron would support you just like @therealroseanne
1000526900127780865	wherearethechildren;liegate;trump	WhereAreTheChildren Your conduct   administration are shameful 	FAVOR	2018-05-26 19:59:36	#WhereAreTheChildren Your conduct & administration are shameful.
1000526883988168704	wherearethechildren;liegate;trump	WhereAreTheChildren  you evil monster 	FAVOR	2018-05-26 19:59:32	#WhereAreTheChildren, you evil monster? https://twitter.com/Kanew/status/1000374075301167104?s=20 …
1000526883694489600	wherearethechildren;liegate;trump	But it was Trump_s policy Kelly orchestrated and newer DHS Nielsen is also involved in her reign of terror  WHEREARETHECHILDREN WhereAreTheMissingChildren 1475LostChildren findthechildren FindEveryChild TrumpCrimesagainstHumanity	AGAINST	2018-05-26 19:59:32	But it was Trump's policy Kelly orchestrated and newer DHS Nielsen is also involved in her reign of terror. #WHEREARETHECHILDREN  #WhereAreTheMissingChildren  #1475LostChildren  #findthechildren  #FindEveryChild   #TrumpCrimesagainstHumanity
1000526874374803456	wherearethechildren;liegate;trump	Seriously guys  Is this supposed to be sarcasm  WhereAreTheChidren	NONE	2018-05-26 19:59:30	Seriously guys?  Is this supposed to be sarcasm?   #WhereAreTheChidren  https://twitter.com/icegovcareers/status/999992037310156800 …
1000526871300329477	wherearethechildren;liegate;trump	Are we up to 4 000 lies yet  liegate	AGAINST	2018-05-26 19:59:29	Are we up to 4,000 lies yet?   #liegate
1000526870704771072	wherearethechildren;liegate;trump	So like should ACLU be flooding the border with people  lawyers  public officials  citizens who are not having it and just not let this happen  I am ready to book a flight if you are  WhereAreTheChildren	AGAINST	2018-05-26 19:59:29	So like should ACLU be flooding the border with people, lawyers, public officials, citizens who are not having it and just not let this happen? I am ready to book a flight if you are. #WhereAreTheChildren
1000526801762967552	wherearethechildren;liegate;trump	and 7 others thanks for the follow  I am following you all  My appreciation  TheResistance  WhereAreTheChildren 	AGAINST	2018-05-26 19:59:13	@Emolclause and 7 others thanks for the follow. I am following you all. My appreciation. #TheResistance, #WhereAreTheChildren.
1000526793479077888	wherearethechildren;liegate;trump	It is appalling that have not covered this issue in the news  Where is there moral courage  This should be the only story  WhereAreTheChidren	AGAINST	2018-05-26 19:59:11	It is appalling that @CNN @jaketapper @ErinBurnett @andersoncooper @wolfblitzer @PoppyHarlowCNN @BrookeBCNN @KateBolduan @ChrisCuomo have not covered this issue in the news!  Where is there moral courage! This should be the only story! #WhereAreTheChidren https://twitter.com/senkamalaharris/status/1000466902618173440 …
1000526790459260928	wherearethechildren;liegate;trump	WhereAreTheChildren Resist FUCKYOU Only illegal criminal activity is you and your administration donnieinhandcuffs	FAVOR	2018-05-26 19:59:10	#WhereAreTheChildren #Resist #FUCKYOU @realDonaldTrump Only illegal criminal activity is you and your administration #donnieinhandcuffs
1000526785765834753	wherearethechildren;liegate;trump	WhereAreTheMissingChildren  Lets talk about that  Or the fact that theres a school shooting just about every week  Flint still doesnt have safe drinking water  PR still doesnt have electricity 	NONE	2018-05-26 19:59:09	#WhereAreTheMissingChildren? Let’s talk about that. Or the fact that there’s a school shooting just about every week. Flint still doesn’t have safe drinking water. PR still doesn’t have electricity.
1000526779973423105	wherearethechildren;liegate;trump	We  the people  DEMAND to know   WhereAreTheChildren        	FAVOR	2018-05-26 19:59:07	We, the people, DEMAND to know - #WhereAreTheChildren ?!?!?!?
1000526776261533697	wherearethechildren;liegate;trump	MAGA folks  dont ever fucking talk to me about Pizzagate again  Your president has handed over real children to real sex traffickers and you lot have said nothing  You are sad hypocrites  resist Impeach45 fbr WhereAreTheMissingChildren	AGAINST	2018-05-26 19:59:07	#MAGA folks, dont ever fucking talk to me about #Pizzagate again.  Your president has handed over real children to real sex traffickers and you lot have said nothing.  You are sad hypocrites. #resist #Impeach45 #fbr #WhereAreTheMissingChildren
1000526747547336705	wherearethechildren;liegate;trump	RudyGiuliani warned him it was illegal to use foreign help during election  Read the memo folks  LieGate TrumpCrimeFamily	FAVOR	2018-05-26 19:59:00	#RudyGiuliani warned him it was illegal to use foreign help during election. Read the memo folks. #LieGate #TrumpCrimeFamily #magapic.twitter.com/tRLZXlzJfh
1000526742044409857	wherearethechildren;liegate;trump	Donald Trump fires staffer after racially charged posts surface This doesn_t help Sam at all   He_s a Damn Racist Pig   belong_s to LieGate	AGAINST	2018-05-26 19:58:58	Donald Trump fires staffer after racially charged posts surface https://www.huffingtonpost.com/entry/donald-trump-sam-nunberg_us_55be3bd0e4b06363d5a27f5a?ncid=engmodushpmg00000004 … This doesn't help Sam @NunbergSam  at all - He's a Damn Racist Pig & belong's to #LieGate
1000526730849730561	wherearethechildren;liegate;trump	June 14th is tRUmp_s birthday  PERFECT TIMING           WhereAreTheChildren WhereAreTheMissingChildren	AGAINST	2018-05-26 19:58:56	June 14th is tRUmp's birthday! PERFECT TIMING!!!!!!!!!!  #WhereAreTheChildren #WhereAreTheMissingChildren
1000526725556723712	wherearethechildren;liegate;trump	Thank you  Is there one in Houston  WhereAreTheChildren WhereAreTheChildren WhereAreTheChildren	FAVOR	2018-05-26 19:58:54	Thank you! Is there one in Houston?  #WhereAreTheChildren  #WhereAreTheChildren  #WhereAreTheChildren https://twitter.com/JoaquinCastrotx/status/1000407222554329088 …
1000526725460217856	wherearethechildren;liegate;trump	Sounds like a real emergency    someone should alert the President  WhereAreTheChildren	FAVOR	2018-05-26 19:58:54	Sounds like a real emergency... someone should alert the President!   #WhereAreTheChildren pic.twitter.com/1zb0J5Wj1z
1000526712793452544	wherearethechildren;liegate;trump	To the people at DHS who knew children were going missing by the hundreds and didn_t sound the alarm about this earlier  shame on you  may this haunt you for the rest of your days  WhereAreTheChildren	FAVOR	2018-05-26 19:58:51	To the people at DHS who knew children were going missing by the hundreds and didn't sound the alarm about this earlier: shame on you, may this haunt you for the rest of your days.  #WhereAreTheChildren
1000526694594179072	wherearethechildren;liegate;trump	Hash Tag THIS SHOULD BE THE LAST STRAW    An AMERICAN PRESIDENT Does NOT Do This    TRUMP should be OUT right NOW    WhereAreTheChidren EnoughIsEnough	FAVOR	2018-05-26 19:58:47	Hash Tag THIS SHOULD BE THE LAST STRAW!!!  An AMERICAN PRESIDENT Does NOT Do This!!!  TRUMP should be OUT right NOW!!! #WhereAreTheChidren #EnoughIsEnough
1000526673803177986	wherearethechildren;liegate;trump	Jesus you_re an idiot  You are a liar  LieGate	AGAINST	2018-05-26 19:58:42	Jesus you're an idiot! You are a liar! #LieGate
1000526650088411136	wherearethechildren;liegate;trump	Can we agree to reply to all of Trump_s tweets with nothing but WhereAreTheChildren until he changes this policy 	AGAINST	2018-05-26 19:58:36	Can we agree to reply to all of Trump's tweets with nothing but #WhereAreTheChildren until he changes this policy?
1000526641322438656	wherearethechildren;liegate;trump	Caught LYING to the American people once again  When will it end  Here_s the briefing he said doesn_t exist  LieGate	AGAINST	2018-05-26 19:58:34	Caught LYING to the American people once again. When will it end? Here's the briefing he said doesn't exist.   #LieGate pic.twitter.com/sSPAI7frIF
