ID	Target	Tweet	Stance	Date
1	thoughts	thoughts are w everyone affected by shootings in Ottawa CanadaStrong	FAVOR	2014-10-22 19:39:42
2	thoughts	thoughts are with affected by events in Ottawa	FAVOR	2014-10-22 17:42:01
3	thoughts	thoughts are with friends in Ottawa	FAVOR	2014-10-22 17:08:02
4	thoughts	thoughts are with Ottawa	FAVOR	2014-10-22 17:21:50
5	thoughts	thoughts are with those on scene	FAVOR	2014-10-22 15:26:51
6	thoughts	thoughts are with everyone in city of Ottawa today	FAVOR	2014-10-22 15:27:18
7	thoughts	Thoughts are with those in Ottawa today Parliament besafe	FAVOR	2014-10-22 14:42:16
8	thoughts	thoughts are with & first responders	FAVOR	2014-10-22 15:36:20
9	thoughts	thoughts are with everyone in Ottawa today	FAVOR	2014-10-22 16:22:55
10	thoughts	thoughts are with Emergency Responders and bystanders in Ottawa	FAVOR	2014-10-22 16:03:06
11	thoughts	thoughts are with nation's capital now	FAVOR	2014-10-22 16:03:44
12	thoughts	thoughts are with friends in Ottawa today at difficult time	FAVOR	2014-10-22 18:08:36
13	thoughts	thoughts are with those in Ottawa today	FAVOR	2014-10-22 18:20:54
14	thoughts	thoughts are with Ottawa morning	FAVOR	2014-10-22 15:18:11
15	thoughts	thoughts are with everyone in Ottawa at time	FAVOR	2014-10-22 15:40:55
16	thoughts	Thoughts are with Ottawa today	FAVOR	2014-10-22 17:38:50
17	thoughts	Thoughts are with Ottawa today	FAVOR	2014-10-22 17:38:50
18	thoughts	thoughts are with Ottawa today	FAVOR	2014-10-22 15:46:20
19	thoughts	thoughts go to those impacted by today's senseless attacks in Ottawa	FAVOR	2014-10-22 17:47:36
20	thoughts	thoughts are with affected by today's events in Ottawa	FAVOR	2014-10-22 18:49:21
21	thoughts	thoughts are with city of Ottawa and those affected by today's events	FAVOR	2014-10-22 16:47:21
