ID	Target	Tweet	Stance
954405635860332544	1	The #capsaicin 8% patch #Qutenza may be more effective than #pregabalin in reducing the intensity and area of dynamic mechanical #allodynia.http://bit.ly/2FLk2IO	AGAINST
954376677441900546	1	8,114 doses of #gabapentin missing from correctional facility in December. The drug is often abused in prisons. via @indystarhttps://www.indystar.com/story/news/crime/2018/01/17/8-000-doses-frequently-abused-pain-drug-missing-indiana-prison/1028314001/ …	AGAINST
954111394399637504	1	72 hours of perioperative #gabapentin use may promote #opioid cessation after surgery and decrease the duration of postoperative #opioiduse. http://ja.ma/2mFBnds #VisualAbstractpic.twitter.com/9HbzON7N3L	FAVOR
954084049907306497	1	#Gabapentin administered pre- and postoperatively may reduce the time to postoperative #opioid cessation compared with placebo. @JAMASurgeryhttp://ow.ly/V7lM30hRKm3	FAVOR
954039928249356288	1	Thank you for sharing updated information on respiratory depression. For #gabapentin #neurontin	AGAINST
953658336947425280	1	The #capsaicin 8% patch #Qutenza may be more effective than #pregabalin in reducing the intensity and area of dynamic mechanical #allodynia.http://bit.ly/2FLk2IO	AGAINST
953417123950362625	1	Study pinpoints key mechanism in brain development, raising questions about use of #antiseizure #drug #Gabapentin #Neurontin http://med.stanford.edu/news/all-news/2009/10/study-pinpoints-key-mechanism-in-brain-development-raising-questions-about-use-of-antiseizure-drug.html …	FAVOR
953416583313059841	1	72 hours of perioperative #gabapentin use may promote #opioid cessation after surgery and decrease the duration of postoperative #opioiduse. http://ja.ma/2mf6aNK #VisualAbstractpic.twitter.com/thiQE4P3gV	FAVOR
953389677276549120	1	The #capsaicin 8% patch #Qutenza may be more effective than #pregabalin in reducing the intensity and area of dynamic mechanical #allodynia. http://bit.ly/2FLk2IO	AGAINST
952672942441291776	1	RT @JAMASurgery: 72 hours of perioperative #gabapentin use may promote #opioid cessation after surgery and decrease the duration of postoperative #opioiduse. http://ja.ma/2meuShu #VisualAbstractpic.twitter.com/ypXoWrBdYz	FAVOR
952588822797340675	1	#Pregabalin #Generic provides the comprehensive guide and a list of 101 possible & #adverse side #effects including long term and short term side effects of #Lyrica #Pregabalin #SideEffectshttp://pregabalingeneric.com/pregabalin-side-effects-long-term …	FAVOR
952344516698296320	1	72 hours of perioperative #gabapentin use may promote #opioid cessation after surgery and decrease the duration of postoperative #opioiduse. http://ja.ma/2meuShu #VisualAbstractpic.twitter.com/Q22omWJdim	FAVOR
952274161245786112	1	@APAPsychiatric #AUD #comorbidity #psychiatricdisorders #pharmacotherapies #naltrexone #acamprosate #topiramate #gabapentin #disulfiram #CAGEQuestionnaire #AUDTC #personcentered #counseling #wellness #12step APA recommends pharmacotherapies to treat AUD.https://www.medscape.com/viewarticle/891105?src=wnl_mdplsnews_180112_mscpedit_wir&uac=172006AT&impID=1531725&faf=1 …	FAVOR
952021256781615104	1	Viagra: #Gabapentin 300 mg: Generic Neurontin - What works like viagra at http://gabapentin300mg.net/l/g18/jwr	FAVOR
952007822480433158	1	#WestVirginia @Sen_JoeManchin #FDA #DEA #pharmacy consider reschedule #Gabapentin #neurontin http://wvpress.org/breaking-news/west-virginias-sen-manchin-asks-fda-dea-consider-rescheduling-gabapentin/ …	FAVOR
951949845459292160	1	#Neurontin #Gabapentin DEPLETES vitamins B6, B12, A, D, and K, folic acid, biotin, carnitine, calcium and magnesium. https://twitter.com/fibroflutters/status/951948224016809985 …	FAVOR
951814804821463041	1	#Pregabalin seems unlikely to be effective therapy for patients discontinuing long-term #benzodiazepine use.http://bit.ly/2EzzBSa	FAVOR
951737765850419200	1	Intentional drug overdose involving #pregabalin and #gabapentin: findings from the National Self-Harm Registry Ireland, 2007-2015. https://buff.ly/2DmeRyc	AGAINST
951554370113540096	1	"NEW! People in early recovery may have lots of discomfort, but medication isn't always the best answer "" #Gabapentin"" http://ow.ly/DJHH30hDacs"	AGAINST
951436841839886336	1	Clomid: Gabapentin 300 mg: Generic #Neurontin - Clomid chances of twins at http://gabapentin300mg.net/l/g18/oak	AGAINST
951251123293257728	1	"NEW! "" #Gabapentin"" People in early recovery may have lots of discomfort, but medication isn't always the best answer http://ow.ly/DWOT30hDa4G"	AGAINST
951225751789080578	1	Buy Cheap Antibiotics Online - Need #neurontin weakness leg => http://cheapantibiotic.com/l/g18/uhn	FAVOR
951160522908553217	1	"NEW! People in early recovery may have lots of discomfort, but medication isn't always the best answer "" #Gabapentin"" http://ow.ly/28PC30hDa4v"	AGAINST
