ID	Target	Tweet	Stance
1	Tower	Aug 17, 2017 ... The Eiffel Tower Goes Dark To Honor Victims Of Barcelona Attack ... on Thursday  afternoon, killing at least 13 people and injuring over 100. ... The Eiffel Tower  also went dark at 8 p.m. in 2015 to mourn the Charlie Hebdo ...	FAVOR
2	Tower	Mar 22, 2017 ... JUST IN: Eiffel Tower goes dark at midnight in Paris in honor of London ... Paris  Mayor Anne Hidalgo announced Wednesday evening local time that ... Eiffel  Tower this evening at midnight, to honor the victims of the attack in ... The Eiffel  Tower went dark at 8 p.m. in 2015 to mourn the Charlie Hebdo killings.	FAVOR
3	Tower	Jan 7, 2015 ... The Eiffel Tower went dark on Thursday to honor those who lost their ... in the  terror attack in Paris at the offices of the magazine Charlie Hebdo.	FAVOR
4	Tower	Jan 8, 2015 ... The iconic tower cut its lights at 8 p.m. local time on Thursday, a day ... See the  Eiffel Tower Go Dark in Honor of Paris Attack Victims ... Armed gunmen stormed  the offices of satirical newspaper Charlie Hebdo, ... The killers, believed to be  Islamist extremists, were still on the run Thursday evening local time.	AGAINST
5	Tower	Jan 8, 2015 - 42 sec - Uploaded by Wochit NewsThe Eiffel Tower went dark on Thursday to honor those who lost their lives in the terror ...	FAVOR
6	Tower	Jan 8, 2015 - 56 secPower to Paris' infamous monument – the Eiffel Tower – was turned off briefly Thursday evening ...	FAVOR
7	Tower	Jan 8, 2015 - 41 secThe lights of the Eiffel Tower were dimmed Thursday evening to honor the 12 people slain in ...	FAVOR
8	Tower	Jan 9, 2015 ... Eiffel Tower Goes Dark in Tribute to Paris Attack Victims ... The lights normally  illuminating the 324-metre tall monument at night were briefly turned off at 8:00  pm local time ... capital in the coming days to mark the outrage over Wednesday's  attack on Charlie Hebdo, and ... Honor 9 Lite 32 GB Sapphire Blue.	FAVOR
9	Tower	Apr 7, 2017 - 1 minParis' Eiffel Tower went dark on Monday night in honour of the victims of a ... Canadian ...	FAVOR
10	Tower	Jan 9, 2015 ... Paris' Eiffel Tower goes dark, unity rallies held after Charlie Hebdo attack .... Paris  (CNN) Paris' iconic Eiffel Tower went dark Thursday night, hours ... Paris for a  vigil to honor victims of the attack on Charlie Hebdo magazine.	FAVOR
11	Tower	Nov 14, 2015 ... The Eiffel Tower stood dark in a symbol of mourning Saturday night as ... PHOTO  GALLERY: Stadiums across the globe honor Paris victims · Details ...  Coordinated gun-and-suicide bombing attacks across Paris that left at least 129  ... demonstration in the wake of the Charlie Hebdo killings earlier this year.	FAVOR
12	Tower	Jul 3, 2018France's world-famous Eiffel Tower, goes dark in a somber tribute to the 12 ... in an attack ...	FAVOR
14	Tower	Nov 13, 2015 ... In light of Friday night's terror attacks, Paris has gone dark. ... Paris Turns Off Its  Lights As Eiffel Tower Goes Dark in Memory of Terror Victims ... They went dark to  honor those killed https://t.co/SfNu9ZeKhJ ... the former offices of Charlie Hebdo –  the site of a January attack against the satirical publication.	FAVOR
15	Tower	Mar 22, 2017 ... In a sign of solidarity, the Eiffel Tower in France went dark at 6 p.m. CST ( midnight local time in Paris) Wednesday in honor of the London terror attack  victims. ... In January 2015, the Tower once again turned dark to honor the fallen  victims of the attack on the Charlie Hebdo magazine ... Networking by Night.	AGAINST
16	Tower	Jan 9, 2015 ... Tracking the locations in the Charlie Hebdo attacks and aftermath .... The Eiffel  Tower went dark Thursday evening to honor victims of ...	FAVOR
17	Tower	Jan 9, 2015 ... Here is a timeline of the key moments in the Charlie Hebdo attacks, the ... ... Love  this pen shrine at Place de la Republique last night. ... In the afternoon, Charlie  Hebdo announces it will publish the following Wednesday as ... 8:00 p.m. CET:  The Eiffel Tower goes dark to honor the victims of the attack.	FAVOR
18	Tower	MT @WSJ: Eiffel Tower went dark Thurs. eve to honor #CharlieHebdo attack  victims: ... went dark Thursday evening to honor victims of #CharlieHebdo attack:  ...	FAVOR
19	Tower	The Eiffel Tower went dark Thursday evening to honor victims of #CharlieHebdo  attack: http://on.wsj.com/1tS6Ee9.	FAVOR
20	Tower	Nov 14, 2015 ... The Eiffel Tower stood dark in a symbol of mourning Saturday night as France ...  the site of a massive demonstration in the wake of the Charlie Hebdo killings  earlier this year. ... The PNC Tower in #Raleigh is lit up in #redwhiteandblue in  honor of the victims of ... PHOTOS: Mourning the Paris attack victims.	FAVOR
