ID	Target	Tweet	Stance	Date
1	museum	Swiss museum will accept Gurlitt art trove	FAVOR	2014-11-24 11:00:24
2	museum	Swiss museum has accepted bequest of large Swiss museum decides to accept Gurlitt Nazi-era art trove	FAVOR	2014-11-24 11:11:44
3	museum	Swiss Museum Will Accept Gurlitt Art Trove	FAVOR	2014-11-24 10:39:06
4	museum	Swiss museum accepts Gurlitt art bequest	FAVOR	2014-11-24 11:32:58
5	museum	Swiss museum will accept Gurlitt art trove	FAVOR	2014-11-24 11:00:24
6	museum	Swiss museum accepts Gurlitt art bequest	FAVOR	2014-11-24 11:32:58
7	museum	Swiss museum decides to accept Gurlitt Nazi-era art trove	FAVOR	2014-11-24 10:50:57
8	museum	Swiss museum will accept Gurlitt art trove	FAVOR	2014-11-24 11:00:24
9	museum	Swiss Museum Will Accept Gurlitt Art Trove	FAVOR	2014-11-24 10:39:06
10	museum	Swiss museum will accept Gurlitt art trove	FAVOR	2014-11-24 11:00:24
11	museum	Swiss Museum Accepts Bequest of Nazi-Era Art	FAVOR	2014-11-24 11:36:03
12	museum	Swiss museum accepts looted Nazi art historical painful memories later	AGAINST	2014-11-24 11:46:09
13	museum	Swiss Museum Accepts Art Trove With Nazi-Looted Works via Gurlitt	FAVOR	2014-11-24 11:21:31
14	museum	Swiss museum accepts looted Nazi art	FAVOR	2014-11-24 11:25:04
15	museum	Swiss museum will receive priceless collection of long-hidden Gurlitt art trove	AGAINST	2014-11-24 11:30:01
16	museum	Swiss museum accepts part of Nazi art trove	FAVOR	2014-11-24 11:35:34
17	museum	Swiss Museum Deciding on Gurlitt Art Trove	FAVOR	2014-11-24 08:58:16
18	museum	Swiss museum deciding on Gurlitt art trove	FAVOR	2014-11-24 09:22:15
19	museum	Swiss Museum Deciding on Gurlitt Art Trove	FAVOR	2014-11-24 08:58:16
20	museum	Gurlitt collection accepted by Bern museum	AGAINST	2014-11-24 11:20:48
21	museum	Gurlitt Collection Accepted by Kunstmuseum Bern details from announcement in Berlin	AGAINST	2014-11-24 11:47:49
22	museum	Gurlitt collection accepted by Kunstmuseum Bern	AGAINST	2014-11-24 11:45:45
23	museum	Kunstmuseum Bern accepts Gurlitt collection	AGAINST	2014-11-24 10:17:46
24	museum	Kunstmuseum Bern has officially accepted Gurlitt art trove	AGAINST	2014-11-24 11:04:42
25	museum	Swiss art museum accepts artworks bequeathed by late art dealer Gurlitt	FAVOR	2014-11-24 10:14:41
26	museum	Swiss art museum accepts artworks bequeathed by late art dealer Gurlitt	FAVOR	2014-11-24 10:14:41
27	museum	Swiss art museum accepts artworks bequeathed by late art dealer Gurlitt	FAVOR	2014-11-24 10:14:41
28	museum	Swiss art museum accepts artworks bequeathed by late art dealer Gurlitt	FAVOR	2014-11-24 10:14:41
29	museum	Gurlitt Bern museum accepts controversial art hoard	FAVOR	2014-11-24 10:53:35
30	museum	Bern Fine Arts Museum says to controversial gurlitt collection	AGAINST	2014-11-24 10:25:16
31	museum	art collection is going to Bern museum	FAVOR	2014-11-24 10:23:54
32	museum	Bern museum accepts problematic bequest	AGAINST	2014-11-24 11:42:11
33	museum	Kunstmuseum accepts Gurlitt collection bequest	AGAINST	2014-11-24 10:35:06
