ID	Target	Tweet	Stance
1	picture	"Nov 1, 2014 ... ... account."" ""ISIS tweeted out Michael Zehaf-Bibeau picture."" ... ""#ISIS Media  account posts picture claiming to be Michael Zehaf-Bibeau, dead ..."	FAVOR
2	picture	RT @NewsOnTheMin: ISIS Media account posts picture claiming to be Michael  Zehaf-Bibeau suspected shooter in #Ottawa ...	AGAINST
3	picture	Michael Zehaf-Bibeau: ISIS Media Posts Picture Claiming to be Dead Ottawa ...  the shooting suspect was allegedly born in Quebec as Michael Joseph Hall.	FAVOR
4	picture	Twitter#ISIS Media account posts picture claiming to be Michael ... Michael Zehaf -Bibeau has been identified as the shooting suspect at Parliament Hill in Ottawa ...	FAVOR
5	picture	Mar 5, 2015 ... ISIS Media account posted a picture Wednesday, October 22, 2014 , claiming to  show Michael Zehaf-Bibeau, the dead Ottawa Parliament Hill ...	AGAINST
6	picture	Michael Joseph Hall ! As Breaking911 adds, the shooting ... Michael Zehaf- Bibeau: ISIS Media Posts Picture Claiming to be Dead Ottawa Shooting Suspect!	FAVOR
7	picture	Michael Zehaf-Bibeau has been identified as the suspect in the shooting at ... # ISIS Media account posts picture claiming to be Michael Zehaf-Bibeau, dead ...	FAVOR
8	picture	ISIS Media account posts picture claiming to be Michael Zehaf-Bibeau, dead # OttawaShooting suspect. #Canada.	FAVOR
9	picture	Apr 15, 2015 ... At approximately 9:50 a.m. on Oct. 22, 2014, Michael Zehaf-Bibeau shot ... of his  attack, was posted by a Twitter account claiming affiliation with ISIS. ... Media  account posts picture claiming to be Michael Zehaf-Bibeau, dead ...	FAVOR
10	picture		NONE
11	picture	Oct 23, 2014 ... An Isis-related Twitter account posted this image in the aftermath of the shooting,  claiming it showed suspect Michael Zehaf-Bibeau ( ) ... converted to Islam and  dreamed to travelling to the Middle East to study Arabic, Canadian media  reported. ..... Comments. Log in or register to comment. (Logout). Post ...	AGAINST
12	picture	Oct 22, 2014 ... A 2007 photo shows the Canadian Parliament building in Ottawa MICHEL ...  Zehaf-Bibeau entered Parliament Hill, in downtown Ottawa, ... Whether this tweet,  sent by an account that claims to be affiliated with ISIS and purports to show ... of  multiple shooters at a Wednesday afternoon press conference.	AGAINST
13	picture	On the day that Michael Zehaf-Bibeau went on his rampage, a tangled web of ...  Twitter account that presents itself as a microblog for military studies, claimed that  the ... These were the first pictures of Zehaf-Bibeau and were widely reproduced  by ... was an ISIL/DAESH or ISIS linked Twitter account named @Breaking3zero.	AGAINST
14	picture	Oct 22, 2014 ... #ISIS Media account posts picture claiming to be Michael ... CBS news report the  name of the dead suspect as Michael Zehaf-Bibeau, 32, ...	AGAINST
15	picture	Oct 23, 2014 ... Michael Zehaf-Bibeau, 32, was shot dead after opening fire at Parliament Hill ...  Re: Soldier shot, gun battle on Parliament Hill, Ottawa. Post ..... it's some straight  wildness that they now claim this person acted alone. .... ISIS Media account  posted a picture Wednesday, October 22, 2014 , claiming to show ...	FAVOR
16	picture	Oct 3, 2015 ... The October 22 suspect, Michael Zehaf-Bibeau, was killed by police—as ...  account of events given by police and by government institutions supportive of ...  collecting media reports, and so on), but police will decide what ...... the photo  had initially been posted on a “French-language, pro-ISIS social media.	NONE
17	picture	Oct 23, 2014 ... #ISIS Media account posts picture claiming to be Michael Zehaf-Bibeau, dead # OttawaShooting suspect. #Canada pic.twitter.com/kWam0E4tyX.	AGAINST
18	picture	Oct 23, 2014 ... Michael Zehaf Bibeau is shown carrying a gun while running towards ... THE  CANADIAN PRESS/HO - RCMP / Canada.com ... (Twitter) / ISIS Twitter account ...  a B.C. Provincial Court judge Thursday afternoon paint the picture of a young ....  An ardent extremist, Al-Kanadi has claimed in online posts that he ...	AGAINST
19	picture	The 2014 shootings at Parliament Hill were a series of shootings that occurred on  October 22, 2014, at Parliament Hill in Ottawa. At the Canadian National War  Memorial, Michael Zehaf-Bibeau fatally shot ..... In a telephone interview with the  press, Zehaf-Bibeau's mother said she grieves for the victims of ...... National Post .	AGAINST
20	picture	October 22, 2014 - Gunman Michael Zehaf-Bibeau opens fire at Canada's ... ISIS  mentioned Zehaf-Bibeau in Dabiq, claiming that the attack was the ... The man  swore fidelity to Baghdadi before the shooting spree in a posting ... Britain's Press  Association said his cell phone contained images and flags associated with ISIS.	NONE
