ID	Target	Tweet	Stance	Date
1	hours	Gabapentin Dosing for Neuropathic Pain	NONE	2017-12-13 19:10:05
2	hours	paper showing perioperative Gabapentin decreasing postoperative Opioid Gabapentin given before laparoscopic sleeve gastrectomy reduces postoperative oxycodone consumption in obese patients	FAVOR	2018-01-03 16:11:08
3	hours	Gabapentin Dosing for Neuropathic Pain	NONE	2017-12-13 19:10:05
4	hours	Gabapentin decreases OpioidFootprint after Surgery JustSayNOPE	NONE	2017-12-17 09:44:25
5	hours	Gabapentin Dosing for Neuropathic Pain	NONE	2017-12-13 19:10:05
6	hours	gabapentin is causing madl 2 overdose	AGAINST	2017-12-11 19:39:09
7	hours	Gabapentin linked to more 150 drug deaths	FAVOR	2017-10-13 08:32:42
8	hours	Gabapentin reduces postoperative opioid use but delirium in patients	FAVOR	2017-10-03 09:10:16
9	hours	Gabapentin is beginning to show on toxicology reports in opioid overdose deaths	NONE	2017-09-20 14:49:43
10	hours	Gabapentin Does Not Reduce Postoperative Delirium in Older Surgical Patients	FAVOR	2017-09-02 13:37:43
11	hours	Gabapentin Boosts High Abusers Opioids ChronicPain addiction Gabapentin Boosts High For Opioid Abusers	NONE	2017-07-08 17:28:11
12	hours	Gabapentin can caused by opioid and stave drug withdrawals	NONE	2017-07-07 18:45:06
13	hours	pregabalin gabapentin fail to alter pain scores for child&adult fibro	NONE	2017-09-20 19:52:58
14	hours	pregabalin gabapentin fail to alter pain scores for child&adult fibromyalgia	NONE	2017-09-12 20:07:40
15	hours	72 hours use may promote opioid cessation after surgery and decrease duration of postoperative opioiduse	FAVOR	2017-12-15 06:30:01
16	hours	72 hours use may promote opioid cessation after surgery and decrease duration of postoperative opioiduse	AGAINST	2017-12-15 06:30:01
17	hours	72 hours use may promote opioid cessation after surgery and decrease duration of postoperative opioiduse	FAVOR	2017-12-15 06:30:01
18	hours	72 hours use may promote opioid cessation after surgery and decrease duration of postoperative opioiduse	FAVOR	2017-12-15 06:30:01
19	hours	72 hours use may promote opioid cessation after surgery and decrease duration of postoperative opioiduse	FAVOR	2017-12-15 06:30:01
20	hours	72 hours use may promote opioid cessation after surgery and decrease duration of postoperative opioiduse	FAVOR	2017-12-15 06:30:01
21	hours	72 hours use may promote opioid cessation after surgery and decrease duration of postoperative opioiduse	FAVOR	2017-12-15 06:30:01
22	hours	72 hours use may promote opioid cessation after surgery and decrease duration of postoperative opioiduse	FAVOR	2017-12-15 06:30:01
23	hours	72 hours use may promote opioid cessation after surgery and decrease duration of postoperative opioiduse	FAVOR	2017-12-15 06:30:01
24	hours	72 hours use may promote opioid cessation after surgery and decrease duration of postoperative opioiduse	FAVOR	2017-12-15 06:30:01
25	hours	drug used to treat neuropathic pain	NONE	2017-12-02 04:01:55
26	hours	Drug Boosts High For Opioid Abusers via neurontin	NONE	2017-07-09 10:13:59
27	hours	Study warns that gabapentin raises risk of overdose used with opioid painkillers	AGAINST	2017-10-04 15:56:16
28	hours	Lyrica known as Pregabalin that functions as anticonvulsant and antiepileptic medication	NONE	2017-09-18 07:50:05
29	hours	lyrica pregabalin lyrica300mg nervepain	NONE	2017-09-05 07:31:55
30	hours	What is evidence for pregabalin in neuropathic cancer pain in adults	NONE	2017-07-24 14:19:00
31	hours	Doctors call for Lyrica Pregabalin)'new Valium to be restrictedamid rise in abuse	FAVOR	2017-10-15 01:56:11
32	hours	Doctors call for Lyrica Pregabalin)'new Valium to be restrictedamid rise in abuse	FAVOR	2017-10-15 01:56:11
33	hours	Doctors call for new Valium to be restricted amid rise in abuse pregabalin	FAVOR	2017-07-07 04:35:55
34	hours	Doctors call for new Valium to be restricted amid rise in abuse	FAVOR	2017-07-03 09:55:17
35	hours	Saga Continue via lyrica neurontin pain	NONE	2017-11-03 15:54:50
36	hours	Gabapentin co-use may increase risk of fatal opioid overdose	AGAINST	2017-10-03 14:58:38
37	hours	Gabapentin co-use may Increase Risk of Fatal Opioid	NONE	2017-10-03 17:17:00
38	hours	Gabapentin co-use may Increase Risk of Fatal Opioid	NONE	2017-10-03 17:17:00
39	hours	Gabapentin co-use may increase risk of fatal opioid overdose	AGAINST	2017-10-03 14:58:38
40	hours	Generic Pregabalin containing Lyrica is intended for managing neuropathic pain and diabetic neuropathy	NONE	2017-09-13 06:29:57
41	hours	Generic Pregabalin is foremost component of Lyrica	NONE	2017-08-04 05:35:47
42	hours	generic Pregabalin containing Lyrica	NONE	2017-07-03 12:48:23
43	hours	side effects including long term and short term side effects of Lyrica Pregabalin SideEffects	NONE	2018-01-07 08:46:57
44	hours	side effects including long term and short term side effects of Lyrica Pregabalin SideEffects	AGAINST	2018-01-07 08:46:57
45	hours	Patients can buy_Lyrica in USA UK at GenericEPharmacy in Australia Canada California London Lyrica Pregabalin helps in treatment of neuropathic pain	AGAINST	2018-01-15 03:52:49
46	hours	gabapentin neurontin pharmacy doctors chronicillness Benzodiazepine opiates Alcohol pfizer quote Atelier	AGAINST	2017-09-08 14:02:37
47	hours	24-year-old Bath woman died after taking drug pregabalin addiction	FAVOR	2017-11-03 12:13:02
48	hours	medication gabapentin for back pain	NONE	2017-10-06 15:57:02
49	hours	deaths pregabalin Lyrica	NONE	2017-09-22 12:13:53
50	hours	combo increases overdose risk gabapentinoids used to enhance opioid euphoria AND manage opioid withdrawal	AGAINST	2017-07-06 17:57:00
51	hours	Dr prescribed Gabapentin for diabetic nerve pain	NONE	2018-01-18 21:00:22
52	hours	drugs are licensed to treat epilepsy million Britons have been prescribed pregabalin and gabapentin to treat chronic pain and anxiety	NONE	2018-01-07 18:40:47
53	hours	Gabapentin Pregabalin Lyrica Cymbalta are dangerous debilitating drugs	NONE	2018-01-04 13:23:28
54	hours	Generic Lyrica is well-known antiepileptic drug used to manage seizures and to cure fibromyalgia	NONE	2018-01-03 05:46:47
55	hours	NEW rules require Ohio prescribers to include ICD-10 codes on opioid prescriptions	NONE	2017-12-29 09:00:00
56	hours	0 benefit treating Fibromyalgia pain	NONE	2017-12-28 10:18:05
57	hours	medicaltrial chronicpelvicpain gabapentin CRPS painblog	NONE	2017-12-16 10:30:33
58	hours	health lyrica pregabalin nervepain pain Neuropathic Pain Happens Be Brave Broken With Lyrica	FAVOR	2017-11-24 04:13:41
59	hours	reclassification pregablin gabapentin	NONE	2017-11-14 13:13:13
60	hours	FDA approves extended release version of Lyrica for neuropathic pain	NONE	2017-10-14 11:09:03
61	hours	Abuse Drugs neurontin Pregablin Lyrica addiction	NONE	2017-09-27 23:22:24
62	hours	preanesthetic gabapentin prevents increase in associated with tracheal intubation in dogs	NONE	2017-09-21 04:16:52
63	hours	Lyrica generic Pregabalin is exquisite medication that is used for treatment of neuropathic pain in adult	NONE	2017-09-07 04:51:22
64	hours	Researchers say Lyrica and Neurontin overprescribed for chronicpain as alternatives to opioid painkillers	AGAINST	2017-08-15 14:07:32
65	hours	Clinicians may be overprescribing gabapentinoids for pain	NONE	2017-08-07 04:45:06
66	hours	July doctors can prescribe generic pregabalin for neuropathic pain	NONE	2017-07-12 09:36:36
