ID	Target	Tweet	Stance	Date
1	Ingraham	FamilySeparation is one more lie Laura Ingraham likened detention centres for children to summer camps	AGAINST	2018-06-23 15:32:57
2	Ingraham	Laura Ingraham says immigrant child detention centers are summer camps	AGAINST	2018-06-20 16:57:56
3	Ingraham	people associate you with sort of rhetoric Laura Ingraham says immigrant child detention centers are summer camps	AGAINST	2018-06-20 20:29:22
4	Ingraham	Laura Ingraham says immigrant child detention centers are summer camps	AGAINST	2018-06-20 16:57:56
5	Ingraham	Laura Ingraham says immigrant child detention centers are summer camps	AGAINST	2018-06-20 16:57:56
6	Ingraham	Laura Ingraham says immigrant child detention centers are summer camps	AGAINST	2018-06-20 16:57:56
7	Ingraham	Laura Ingraham says immigrant child detention centers are summer camps	AGAINST	2018-06-20 16:57:56
8	Ingraham	Laura Ingraham says immigrant child detention centers are summer camps	AGAINST	2018-06-20 16:57:56
9	Ingraham	Laura Ingraham says immigrant child detention centers are summer camps	AGAINST	2018-06-20 16:57:56
10	Ingraham	Laura Ingraham says immigrant child detention centers are summer camps	AGAINST	2018-06-20 16:57:56
11	Ingraham	Laura Ingraham says immigrant child detention center are summer camps	AGAINST	2018-06-20 16:55:58
12	Ingraham	Laura Ingraham describes child detention centers as summer camps	AGAINST	2018-06-19 07:11:50
13	Ingraham	Laura Ingraham Compares Child Immigrant Detention Centers To Summer Camps Catholic	AGAINST	2018-06-19 05:37:13
14	Ingraham	Child Immigrant Detention Centers Are Essentially Summer Camps Laura Ingraham Said Video	AGAINST	2018-06-19 00:53:07
15	Ingraham	Ingraham is like Goebbels with whirligig hat	NONE	2018-06-19 09:09:53
16	Ingraham	children are not being used as pawn what are essentially summer camps	FAVOR	2018-06-21 17:19:58
17	Ingraham	Ingraham defense taken from parents because facilities are like summer camps Advertisers bolted after Laura attack on Parkland students	AGAINST	2018-06-21 10:03:03
18	Ingraham	one major advertiser drops FoxNews Ingraham	NONE	2018-06-22 00:29:19
19	Ingraham	one major advertiser drops FoxNews Ingraham	NONE	2018-06-22 00:29:19
20	Ingraham	one major advertiser drops FoxNews Ingraham	NONE	2018-06-22 00:29:19
21	Ingraham	ACE pillpack rockauto zohoone advertising in ingraham really values	NONE	2018-06-20 22:35:06
22	Ingraham	immigrant child detention centers are summer camps	AGAINST	2018-06-20 20:05:48
23	Ingraham	Fox News FoxNews can film eerience Lara Ingraham said kids in detention centers	AGAINST	2018-06-20 09:04:40
24	Ingraham	David Hogg Relaunches Advertiser Boycott Against Laura Ingraham	AGAINST	2018-06-20 03:19:06
25	Ingraham	nra potus trumptrain trump fbi trump2020 impeach fbr resist bluewave vp daca russia mueller	NONE	2018-06-19 19:36:09
26	Ingraham	MAGA DrainTheSwamp Resist Resistance FoxNews Screech Laura Ingraham Compares Child Immigrant Detention Centers To Summer Camps	AGAINST	2018-06-19 18:59:54
27	Ingraham	KeepFamilesTogether WhereAreTheGirls WhereAreTheToddlers FamiliesBelongTogether TuesdayThoughts RESIST trump ingraham OBTUSE Angle IS SCUMBAG	NONE	2018-06-19 09:31:48
28	Ingraham	Ingraham witn cap-sleeves is like Goebbels with whirligig hat	NONE	2018-06-19 09:08:55
29	Ingraham	enemy countries don't take children hostages	NONE	2018-06-19 08:32:59
30	Ingraham	families who have literally nothing gop sessions trump have lost humanity	NONE	2018-06-19 06:02:40
