ID	Target	Tweet	Stance
1	Video	Feb 9, 2018 - 8 min - Uploaded by J.W.AstronomyCameras and Gear Used To Shoot This Video ------- Telescope: http://amzn.to/ 2AgfxUi Mount ...	AGAINST
2	Video	Nov 30, 2017 - 1 min - Uploaded by GeoBeats NewsHere's what lightning strikes look like when captured from space.	FAVOR
3	Video	Jan 16, 2018 - 3 min - Uploaded by The Hidden Underbelly 2.0This is just another example of an object that seem to be monitoring the ISS..... SOURCE: http ...	AGAINST
4	Video	May 21, 2018 - 1 min - Uploaded by UFO TodayThis footage was recorded from the international space station on the 14th of May 2018. At one ...	AGAINST
5	Video	Aug 25, 2017Cameras aboard the International Space Station captured new views of Hurricane Harvey as ...	AGAINST
6	Video	Jun 25, 2018International Space Station captured on camera as it transits the moon. / Supplied by Josh ...	NONE
7	Video	This time-lapse video was taken by the Expedition 56 crew on board the  International Space Station. The sequence of shots were taken using a 16mm  fisheye ...	AGAINST
8	Video	Jun 28, 2018 - 4 minCameras outside the International Space Station capture views of Hurricane Harvey during a ...	AGAINST
9	Video	"Nasa releases footage captured over China, Korea and Japan of ""lightning, city  lights and fishing boats"". ... Earth seen from the ISS. Video duration 0:34."	FAVOR
10	Video	Oct 5, 2017 - 8 minTwo Russian cosmonauts captured the footage during a spacewalk in ... The crew on the ...	AGAINST
11	Video	Apr 16, 2018 ... A video captured by NASA's International Space Station (ISS) live camera on  Friday reveals what appears to be a 900-foot triangular UFO in ...	AGAINST
12	Video	Aug 21, 2017 - 17 sec... and captured the International Space Station flying in front of the sun as the ... Images of ...	AGAINST
13	Video	Apr 16, 2018 ... To capture something more exciting, Nespoli first attached the camera to a pole  .... Only on Nat Geo: See the Full 3D VR Video From the ISS.	FAVOR
14	Video	May 8, 2018 ... Breathtaking images of a moonset captured by a Russian cosmonaut from the  International Space Station are revealed in stunning video ...	AGAINST
15	Video	Nov 17, 2017 ... Footage of a fireball heading to Earth was captured by astronaut Paolo Nespoli of  the International Space Station.	AGAINST
16	Video	Learn why the α7s II was chosen to take 4K videos and images from the Kibo ISS.  Explore how JAXA used Sony's high performance camera to capture the Earth.	AGAINST
17	Video	May 12, 2017 ... A new video from the International Space Station shows an astronaut's hunt for  an ammonia leak, backdropped by amazing views of Earth.	AGAINST
18	Video	Nov 17, 2017 - 1 minWatch Stunning ISS time-lapse captures 'fireball,' huge lightning storm Video Online, on ...	FAVOR
19	Video	May 3, 2018 ... NASA astronaut captures striking full 'moonset' from ISS ... NASA astronaut Drew  Feustel shared a video this week of a chance viewing of a ...	AGAINST
20	Video	Jan 10, 2018A remarkable time-lapse video taken from NASA's International Space Station captures a ...	AGAINST
