ID	Target	Tweet	Stance	Date
1	Florida	Florida is preparing for potential impact from HurricaneIrma	FAVOR	2017-09-06 19:48:37
2	Florida	Florida is preparing for potential impact from HurricaneIrma	FAVOR	2017-09-06 19:48:37
3	Florida	Florida is preparing for potential impact from HurricaneIrma	FAVOR	2017-09-06 19:48:37
4	Florida	Florida is preparing for potential impact from HurricaneIrma	FAVOR	2017-09-06 19:48:37
5	Florida	Florida is preparing for potential impact from HurricaneIrma	FAVOR	2017-09-06 19:48:37
6	Florida	Florida is preparing for potential impact from HurricaneIrma	FAVOR	2017-09-06 19:48:37
7	Florida	Florida is preparing for potential impact from HurricaneIrma	FAVOR	2017-09-06 19:48:37
8	Florida	Florida is preparing for potential impact from HurricaneIrma	FAVOR	2017-09-06 19:48:37
9	Florida	Florida is preparing for potential impact from HurricaneIrma	FAVOR	2017-09-06 19:48:37
10	Florida	Florida is preparing for potential impact from HurricaneIrma	FAVOR	2017-09-06 19:48:37
11	Florida	Florida is preparing for potential impact from HurricaneIrma	FAVOR	2017-09-06 19:48:37
12	Florida	Florida is preparing for potential impact from HurricaneIrma	FAVOR	2017-09-06 19:48:37
