ID	Target	Tweet	Stance	Date
1	NONE	"The US President Donald Trump has clarified the meaning behind the ​jacket Melania Trump wore as she boarded a flight to a facility housing migrant children separated from their parents. READ MORE: * US first lady visits migrant children * Wronged Donald Trump demands more credit * Melania got 'vocal' to husband * Kids in cages: Trump backs down Earlier when asked what message the first lady's jacket intended to send, spokeswoman Stephanie Grisham said: ""It's a jacket. Trump wore a different pale yellow jacket when the plane landed in McAllen, Texas, for a visit to the Upbring New Hope Children's Center, which houses 55 migrant children. The first lady's surprise visit came the morning after President Donald Trump signed an executive order halting the practice of separating families that entered the US illegally. The first lady said she wanted to lend her support to the children, and asked staff to reunite them with their families as quickly as possible."	AGAINST	NONE
2	NONE	JACKET RACKET Melania Trump’s I Really Don’t Care Zara jacket – is it on sale in the UK and what does it mean? First Lady Melania Trump wore the bizarre jacket as she travelled to a detention centre for immigrant children separated from their Trump sparked outrage wearing a jacket saying “I really don’t care, do you?” But as Melania boarded a government plane at Andrews Air Force Base in Maryland she was seen wearing a £30 Zara military jacket with the message printed on the back: “I don’t care, do u?” written on the back of Melania’s jacket, refers to the Fake News Media. “Melania has learned how dishonest they are, and she truly no longer Trump ’s jacket mixes message as she visited children displaced by the country's immigration crisis in Texas	AGAINST	NONE
3	NONE	JACKET RACKET Melania Trump’s I Really Don’t Care Zara jacket – is it on sale in the UK and what does it mean? First Lady Melania Trump wore the bizarre jacket as she travelled to a detention centre for immigrant children separated from their Trump sparked outrage wearing a jacket saying “I really don’t care, do you?” But as Melania boarded a government plane at Andrews Air Force Base in Maryland she was seen wearing a £30 Zara military jacket with the message printed on the back: “I don’t care, do u?” written on the back of Melania’s jacket, refers to the Fake News Media. “Melania has learned how dishonest they are, and she truly no longer Trump ’s jacket mixes message as she visited children displaced by the country's immigration crisis in Texas	AGAINST	NONE
4	NONE	FLOTUS Melania Trump deliberately wore her controversial ‘I don’t care, do u?’ Speaking on Today Friday, respected journalist Peter Alexander said: ‘Nobody knows exactly what to make of it, but speaking to anybody who knows Melania Trump, and they will tell you that nothing the former model does is accidental.’ Melania Trump put the jacket back on, just in time for the cameras, when she returned to Washington DC.’ Mrs Trump sparked a firestorm of criticism over the $39 Zara khaki jacket with its daubed slogan which she wore to meet children who had been separated from their parents at a shelter in McAllen, Tx., Thursday. written on the back of Melania’s jacket, refers to the Fake News Media.	AGAINST	NONE
5	NONE	"US President Donald Trump has backed First Lady Melania Trump who was recently criticised by world media for wearing a jacket with a ""message"" on its back. Melania visited the border to meet the children of immigrant families who had been left behind due to Trump administration's Zero Tolerance policy. Trump blamed media for criticising Melania's clothes of choice for the visit. Earlier, Melania had criticised Trump's policies saying, she ""hates to see children separated from their families"" at America's border. Also read: Melania Trump wears 'I really don't care' jacket on visit to Texas migrant detention centre Also watch | Melania Trump joins Donald Trump in welcoming PM Modi at White House"	AGAINST	NONE
6	NONE	"Texas: Melania Trump, the wife of US President Donald Trump, on Thursday visited children displaced by the country’s immigration crisis in Texas, only a day after Trump reversed course and ordered families to be kept intact when entering the United States illegally from Mexico. According to her spokesperson, Melania Trump decided to visit detention centres housing children because she deeply cares about the controversial issue. Melania Trump wore a hooded green khaki jacket designed by fashion chain Zara as she boarded her flight to Texas in front of news photographers. Melania Trump met with staff looking after detained children in McAllen, Texas, and met with officials and employees at the facility, where 55 children aged 12 to 17 are housed. ""I'm glad I'm here and I'm looking forward to seeing and meeting children, but first of all let me begin to recognise each of you and thanking you for all that you do, for your heroic work that you do every day and what you do for those children,"" Melania Trump said."	NONE	NONE
7	NONE	"_taboola || []; _taboola.push({ mode: 'thumbnails-c', container: placement: 'Interstitial Gallery Thumbnails 3', target_type: 'mix' }); _taboola.push({flush: true}); First lady Melania Trump boards a plane at Andrews Air Force Base, Md., Thursday, June 21, 2018, to travel to Texas. First lady Melania Trump boards a plane at Andrews Air Force Base, Md., Thursday, June 21, 2018, to travel to Texas. Photo: Andrew Harnik, AP First lady Melania Trump boards a plane at Andrews Air Force Base, Md., Thursday, June 21, 2018, to travel to Texas. First lady Melania Trump boards a plane at Andrews Air Force Base, Md., Thursday, June 21, 2018, to travel to Texas. jacket WASHINGTON (AP) — First lady Melania Trump wore a jacket that read ""I really don't care, do u?"""	AGAINST	NONE
8	NONE	"_taboola || []; _taboola.push({ mode: 'thumbnails-c', container: placement: 'Interstitial Gallery Thumbnails 3', target_type: 'mix' }); _taboola.push({flush: true}); First lady Melania Trump boards a plane at Andrews Air Force Base, Md., Thursday, June 21, 2018, to travel to Texas. First lady Melania Trump boards a plane at Andrews Air Force Base, Md., Thursday, June 21, 2018, to travel to Texas. Photo: Andrew Harnik, AP First lady Melania Trump boards a plane at Andrews Air Force Base, Md., Thursday, June 21, 2018, to travel to Texas. First lady Melania Trump boards a plane at Andrews Air Force Base, Md., Thursday, June 21, 2018, to travel to Texas. jacket WASHINGTON (AP) — First lady Melania Trump wore a jacket that read ""I really don't care, do u?"""	AGAINST	NONE
9	NONE	"First lady Melania Trump boarded a flight to a facility housing migrant children separated from their parents wearing a jacket that read ""I really don't care, do u?"" Mrs. Trump wore a different pale yellow jacket when the plane landed in McAllen, Texas, for a visit to the Upbring New Hope Children's Center, which houses 55 migrant children. From earlier: Third-graders at a facility housing migrant children separated from their parents welcomed first lady Melania Trump with a large paper American flag they'd signed. First lady Melania Trump smiles after signing American flag artwork while visiting the Upbring New Hope Children Center run by the Lutheran Social Services of the South in McAllen, Texas, Thursday, June 21, 2018. The first lady's visit came the morning after President Donald Trump signed an executive order halting the practice of separating families that entered the U.S. illegally."	AGAINST	NONE
10	NONE	"President Donald Trump says his wife, Melania, was attacking the news media when she wore a jacket that read ""I really don't care, do u?"" The First Lady wore the jacket as she travelled to and from a facility housing migrant children separated from their parents. Asked earlier what message the first lady was trying to send, Mrs Trump's spokeswoman Stephanie Grisham said: ""It's a jacket. Mrs Trump wore a different pale yellow jacket when the plane landed in McAllen, Texas, for a visit to the Upbring New Hope Children's Centre, which houses 55 migrant children. The youthful jacket sharply contrasts with the First Lady's typically bold, foreign-flavoured wardrobe."	AGAINST	NONE
