ID	Target	Tweet	Stance	Date
1	intern	propagandists masquerading as reporters are beneath contempt JackBreuer is obviously making sign	NONE	2017-12-31 07:28:30
2	intern	WhiteSupremacist White House intern JackBreuer flashes WhitePower sign	FAVOR	2017-12-28 17:24:08
3	intern	WhiteSupremacist White House intern JackBreuer flashes WhitePower sign	FAVOR	2017-12-28 17:24:08
4	intern	WhiteSupremacist White House intern JackBreuer flashes WhitePower sign while posing with rump	FAVOR	2017-12-28 17:23:40
5	intern	Fmr WhiteHouse intern JackBreuer should accept being busted for using WhiteSupremacist symbol in Trump photo	FAVOR	2017-12-30 17:47:45
6	intern	JackBreuer kid can't even follow basic instruction to make thumbs sign	NONE	2017-12-29 21:53:52
7	intern	Former White House intern denies flashing white power symbol in photo with Trump JackBreuer	FAVOR	2017-12-29 13:55:37
8	intern	Guy worked for Goebbels Jr StephenMiller Who is this a-hole JackBreuer anyway	NONE	2017-12-29 12:57:07
9	intern	ignorance makes eyeballs bleed JackBreuer to refrain from throwing White Power	NONE	2017-12-29 05:55:09
10	intern	gesture was used by notorious extremists Former intern JackBreuer held WHITE POWER sign	AGAINST	2017-12-29 03:06:29
11	intern	Intern’s name is JackBreuer GTFOHJackBreuer NotOK WPForWhitePower GoFuckYourselfJackBreuer	FAVOR	2017-12-28 21:12:26
