ID	Target	Tweet	Stance	Date
1	conditions	JetLi Suffers Hyperthyroidism Shadow Of Former Self At via Celebrity News|	NONE	2018-05-22 03:15:14
2	conditions	JetLi looks frail and unrecognizable amid health battle	AGAINST	2018-05-22 03:13:14
3	conditions	jetli is lord of wutang kungfu cultmaster wuxia wudang martialarts wushu	NONE	2018-05-20 01:06:08
4	conditions	jetli is lord of wutang kungfu cultmaster wuxia wudang martialarts wushu sammohung gungfu	NONE	2018-05-20 00:55:27
5	conditions	Illness Is Nothing Manager Assures Fans	FAVOR	2018-05-22 11:45:55
6	conditions	Manager Says Hyperthyroidism Is Nothing Life-Threatening	FAVOR	2018-05-22 12:46:09
7	conditions	Manager Says Hyperthyroidism Is Nothing Life-Threatening	FAVOR	2018-05-22 12:46:09
8	conditions	Manager Says Hyperthyroidism Is Nothing Life-Threatening	FAVOR	2018-05-22 12:46:09
9	conditions	Illness Is Nothing Manager Assures Fans	FAVOR	2018-05-22 11:45:55
10	conditions	Manager responds after photo viral alarms fans about actor's hyperthyroidism	NONE	2018-05-22 11:29:54
11	conditions	Jet Li looking like being turned into Poddling slave in Dark Crystal	AGAINST	2018-05-22 14:52:45
12	conditions	Jet Li is suffering from and spinal problems action star known for physical roles in films	AGAINST	2018-05-22 13:05:59
13	conditions	Jet Li is suffering from and spinal problems	AGAINST	2018-05-22 10:10:42
14	conditions	Jet Li looking unrecognizable amid battle with hyperthyroidism and spinal problems	AGAINST	2018-05-22 06:56:47
15	conditions	AmericanIdol MissUSA LHHATL DWTS unrecognizble JetLi Shocked surprise Health battle frail agedcare ViralVideo MAGAts Trump Jet Li looks frail and unrecognizable amid health battle	AGAINST	2018-05-22 00:47:45
16	conditions	Jet Li looks frail and unrecognizable amid health battle via JetLi	AGAINST	2018-05-22 00:37:51
17	conditions	Greatest Entertainment Group jetli fightme imlike faceofpain because tina makesmedostupidstuff justforinstagram age hyperthyroidism old sad instalike Jet Li Looks shocks fans with frail appearance	AGAINST	2018-05-21 21:35:25
18	conditions	JetLi medical conditions have forced him to quit doing action films	AGAINST	2018-05-21 18:26:30
19	conditions	JetLi medical conditions have forced him to quit doing action films	AGAINST	2018-05-21 18:26:30
20	conditions	JetLi medical conditions have forced him to quit doing action films	AGAINST	2018-05-21 18:26:30
21	conditions	JetLi medical conditions have forced him to quit doing action films	AGAINST	2018-05-21 18:26:30
22	conditions	viral photo has Jet Li fans worried about health	AGAINST	2018-05-22 19:45:33
23	conditions	actor’s manager responds MartialArts viral photo has JetLi fans worried about health	NONE	2018-05-22 12:34:50
24	conditions	Li fans worried about health viral photo has Jet	AGAINST	2018-05-22 03:45:52
25	conditions	new photo leaves fans worried about health GenevieveBlog jetli jetlishealth	AGAINST	2018-05-22 15:21:55
26	conditions	Fans Worry Over Health After Seeing Frail Appearance	AGAINST	2018-05-22 01:26:00
27	conditions	Fans concerned about Jet	AGAINST	2018-05-21 16:48:26
28	conditions	Martialarts superstar JetLi has been plagued by injuries for many years	AGAINST	2018-05-22 12:34:43
29	conditions	martialarts superstar JetLi has been plagued by injuries since teenage days	AGAINST	2018-05-21 22:48:18
30	conditions	Hyperthyroidism ailing Chinese action star Jet Li	NONE	2018-05-21 19:08:24
31	conditions	Actor JetLi is suffering from thyroid disorder according to TMZ	AGAINST	2018-05-21 19:04:03
32	conditions	heart goes to Jet Li getwellsoon JetLi	AGAINST	2018-05-22 09:41:03
33	conditions	man entertained world heart hurts for jetli	AGAINST	2018-05-21 17:46:45
34	conditions	Li has been plagued by injuries since teenage	AGAINST	2018-05-22 03:45:48
35	conditions	Li has been plagued by injuries since teenage	AGAINST	2018-05-22 03:45:48
36	conditions	Action Star Jet Li Looks Like Today via HEDGE accordingly	NONE	2018-05-22 15:08:57
37	conditions	jet JetLi JetpackJoyride jet airways is running complete fake advertisement n promotion	NONE	2018-05-22 15:00:03
38	conditions	Shocking Photo Ignites Health Concerns	AGAINST	2018-05-22 12:51:02
39	conditions	sick JetLi be looking like helicopter Li	NONE	2018-05-22 08:36:06
40	conditions	Jet-Li Battles Thyroid Cancer news viral trends film guardianlife jetli	AGAINST	2018-05-22 05:06:16
41	conditions	new trend is JetLi	NONE	2018-05-22 02:41:49
42	conditions	person is sadly Jet Li JetLi	AGAINST	2018-05-21 22:58:56
43	conditions	Camera Action Makes Film	NONE	2018-05-21 16:48:53
44	conditions	appearance battling thyroid disorder	NONE	2018-05-21 14:48:29
45	conditions	Martial Arts Legend JetLi looking Aged & Frail as Appearance Sparks Concern Among Fans	AGAINST	2018-05-21 10:43:20
46	conditions	Natural 2nd House is Taurus Martial artist JetLi is suffering from hyperthyroidism	AGAINST	2018-05-21 09:48:27
47	conditions	FistOfLegend shows him at best JetLi hyperthyroidism having significant impact on health	AGAINST	2018-05-20 21:57:45
