ID	Target	Tweet	Stance	Date
1	Trump	Trump is donating 4th quarter salary to Department of Transportation to help with infrastructure	FAVOR	2018-02-13 14:47:31
2	Trump	Trump should donate entire salary to Secret Service	FAVOR	2017-04-04 21:20:30
3	Trump	Trump donates first salary check to NationalParkService	FAVOR	2017-04-03 21:28:42
4	Trump	Trump says he will give away salary	FAVOR	2017-03-16 17:09:14
5	Trump	Trump takes 400k salary down from Treasury	FAVOR	2017-03-14 01:52:32
6	Trump	trumpsalary taking for salary	FAVOR	2017-03-20 17:48:23
7	Trump	Journalist Wants President Trump To Donate Salary To Press Corps charity	FAVOR	2017-03-26 23:12:49
8	Trump	TrumpSalary fathers wanted president to take salary	FAVOR	2017-03-18 23:28:17
9	Trump	Where should donate salary	NONE	2017-03-16 16:28:41
10	Trump	Crooked Donnie will donate salary at end of year	NONE	2017-03-14 11:47:55
11	Trump	White House announced today that $400 thousand presidential salary will be donated to charity at end of year	FAVOR	2017-03-13 20:18:34
