ID	Target	Tweet	Stance
1	mayor	Jan 10, 2015 ... Yemeni journalist says Said Kouachi briefly roomed with AbdulMutallab ... an  operation by security forces, the mayor of Othis, Bernard Corneille, told CNN. ...  The two men killed northeast of Paris were the Kouachi brothers, alleged to ...  terrorist attack on the Paris offices of satirical magazine Charlie Hebdo.	AGAINST
2	mayor	Jan 21, 2015 ... France: Raids kill 3 suspects, including 2 wanted in Charlie Hebdo attack ..... the  suspected hostage-taker at the Paris grocery store, told CNN ... where brothers  Cherif and Said Kouachi ended up in a print shop in an ..... hiding in the building  was safe, said Bernard Corneille, the mayor of nearby Othis.	AGAINST
3	mayor	Jan 21, 2015 ... What we know: Security forces killed Charlie Hebdo attack suspects Said and ...  25 miles northeast of central Paris, according to district Mayor Bernard Corneille.  ... The Kouachi brothers came out of a shop where they'd holed up and ...  Lawmaker Yves Albarello -- the local member of Parliament for the ...	FAVOR
4	mayor	Jan 21, 2015 ... Charlie Hebdo attack: Helicopters hunt for suspects in woods of France .... Cherif  and Said Kouachi, the two brothers wanted in the case, were killed by ..... Said  Kouachi went to Yemen for training, a French official told CNN. ... One person  was arrested, Paris Deputy Mayor Patrick Klugman said, though it's ...	FAVOR
5	mayor	"Jan 9, 2015 ... How the Kouachi brothers turned to terrorism .... who are the leading suspects in  Wednesday's attack on the magazine Charlie Hebdo in ... BFM saying, ""We are  just telling you that we are the defenders of Prophet Mohammed."	AGAINST
6	mayor	Jan 14, 2015 ... A closer look at the French terror suspects ... 'Charlie Hebdo does not stop  people from believing' .... The Kouachi brothers, of Algerian descent, lost their  father when ... of the young and disenfranchised youths at the local mosque Adda 'wa, ..... the World Trade Center and the Pentagon, sources told CNN.	FAVOR
7	mayor	"The Kouachi brothers ""legitimately aligned with AQAP"" and Cherif Kouachi ... a  northwestern suburb of Paris, according to the local police department. ... Kerry  and Fabius also paid their respects at the offices of Charlie Hebdo. Francois  Vauglin, the mayor of Paris' 11th district, where the offices are located, told CNN  that ..."	FAVOR
8	mayor	Kouachi, #CharlieHebdo, Local Mayor, Breaking News, Get all the Latest news,  ... local mayor tells @cnn #charliehebdo suspects #kouachi bros are dead.	FAVOR
9	mayor	Paris (CNN) - Cherif and Said Kouachi, the two brothers wanted in the massacre  at ... killed by security forces in a town where they'd been surrounded, a local  mayor said. ... brothers -- the suspects in the massacre at the offices of Charlie  Hebdo ... Paris, police union spokesman Romain Fabiano told CNN affiliate  BFMTV.	AGAINST
10	mayor	Jan 9, 2015 ... Suspected Charlie Hebdo shooters Cherif and Said Kouachi took a ... suspects,  the #KouachiBrothers, both killed, local mayor tells CNN.	FAVOR
11	mayor	"On 7 January 2015 at about 11:30 local time, two brothers, Sa�d and Ch�rif  Kouachi, forced ... A major manhunt led to the discovery of the suspects, who  exchanged fire with police. The brothers ..... Kouachi wanted to attack Jewish  targets in France, but Benyettou told him that France, unlike Iraq, was not ""a land  of jihad""."	NONE
12	mayor	Jan 9, 2015 ... The Kouachi brothers, the suspects in Wednesday's killing of 12 ... told to stay  inside, and schools are on lockdown, the mayor's media office told CNN on  Friday. • The principal of a local primary school told CNN that police ...	AGAINST
13	mayor	Jan 9, 2015 ... ... by security forces, the mayor of Othis, France, Bernard Corneille, told CNN. ...  The two men killed northeast of Paris were the Kouachi brothers, also alleged to  ... A French source close to the French security services told CNN that ... The  local baker, whose name was given only as Salah, said the younger ...	AGAINST
14	mayor	Jan 8, 2015 ... CNN's report says specifically that Said Kouachi is thought to have received ...  Confirmed: Two suspected gunmen in Paris attacks were on the U.S. no-fly list ...  that the Kouachi brothers were known to the U.S. intelligence community, ... at 8  p.m. local time to honor the victims of the Charlie Hebdo massacre.	NONE
15	mayor	Jan 8, 2015 ... One person was arrested in that incident, Paris Deputy Mayor ... A U.S. law  enforcement official tells CNN that the Kouachi brothers were ... One of the  brothers suspected in the Charlie Hebdo attack traveled to .... Local News ...	AGAINST
16	mayor	Jan 7, 2015 ... ... men, who Paris Deputy Mayor Patrick Klugman told CNN are brothers in their  30s. ... CNN has not independently confirmed whether the suspect has  surrendered. ... intelligence source briefed on the French investigation told CNN.  ... Charlie Hebdo editor and cartoonist Stephane Charbonnier, known as ...	AGAINST
17	mayor	Jan 9, 2015 ... It's our job to #GoThere & tell the most difficult stories. .... BREAKING: Suspects in  the #CharlieHebdo attack are dead, local mayor says. ..... @CNN Police say the  suspects, brothers Cherif and Said Kouachi, have been killed.	AGAINST
18	mayor	Jan 8, 2015 ... Paris Cop Fatally Shot as France Mourns Charlie Hebdo Massacre ... The  shooting occurred in southwestern suburb of Montrouge at about 8 a.m. local  time (2 a.m. ... two heavily-armed brothers suspected of carrying out  Wednesday's ... Montrouge mayor Pierre Brossollette told The Associated Press  that ...	FAVOR
19	mayor	Jan 9, 2015 ... Paris (CNN)Cherif and Said Kouachi, the two brothers wanted in the massacre at  the ... by security forces in a town where they'd been surrounded, a local mayor  said. ... the suspects in the massacre at the offices of Charlie Hebdo ... A  salesman, who identified himself only as Didier, told France Info radio ...	AGAINST
20	mayor	Jan 7, 2015 ... Update 9:11 p.m. ET: CNN is reporting that French police have released ... U.S.  officials is reporting that one suspect in the shooting has been killed and ... in the  Charlie Hebdo attack, but Paris' deputy mayor told CNN that he gave ... a local  police source that Paris officers are searching for two brothers from ...	FAVOR
