ID	Target	Tweet	Stance	Date
1	MikeBrown	police shooting in protest-plagued Ferguson	NONE	2014-08-13 11:40:23
2	MikeBrown	Police plan to release name of officer	NONE	2014-08-15 13:20:23
3	MikeBrown	Police have named cop who shot Michael Brown	NONE	2014-08-15 15:10:53
4	MikeBrown	Police have brought large gear in Ferguson	NONE	2014-08-09 23:25:09
5	MikeBrown	police treat white opencarry supporter vs unarmed black teen	NONE	2014-08-10 17:07:26
6	MikeBrown	police are using military suppression tactics on unarmed civilians	NONE	2014-08-10 01:57:13
7	MikeBrown	Police have brought out large gear in Ferguson	NONE	2014-08-09 23:30:55
8	MikeBrown	Police are using military weapons to occupy Ferguson Missouri	FAVOR	2014-08-13 17:57:09
9	MikeBrown	officer who killed Michael Brown last week police identify Darren Wilson as officer	NONE	2014-08-15 13:46:37
10	MikeBrown	Police have brought out large gear in Ferguson	NONE	2014-08-09 23:30:55
11	MikeBrown	Ferguson police beat man	NONE	2014-08-15 15:09:48
12	MikeBrown	ferguson police say Brown wasn't even robbery suspect when he was shot	NONE	2014-08-15 20:48:21
13	MikeBrown	Ferguson police charged man with property damage because blood got on uniforms	NONE	2014-08-15 15:24:54
14	MikeBrown	Ferguson police beat wrong suspect	NONE	2014-08-15 16:12:11
15	MikeBrown	Ferguson police beat wrong suspect	NONE	2014-08-15 16:12:11
16	MikeBrown	Ferguson police say Michael Brown was robbery suspect	NONE	2014-08-15 17:23:49
17	MikeBrown	Ferguson police say Michael Brown fit description of strong-arm robbery suspect	NONE	2014-08-15 14:12:25
18	MikeBrown	Ferguson police identify officer officer who shot Michael Brown	NONE	2014-08-15 13:52:49
19	MikeBrown	Ferguson police have identified Darren Wilson as cop shot who and killed Michael Brown	FAVOR	2014-08-15 13:51:00
20	MikeBrown	Ferguson police beat wrong suspect	NONE	2014-08-15 16:12:11
21	MikeBrown	Ferguson police refuse to say who killed Michael Brown	NONE	2014-08-13 15:49:04
22	MikeBrown	unarmed crowd is raising hands Ferguson Police have dogs and shotguns	NONE	2014-08-10 02:20:19
23	MikeBrown	Ferguson police tell resident girl was shot in head	NONE	2014-08-13 15:12:25
24	MikeBrown	unarmed crowd is raising hands Ferguson Police have and shotguns	NONE	2014-08-10 01:52:42
25	MikeBrown	Ferguson police have brought dogs into neighborhood	NONE	2014-08-10 01:46:49
26	MikeBrown	Ferguson police charged man w/ destruction of property for bleeding on uniforms	NONE	2014-08-15 13:26:37
27	MikeBrown	kid was jaywalking BS Ferguson police chief says cop didn't know about robbery when he stopped MikeBrown	FAVOR	2014-08-15 20:27:19
28	MikeBrown	Ferguson police chief announced officer Darren Wilson shot unarmed teen	FAVOR	2014-08-15 13:48:19
29	MikeBrown	Ferguson police chief says officer Darren Wilson didn't know MikeBrown was robbery suspect	NONE	2014-08-15 19:40:04
30	MikeBrown	Ferguson police chief identifies Darren Wilson as cop who shot Michael Brown	NONE	2014-08-15 14:24:46
31	MikeBrown	Ferguson police chief confirmed stop of MikeBrown	FAVOR	2014-08-15 19:12:10
32	MikeBrown	Ferguson police chief speaks with protesters	NONE	2014-08-15 11:45:52
33	MikeBrown	Ferguson police chief has endangered PeaceInFerguson and someone	NONE	2014-08-15 19:17:08
34	MikeBrown	Ferguson police chief identifies cop who shot Michael Brown as Darren Wilson	NONE	2014-08-15 13:46:58
35	MikeBrown	shot MichaelBrown is Darren Wilson Ferguson Chief confirmed name of officer	NONE	2014-08-15 16:06:50
36	MikeBrown	Ferguson chief says police officer might not have even known about robbery when he shot and killed Michael Brown	FAVOR	2014-08-15 19:11:14
37	MikeBrown	Ferguson chief says that robbery DOES NOT relate to initial contact between Darren Wilson and Michael Brown	NONE	2014-08-15 19:07:12
38	MikeBrown	ferguson chief says name of officer that shot MichaelBrown will be released morning	NONE	2014-08-15 11:26:16
39	MikeBrown	People marching to Ferguson Police Dept headquarters	NONE	2014-08-10 00:18:38
40	MikeBrown	People marching to Ferguson Police Dept headquarters	NONE	2014-08-10 00:18:38
41	MikeBrown	People are now matching to Ferguson Police Dept headquarters	NONE	2014-08-10 00:08:00
42	MikeBrown	What are Ferguson Police hiding about drive by shooting of black woman	NONE	2014-08-13 09:54:29
43	MikeBrown	Ferguson PD charged HenryDavis w/ destruction of property for bleeding on uniforms	AGAINST	2014-08-15 20:26:04
44	MikeBrown	Ferguson PD said Officer Darren Wilson was responding to robbery	NONE	2014-08-15 13:55:06
45	MikeBrown	Ferguson PD beat black man	NONE	2014-08-15 14:31:07
46	MikeBrown	Ferguson PD beat for bleeding on officer's clothes	NONE	2014-08-15 16:38:40
47	MikeBrown	BASIS DID NAME HIM Ferguson PD made MikeBrown suspect in that robbery police report	FAVOR	2014-08-15 15:56:44
48	MikeBrown	how do police shoot unarmed black men	NONE	2014-08-15 14:01:08
49	MikeBrown	How Do Police Shoot Unarmed Black Men	NONE	2014-08-15 19:33:36
50	MikeBrown	Cops shoot unarmed young man then bring dogs out to handle crowd	NONE	2014-08-10 01:47:20
51	MikeBrown	cops shoot unarmed kid then put town under effective martial law In USA In	AGAINST	2014-08-13 07:30:13
52	MikeBrown	Ferguson cops beat man	NONE	2014-08-15 12:52:10
53	MikeBrown	Ferguson cops beat man	NONE	2014-08-15 12:52:10
54	MikeBrown	Ferguson cops beat innocent man	NONE	2014-08-15 18:38:16
55	MikeBrown	Ferguson cops beat innocent man	NONE	2014-08-15 18:38:16
56	MikeBrown	Michael Brown slams Ferguson police	NONE	2014-08-15 17:39:42
57	MikeBrown	Michael Brown was suspected of robbing store in Ferguson before being shot	NONE	2014-08-15 16:00:49
58	MikeBrown	Michael Brown came after teen was suspect in robbery	NONE	2014-08-15 16:17:15
