ID	Target	Tweet	Stance	Date
1	A320	Co-Pilot Locked Out Of Cockpit Before Fatal Plane Crash Germanwings	NONE	2015-03-26 00:01:57
2	A320	co-pilot crashed Germanwings plane killing 150 people yet	NONE	2015-03-27 01:28:03
3	A320	Germanwings crash victims include 72 German citizens	NONE	2015-03-25 11:55:07
4	A320	Germanwings crash plane	NONE	2015-03-24 11:32:55
5	A320	Germanwings crash plane	NONE	2015-03-24 11:32:55
6	A320	Germanwings says 144 passengers and 6 crew members were aboard jet crashed in France	NONE	2015-03-24 12:35:51
7	A320	Germanwings has crashed in Southern France	NONE	2015-03-24 10:44:15
8	A320	Germanwings has darkened logo on Twitter after crash in French alps	NONE	2015-03-24 12:17:29
9	A320	Germanwings crash in Alps 4U9525 Germany	NONE	2015-03-24 11:36:36
10	A320	thoughts are with families of passengers on board of Germanwings Airbus A320	FAVOR	2015-03-24 11:33:48
11	A320	thoughts are with friends and family of passengers of Germanwings flight	FAVOR	2015-03-24 13:18:05
12	A320	EU services will assist in investigation thoughts are w/ families of passengers	NONE	2015-03-24 11:36:43
13	A320	thoughts go out to victims	NONE	2015-03-24 16:03:15
14	A320	thoughts are with families and friends of those aboard Germanwings flight	NONE	2015-03-24 11:37:12
15	A320	thoughts are members on board flight and loved ones	NONE	2015-03-24 14:46:42
16	A320	thoughts are with passengers and crew of flight	NONE	2015-03-24 11:56:42
17	A320	thoughts are with families and crew of following loss of 4U9525	NONE	2015-03-24 13:45:47
18	A320	thoughts are with people on missing Germanwings flight and families	NONE	2015-03-24 11:27:24
19	A320	thoughts are with and families	NONE	2015-03-24 11:28:34
20	A320	Germanwings Airbus A320 crashes in French Alps near Digne	FAVOR	2015-03-24 10:43:44
21	A320	flightradar data shows flight Germanwings Airbus A320 crashes in French Alps	FAVOR	2015-03-24 11:26:39
22	A320	Germanwings Airbus A320 has crashed in French Alps near Digne	FAVOR	2015-03-24 10:51:21
23	A320	Germanwings Airbus A320 crashes near small town of Barcelonnette in Alpes-de-Haute-Provence 4U9525	FAVOR	2015-03-24 11:22:00
24	A320	Germanwings Airbus A320 crashes in French Alps	FAVOR	2015-03-24 11:21:02
25	A320	Germanwings Airbus A320 climbed to 38,000 feet before starting to descend and lose signal	AGAINST	2015-03-24 13:45:57
26	A320	Germanwings Airbus A320 crashes in French Alps	FAVOR	2015-03-24 11:21:02
27	A320	Germanwings plane descended at unprecedented rate	NONE	2015-03-24 12:47:16
28	A320	Germanwings plane did NOT report distress signal	FAVOR	2015-03-24 13:27:00
29	A320	Germanwings plane shows rapid descent	NONE	2015-03-24 10:55:08
30	A320	Germanwings plane crashes in southern France	NONE	2015-03-24 11:24:13
31	A320	GermanWings plane is believed to have crashed shortly after distress call reporting abnormal situation	FAVOR	2015-03-24 12:01:06
32	A320	Germanwings plane crashes in southern France	NONE	2015-03-24 11:24:13
33	A320	Germanwings plane crashes in French Alps with 148 people	NONE	2015-03-24 11:14:16
34	A320	Germanwings plane crashes in France	NONE	2015-03-24 11:16:33
35	A320	Germanwings plane crashes route from Barcelona to Dusseldorf	NONE	2015-03-24 11:26:08
36	A320	Germanwings plane crashes in southern France	NONE	2015-03-24 11:24:13
37	A320	Germanwings budget airline was flying from Barcelona to Dusseldorf Plane crashes in southern France	NONE	2015-03-24 11:54:01
38	A320	plane crashed in southern France GermanWings	NONE	2015-03-24 10:42:07
39	A320	Germanwings flight crashes in French Alps plane was at low altitude	NONE	2015-03-24 13:12:09
40	A320	142 people were on board Plane flying form Barcelona to Frankfurt crashes in France	NONE	2015-03-24 11:25:23
41	A320	plane crash planecrash Report	NONE	2015-03-26 00:14:19
