ID	Target	Tweet	Stance
1	co-pilot	"Mar 27, 2015 ... The pilot who appears to havedeliberately crashed a plane carrying 149 others  into the FrenchAlps received psychiatric treatment for a ""serious ..."	FAVOR
2	co-pilot	Mar 27, 2015 ... The pilot who appears to have deliberately crashed a plane carrying 149 others  into the French Alps received psychiatric treatment for a ...	FAVOR
3	co-pilot	Mar 27, 2015 ... Germanwings co-pilot had serious depressive episode. Reuters T+ T-. A  Germanwings flight is seen before departure at Barcelona's El Prat ...	FAVOR
4	co-pilot	Mar 31, 2015 ... Lufthansa knew of co-pilot's past 'deep depressive episode'. By Leonard Greene  ... Germanwings pilot's dad says he has evidence to clear his son ... “I seriously  sometimes wondered who is sitting next to me in the cockpit.	AGAINST
5	co-pilot	"Mar 27, 2015 ... Co-pilot Andreas Lubitz, suspected of deliberately crashing an A320 plane in ...  he was diagnosed with a serious depressive episode and went on to ... clue as to  what has happened"" had been found during the search of the ..."	AGAINST
6	co-pilot	"Mar 31, 2015 ... The Alps crash co-pilot Andreas Lubitz informed Lufthansa's flight school in 2009  of a ""serious depressive episode"", the airline says. ... his plane into the Alps had  disclosed an earlier bout of depression, Lufthansa has said."	FAVOR
7	co-pilot	"Mar 27, 2015 ... The Germanwings co-pilot reportedly received psychiatric treatment for a 'serious  depressive episode' several years ago ... Bild also reported that Lubitz had a "" serious relationship crisis"" with his girlfriend before the crash, ..."	FAVOR
8	co-pilot	"Mar 27, 2015 ... Update: Police said they had no ""smoking gun"" after a search of Germanwings co -pilot Andreas Lubitz's home, after tabloid Bild reported on ..."	FAVOR
9	co-pilot	Mar 27, 2015 ... (Reuters) - The pilot who appears to have deliberately crashed a plane carrying  149 others into the French Alps received psychiatric treatment ...	FAVOR
10	co-pilot	"Mar 31, 2015 ... Germanwings co-pilot told Lufthansa flight school of 'serious ... about a 'past  episode of severe depression',"" Lufthansa said, adding that it had ..."	FAVOR
11	co-pilot	"Mar 31, 2015 ... Lufthansa: Co-pilot reported ""serious depressive episode"" 6 years ago ... The  Germanwings crash has already produced some changes in ..."	FAVOR
12	co-pilot	Mar 27, 2015 ... Germanwings crash pilot planned big gesture ... least one “serious depressive  episode” so bad that he had to suspend flight training for several ...	NONE
13	co-pilot	Mar 31, 2015 ... Germanwings co-pilot told flight school of depressive episode: Lufthansa ... flight  school in 2009 that he had had a “serious depressive episode.	FAVOR
14	co-pilot	"Mar 27, 2015 ... Germanwings co-pilot Andreas Lubitz underwent psychiatric treatment for a "" serious depressive episode"" six years ago, according to a report. ... recently split  with his girlfriend, leaving Lubitz — who had a history of depression ..."	FAVOR
15	co-pilot	"Mar 13, 2016 ... Germanwings crash: Co-pilot showed symptoms consistent with ... Lubitz had  suffered from depression in the past, but authorities and ... episode,"" said Arnaud  Desjardin, leader of the BEA's Germanwings investigation. ... ""I think the  Germanwings accident is more of a symptom than the major issue,"" he said ..."	AGAINST
16	co-pilot	Sep 21, 2015 ... The co-pilot's girlfriend has told investigators she had no idea he had ... Lubitz  had suffered a previous major depressive episode in 2008, ...	FAVOR
17	co-pilot	"German prosecutors say the co-pilot who crashed Germanwings Flight 9525 ...  the fact that Germanwings co-pilot Andreas Lubitz had suffered from depression  ... in the French Alps last week had suffered from a ""serious depressive episode,""  ..."	AGAINST
18	co-pilot	Mar 31, 2015 ... Germanwings crash: Lufthansa reveals co-pilot Andreas Lubitz informed his flight  school he had suffered a 'serious depressive episode' in ...	FAVOR
19	co-pilot	"Mar 27, 2015 ... The co-pilot believed to have deliberately crashed a Germanwings ... hid an  unspecified medical condition from his employer and had torn-up ... received  psychiatric treatment for a ""serious depressive episode"" six years ago."	AGAINST
20	co-pilot	"Mar 31, 2015 ... The co-pilot of the Germanwings jet that crashed in the French Alps last ... flight  school in 2009 that he had had a ""serious depressive episode,"" ..."	AGAINST
