ID	Target	Tweet	Stance
1	Bern	Jul 10, 2017 ... ... Cornelius Gurlitt at the Museum of Fine Arts Bern (Kunstmuseum Bern). ... Fine  Arts Bern (Kunstmuseum Bern) that will host the spectacular estate of ... the  morality of institutions accepting and showing suspected Nazi loot, ...	AGAINST
2	Bern	Nov 24, 2014 ... Christoph Sch�ublin, president of the Kunstmuseum Bern's board of trustees,  said they will accept works from the late Cornelius Gurlitt, whose ...	AGAINST
3	Bern	The Kunstmuseum Bern Foundation (hereinafter referred to as “the Foundation”)  is a ... The Foundation has agreed to accept the estate of Cornelius Gurlitt.	AGAINST
4	Bern	Nov 24, 2014 ... The Swiss art museum Kunstmuseum Bern said it would accept artworks ... that it  would accept the estate of the late Cornelius Gurlitt. Mr. Gurlitt ...	AGAINST
5	Bern	Nov 1, 2017 ... After Cornelius Gurlitt (1932–2014) unexpectedly made the ... under the title  Gurlitt: Status Report a selection from this large estate to the public.	NONE
6	Bern	Nov 24, 2014 ... The Kunstmuseum Bern announced today in Berlin that it will accept the art  collection from Cornelius Gurlitt. Lynda Albertson, ARCA's CEO, ...	AGAINST
7	Bern	Feb 2, 2017 ... Gurlitt Art Collection: Kunstmuseum Bern accepts bequest from ... Streaming link  for the Joint Press Conference on Cornelius Gurlitt estate.	AGAINST
8	Bern	Jan 2, 2018 ... Bern Fine Arts Museum Gurlitt exhibition attracts droves of visitors ... by Cornelius  Gurlitt at the Fine Arts Museum in the Swiss capital, Bern, ... Kunstmuseum Bern  Exhibition traces origin of artworks .... Bern's Fine Arts Museum (Kunstmuseum  Bern) has agreed to accept the inheritance of Cornelius Gurlitt's ...	AGAINST
9	Bern	Jan 31, 2018 ... The paintings that Cornelius Gurlitt, son of a Third Reich art dealer, kept ... At the  Kunstmuseum Bern (until 4 March), to which Cornelius Gurlitt left his art in ... a 30 -year statute of limitations on property claims, including restitution disputes. ... Is it  valid, I ask him, to say that after 75 years we should accept the ...	AGAINST
10	Bern	Nov 24, 2014 ... ... Kunstmuseum Bern has accepted the bequest of Cornelius Gurlitt. ... of Mr  Gurlitt and of any further artworks in Gurlitt's estate should they ...	AGAINST
11	Bern	Nov 24, 2014 ... The Kunstmuseum Bern on Monday agreed to accept artworks from the collection  of Hildebrand Gurlitt, whose son Cornelius Gurlitt willed ... Should further  artworks in Gurlitt's estate emerge, the Bern museum is pledging to ...	AGAINST
12	Bern	Nov 28, 2014 ... Obituaries · Real Estate ... Swiss museum releases lists of works from Cornelius  Gurlitt art trove ... The Swiss museum that recently accepted works of art from the  trove of the late Cornelius Gurlitt has ... On Thursday, the Kunstmuseum Bern  said the lists are a work in progress and still need to be completed.	AGAINST
13	Bern	Dec 15, 2016 ... ... the controversial bequest of Cornelius Gurlitt to the Kunstmuseum Bern. ... and  it was revealed that he had left his property to the Bern museum. ... even while  happily accepting a restitution recently of a tapestry from the ...	AGAINST
14	Bern	The Museum of Fine Arts Bern (German: Kunstmuseum Bern), established in  1879 in Bern, the ... The estate comprised more than 1,400 artworks found in the  2012 Munich ... The museum was given six months to decide whether it would  accept the ... (There was concern that if the collection were dispersed among  Gurlitt's ...	AGAINST
15	Bern	An article on Nazi-looted art, the Monuments Men, and the “Gurlitt Collection”  examining ... to the art objects in Cornelius Gurlitt's collection of legally acquired,  and looted, art, ... The museum was given six months to accept the gift. In  November, mere days before the museum made its announcements, an estate  issue arose.	FAVOR
16	Bern	Nov 3, 2017 ... When Cornelius Gurlitt died in 2014, the unsuspecting sole beneficiary of his will  was Bern's Kunstmuseum, which hesitated before accepting ...	AGAINST
17	Bern	The Kunstmuseum in Bern, Switzerland, is shown in May, 2014. The Swiss  museum says that it will accept trove of priceless art bequeathed to it by German  ...	AGAINST
18	Bern	Oct 27, 2017 ... Kunstmuseum Bern and the Bundeskunsthalle in Bonn will present the works  found in the homes of Cornelius Gurlitt in two parallel shows called Gurlitt Status  Report .... Europe's cultural property – questioned him on his connection to the ...  The Guardian's independent, investigative journalism takes a lot of ...	AGAINST
19	Bern	Bern declares that it will accept the bequest – Berlin, Munich, and Bern sign an ...  Cornelius Gurlitt's decision to bequeath his estate to the Kunstmuseum Bern.	AGAINST
20	Bern	The Diploma in Intellectual Property and Collections (DipIPC) course, aimed at ...  Uta Werner, the cousin of late Cornelius Gurlitt, has decided to appeal against  the ... The Probate Court did not accept Ms Werner's claim that Mr Gurlitt was […]  ... the Kunstmuseum Bern explained that, due to the legal challenge to Cornelius  ...	FAVOR
