ID	Target	Tweet	Stance	Date
1	show	Prince will not be performing at Massey Hall Tonight	AGAINST	2014-11-04 19:50:10
2	show	Prince is playing surprise show tonight at Massey Hall	FAVOR	2014-11-04 16:00:54
3	show	Prince rumoured to be performing in surprise show in Toronto	AGAINST	2014-11-04 15:19:33
4	show	Live Nation says PrinceTO cbcto Prince playing Massey Hall	FAVOR	2014-11-04 20:22:59
5	show	Prince is playing Massey Hall tonight	FAVOR	2014-11-04 13:46:05
6	show	Prince will not be performing at Massey Hall tonight	AGAINST	2014-11-04 20:39:08
7	show	Prince played for 2 hours in backyard Toronto	FAVOR	2014-11-04 21:37:23
8	show	Prince will not be performing at Massey Hall tonight	AGAINST	2014-11-04 20:39:08
9	show	prince is performing sent by friend toronto prince tdot concert	FAVOR	2014-11-04 18:31:17
10	show	Prince will not be performing at tonight	AGAINST	2014-11-04 21:11:40
12	show	Prince rumoured to be performing surprise show in Toronto	AGAINST	2014-11-04 16:58:50
13	show	PRINCE doing surprise show at Massey Hall in Toronto today	FAVOR	2014-11-04 14:37:21
14	show	Prince is doing secret concert in Toronto	FAVOR	2014-11-04 18:24:53
15	show	prince is having show in toronto tdot gta prince concert	FAVOR	2014-11-04 18:03:39
16	show	Prince will not be performing at Massey Hall tonight	AGAINST	2014-11-04 20:39:08
17	show	Prince will not be performing at tonight	AGAINST	2014-11-04 21:11:40
19	show	Prince performs surprise show at Massey Hall tonight	FAVOR	2014-11-04 15:00:24
20	show	Prince confirms he is playing surprise show tonight in pillows section of former Big Bop concert hall	FAVOR	2014-11-04 22:08:27
24	show	Prince is playing secret show in Toronto tonight	FAVOR	2014-11-04 15:43:49
26	show	Prince Playing Surprise Show in Toronto Tonight	FAVOR	2014-11-04 16:02:11
27	show	Prince playing Massey Hall tonight	FAVOR	2014-11-04 21:00:25
28	show	Prince will not be performing at tonight	AGAINST	2014-11-04 21:11:40
29	show	Prince won't be performing tomorrow night either	AGAINST	2014-11-04 20:17:24
30	show	Prince playing Toronto MasseyHall tonight	FAVOR	2014-11-04 16:07:25
31	show	Prince arrived in Toronto	NONE	2014-11-04 22:08:24
34	show	Live Nation quashes Prince rumour	NONE	2014-11-04 20:43:29
35	show	Live Nation says is Prince show at Massey Hall tonight Toronto	FAVOR	2014-11-04 19:53:05
36	show	Live Nation tweeting Prince won't be performing tomorrow night either	AGAINST	2014-11-04 20:15:44
38	show	Live Nation says is Prince show at Massey Hall tonight Toronto	FAVOR	2014-11-04 19:53:05
39	show	Live Nation has confirmed that Prince will NOT be performing in Toronto tonight	AGAINST	2014-11-04 20:05:53
40	show	Live Nation confirms Prince show tonight	FAVOR	2014-11-04 20:53:05
41	show	Elmo closes week Live Nation says Prince isn't playing at Massey Hall	AGAINST	2014-11-04 20:07:28
42	show	Prince fans lining at Massey Hall	NONE	2014-11-04 14:56:46
43	show	Prince fans lined outside Massey Hall say they are disappointed after security says PRINCE SHOW	AGAINST	2014-11-04 19:54:26
44	show	Prince fans lining at Massey Hall	NONE	2014-11-04 14:56:46
45	show	Prince fans holding hope outside Massey Hall after being told there will be show tonight	AGAINST	2014-11-04 20:40:34
46	show	Security said is Prince show tonight in Toronto	FAVOR	2014-11-04 19:51:31
51	show	LiveNation confirms that Prince will not be performing at Massey Hall tonight	AGAINST	2014-11-04 19:55:42
52	show	LiveNation confirms Prince will not be playing Massey Hall tonight	AGAINST	2014-11-04 20:38:57
53	show	LiveNation confirms that Prince will not be performing at Massey Hall tonight	AGAINST	2014-11-04 19:56:01
55	show	Massey Hall has confirmed Prince will not be playing surprise show tonight	AGAINST	2014-11-04 22:13:05
56	show	Massey Hall quashed by Live Nation	FAVOR	2014-11-04 20:12:07
57	show	rumour has it he is doing show tonight at Massey Hall -LM	FAVOR	2014-11-04 15:18:20
58	show	Event promoter says surprise Prince show at Massey Hall Tuesday	FAVOR	2014-11-04 20:25:25
60	show	Prince show hitting Toronto tonight	FAVOR	2014-11-04 13:35:14
