ID	Target	Tweet	Stance
1	show	Nov 4, 2014 ... Fans and music business types started lining up early Tuesday morning outside  Toronto's Massey Hall for a concert tonight by Prince ...	FAVOR
2	show	Nov 4, 2014 ... It looks like your purple dreams may come true: rumours are flying this morning  about a secret Prince show at Massey Hall going on tonight.	FAVOR
3	show	Oct 30, 2016 ... When Harry met Meghan … in Toronto: Prince Harry rumoured to be ... Prince  Harry was secretly dating the American actress after they met in Canada. ... it  comes and just enjoying each other's company but it's fair to say that ...	NONE
4	show	"May 19, 2015 ... CTV Toronto: Two surprise Prince shows in T.O ... the cold when it was rumoured  the ""1999"" singer would be playing a secret show in the city."	NONE
5	show	"Nov 2, 2016 ... Sources have claimed the Prince was a 'no-show' for a 11.30am flight ... flight  from Heathrow to Toronto yesterday when the media broke the ... He had booked  the secret trip to visit his 'girlfriend' Meghan Markle in .... Kensington Palace  would not comment on the rumoured romance as it's a ""private matter""."	AGAINST
6	show	Nov 3, 2016 ... Watch Prince Harry's Top Secret Trip To Toronto Video Online, ... has the latest  on Prince Harry's rumoured romance with Meghan Markle. more.	NONE
7	show	Nov 4, 2016 - 2 minWatch Paparazzi, security crowd Toronto with rumours of secret visit by Prince Harry Video ...	NONE
8	show	Nov 2, 2016 - 2 min - Uploaded by ET CanadaAs witnesses claim to have seen Prince Harry in person in Toronto over Halloween weekend ...	NONE
9	show	Nov 4, 2014 ... ... anticipation of a secret concert, before promoter Live Nation confirmed there  would be no Prince show on Tuesday and apologized to fans. ... Social media  had picked up on the rumour early Tuesday morning after the band ...	AGAINST
10	show	Nov 1, 2016 ... PRINCE Harry reportedly organised a secret trip to visit his ... planned a secret  trip to Canada to see his rumoured new girlfriend. ... British Airways flight from  Heathrow to Toronto yesterday when news about his new romance broke. “The  flight was booked last week but he was a no-show,” the source told ...	NONE
11	show	Mar 19, 2018 ... In her new book, Vanity Fair contributor Katie Nicholl reveals new details ... When  the story broke, Harry happened to be with Meghan in Toronto. ... girlfriend for the  first time since the rumors had started, Prince Harry claimed ... The Secret  Weapon Behind Meghan Markle's Recent Style SuccessVanity Fair.	NONE
12	show	Sep 25, 2017 - 1 minPrince Harry made a secret visit to the set of the TV show where his ... Rumours are swirling ...	NONE
13	show	Sep 25, 2017 ... Prince Harry and Meghan Markle made a public show of their relationship  Monday at the Invictus Games in Toronto -- after Harry met Melania Trump  Saturday. ... The couple, rumored to be contemplating an engagement, attended  the ... Harry secretly visited the set of “Suits” on Wednesday when he quietly ...	NONE
14	show	Nov 4, 2014 ... Can you keep a secret? ... Rumours of a line forming outside of #Toronto's @ masseyhall for two secret $10 Prince shows tonight. #AlwaysON.	AGAINST
15	show	Oct 31, 2016 ... Prince Harry Rumoured To Be Dating Toronto-Based Actress Meghan ... Markle,  an American who films her show in Ontario's capital, has since ...	NONE
16	show	"Oct 10, 2017 ... Reuters/Mark BlinchThe image shows Prince Harry and ""Suits"" actress Meghan  Markle, during the Invictus Games in Toronto, Ontario, Canada. ... affection, but  the two have still kept their engagement a secret for some reason."	NONE
17	show	Nov 5, 2016 ... The 'Suits' actress flashed a regal smile in Toronto on Wednesday. ... Meghan  Markle Spotted For First Time Since Prince Harry Romance Rumors -- See the  Pic! ... WATCH: Prince Harry Made a Secret Visit to Girlfriend Meghan Markle in ...  Drake Shows His Intense Emotions While Cheering on Serena ...	NONE
18	show	Nov 4, 2016 ... When news broke of Prince Harry's secret relationship with US TV actress  Meghan Markle, he was said to have cancelled a trip to Toronto to ...	NONE
19	show	Nov 21, 2017 ... Meghan Markle Moves Out of Toronto Apartment Ahead of Rumored Move to  London ... (and possibly final) season of the USA show, which is filmed in Toronto , Canada, ... Prince Harry and Meghan Markle: Romance Rewind.	NONE
20	show	Oct 31, 2016 ... 'Suits' star Meghan Markle: Five things you need to know about Prince Harry's  rumoured girlfriend ... A flurry of reports have pegged the pair as secretly dating,  but how much ... TAP TO VIEW FULL GALLERY Prince Harry and Meghan are ...  in Toronto, but she has also appeared in a number of other shows ...	NONE
