ID	Target	Tweet	Stance
954829800320876544	3	I was on Gabapentin for my migraine headaches, however, they were making me so tired and I could not remember anything! This is Why I Had To Get Off Of Gabapentin, I did not like what Gabapentin was doing to my body. Read My Story here: http://bit.ly/2rqhvk0 #Gabapentin pic.twitter.com/PJzxw9ETrT	AGAINST
954814469783343106	3	Didn't take it. About an hour earlier I took a small amount of #gabapentin, to fight withdrawal. Even though I didn't feel like it was gabapentin #withdrawal at the time, it seems to have been. I feel a little better now. Gabapentin is evil. #GabapentinCrisis #GabapentinEpidemic	AGAINST
954730746266243076	3	Officially placed 9th at #clarecastle #parkrun this morning even tho I got 8th on my token. Ran a naked 21.22 on 225mg of #pregabalin (not on the WADA list!) which was approx 30 secs slower than I’d hoped - slippy track tho #anyexcuse	AGAINST
954574160704999425	3	Profiles of #pregabalin #lyrica and #gabapentin #neurontin abuse by postmortem toxicology. https://www.ncbi.nlm.nih.gov/m/pubmed/24835028/?i=2&from=/21554310/related …	FAVOR
954562083571490817	3	Yep+Yep! #Neurontin/ #Gabapentin, I've learned [on here], is 1 of th nastiest drug evr. Am convinced that it + #ibuprofen r what caused gut 2practically explode w. infectn. Betwn all the WeightGain +other bad situations; had emergency gallbladder surg +was close2 mch worse Dr said	AGAINST
954447590296350720	3	Debating whether I should go ahead and take 200 mg of #gabapentin now (shortly before I know #withdrawal will kick in) or if I should wait another hour, when it most likely will have already started. Either way, I'm glad there's no withdrawal yet, six hours since last dose.	AGAINST
954420789071278080	3	By that logic anxiety, high BP and migraine aren’t different syndromes #propanalol neither are pain and fever #paracetamol or NP and seizures #Gabapentin etc. etc.	AGAINST
954394105701978112	3	Still refusing to up my gabapentin dose. It’s been since end of November that I decreased. I was hoping to decrease again, not sure at this point in time if that’ll ever get to happen. But I’m trying! #gabapentin #pain #pinchedneve #postconcussion #braininjury	AGAINST
954358838215528448	3	Calling all patent lawyers - especially if priority entitlement and SPCs are your thing. I have a theory why @pfizer might have allowed their #SPC for #pregabalin to lapse. Does it seem plausible? Does anyone know? @bengoldacre and I would like to know! http://www.ipalchemist.com/blog/why-were-the-spcs-for-pregabalin-allowed-to-lapse-i-have-a-theory/ …	FAVOR
954240522700447745	3	I got off #gabapentin once already. #Withdrawal wasn't so bad that time. Obviously because I was taking #oxycodone while titrating. Eases SOME withdrawl symptoms. This time I'm starting to understand why it takes some people months or years to get off gabapentin. Fuck gabapentin.	FAVOR
954190525875261443	3	More than a million Britons have been prescribed #pregabalin and #gabapentin to treat chronic pain and #anxiety. rbhttps://fb.me/8UR8FnlNT	AGAINST
954171646830628864	3	My Dr prescribed #Gabapentin for diabetic nerve pain, but it doesn't help with that. Helps a lot with Restless Leg Syndrome (RLS) though.	AGAINST
954138837608955904	3	FACT CHECK: Is #Gabapentin the Newest Prescription Drug Killer? https://www.snopes.com/gabapentin-newest-prescription-drug-killer/#.WmEymaBO0Kc.twitter …	AGAINST
954104513375457280	3	During my last involuntary stay at the OSU nuthouse, a younger former engineering grad student checked herself in basically so she could get #gabapentin for #heroin #withdrawal (because that's the one thing gabapentin is useful for). They wouldn't give it to her. Normal for them.	AGAINST
954034102642135040	3	As far as the drug #Gabapentin that is the most useless drug ever made. @US_FDA	AGAINST
954025060066516992	3	#Gabapentin has made me very stupid for the last year+. And very dangerously weak. And everything I really need to not be. #Poison	AGAINST
953832619019399168	3	#gabapentin is hell as are many of the other meds they prescribe to “help” you. https://twitter.com/aimlessryan/status/953717866993504256 …	AGAINST
953824695740112896	3	False, but #gabapentin's potential for abuse is greater than originally thought https://www.snopes.com/gabapentin-newest-prescription-drug-killer/ …	AGAINST
953767089621422081	3	I thought it would be easy to quit #pregabalin at a low dose. I cut right down from 600mg so I thought 25mg just to help me cope wouldn't be too bad. Actually, the sense of dread and anxiety is almost intolerable; awful.	FAVOR
953765204860555264	3	I don't think you'd completely withdrawn though. It causes worse anxiety and depression in withdrawal so it makes sense that you started taking it again to try & cope. #Pregabalin	FAVOR
953717866993504256	3	I took #oxycodone every day for five months in 2016, then again for a couple months in 2017. I have never withdrawn from #opioids. However, #gabapentin withdrawal has put me through hell for about the last month. And I'm still not off it.	AGAINST
953668049994944512	3	#Neurontin #gabapentin #chronicpain #spoonies Over-Hyped And Underwhelming https://www.acsh.org/news/2017/12/26/neurontin-over-hyped-and-underwhelming-12242 …	FAVOR
953639264734142471	3	Mmm, rock & a hard place! Im also on the dreaded #pregabalin only 100mg per day, for same ailment. The build up when starting is quite severe, weigh up the pros and cons, if not Dr can always prescribe the purple pill to help you out. Take care fella	FAVOR
953629087804854272	3	Ok the doc has given me #pregabalin to help out with back pain (arthritis) - however according to Wikipedia the side effects aren’t great. So much so I don’t even want to name one of them on here!! Views anyone?	AGAINST
953463536860135424	3	#Gabapentin #neurontin Side Effects by Likelihood and Severity https://www.webmd.com/drugs/2/drug-14208-8217/gabapentin-oral/gabapentin-oral/details/list-sideeffects …	AGAINST
953416613512077312	3	#Neurontin and #Lyrica #Adverse #Effects: The Saga Continues https://www.wellnessresources.com/news/neurontin-and-lyrica-adverse-effects-the-saga-continues …	AGAINST
953407294003433472	3	How to cure #Addiction. @Shoggoth_Queen @QSlhrinthianan @DarthEmpusa @Kaang_PILOT #AmityBronwen #Pregabalin https://youtu.be/ao8L-0nSYzg	AGAINST
953286610929545217	3	Several days ago when I said I thought I was about done with #gabapentin #withdrawal, I was wrong. If you're not already on it, stay the fuck away from gabapentin #poison. It doesn't help anything, then you have to go through hell to get off it. The Internet agrees unanimously.	FAVOR
952976062601990144	3	#addiction #treatment #alcoholawareness #AA don't take #gabapentin #neurontin in #rehab makes sicker & WITHDRAWALS	AGAINST
952974241011466241	3	#alcoholic #alcohol don't take #gabapentin #neurontin in #rehab makes folks sicker & another addiction took my daughter a year to get off it	AGAINST
952876660067586048	3	Interesting new drug combo - Naltrexone and Acamprosate - for alcohol. Article goes on to say Topiramate and #Gabapentin are second line. #BigPharma has to get into #alcohol market! After all, they got Contrave for #foodaddiction (bupropion/Naltrexone)https://www.mdedge.com/clinicalpsychiatrynews/article/155955/addiction-medicine/apa-guideline-backs-naltrexone-acamprosate …	AGAINST
952841805795680257	3	#Neurontin and #Lyrica are a #Death #Sentence for #New #Brain #Synapses : Shocking Study http://urhealthguide.com/neurontin-lyrica-death-sentence-new-brain-synapses-shocking-study/ … via @Your Health Guide	AGAINST
952825890747985920	3	#Lyrica #Pregabalin helps in the treatment of #neuropathic #pain. It secures nerve pain happen as of fibromyalgia, #diabetes, spinal cord injury. Patients can #buy_Lyrica in #USA #UK at #GenericEPharmacy in #Canada #Australia #California #London. Visit: http://www.genericepharmacy.net/buy-pregabalin-lyrica-online.html …pic.twitter.com/65DH6Nj7w9	AGAINST
952816235590295553	3	2 years off of Gabapentin today! I have brain & CNS damage, movement disorders & Aphasia & hypertonia etc etc. But I am ALIVE. #gabapentin #neurontin #brain #brainhealth #CNS #braindamage #BigPharma #Grateful #LifeIsBeautiful2018pic.twitter.com/K4dqeivJ5u	AGAINST
952695756670062593	3	Anticonvulsant Topiramate 25mg: Generic Topamax - What is #neurontin at http://PrescriptionCost.org . => http://topiramate25mg.com/l/g18/puo	NONE
