ID	Target	Tweet	Stance
951422124110983169	0	Remove The Everyday Struggle Of Nerve Pain With Lyrica Painkiller http://bit.ly/2mhqrm4 #health #lyrica #painkiller #nervepain #pain #jointpain #pregabalin pic.twitter.com/vjPQ0XzmTw	AGAINST
949447690525569026	0	CLICK HERE http://bit.ly/2zQD9R9 #How to #dose #gabapentin Chinese porn tape. How to enjoy yourself.	AGAINST
946340055001587712	0	Is Your Life Get Ceases Due To Seizures? Then Take Gabapentin....http://bit.ly/2ChZlW5 #seizures #Gabapentin #Neurontin #painkiller #nervepain #healthpic.twitter.com/6jPnp6grmj	AGAINST
945300616171196416	0	CLICK HERE http://bit.ly/2iAckHd #Freeforums #net #Adulterating #gabapentin #Shag #website	FAVOR
945244003691360257	0	CLICK HERE http://bit.ly/2iAcJJJ  Cool date #ideas downtown vancouver. How to #dose #gabapentin for anxiety.	FAVOR
941629774585200640	0	#Neuropathy Drugs #Gabapentin #Carbamazepine https://goo.gl/xPpzGE pic.twitter.com/FCnXmMwD6z	AGAINST
938338240700043264	0	CLICK HERE http://bit.ly/2zQCRd1 #Best #way to dose #neurontin	NONE
935395971818651649	0	#Gabapentin #Medicine- Dosage, Side-Effects, Interactions And Warninghttp://bit.ly/2BtOBQO	FAVOR
933986973466816512	0	Once Neuropathic Pain Happens, Be Brave Not Broken With Lyrica http://bit.ly/2hNgU4b #health #lyrica #pregabalin #nervepain #pain #paintabletspic.twitter.com/fG7JyHYX35	FAVOR
932771424732925954	0	Billion Dollar Drug Company Law Firm Restructures Connecticut Welfare System | CCHR International http://ow.ly/DBUK30gI5QC #Gabapentin	FAVOR
926679522224640000	0	Bring Back Your Days Without Neuropathic Pain Using Lyrica http://bit.ly/2zerCei #health #lyrica #painreleif #nervepain #pregabalin pic.twitter.com/cyxtESyS6u	AGAINST
924954699811512320	0	Is Neuropathy Hurting You Badly? Use Lyrica….http://bit.ly/2z1NhGg #lyrica #nervepain #Pregabalin #Neuropathicpainpic.twitter.com/gix4RjXm9r	AGAINST
919456220360204289	0	#Pregabalin( #Lyrica ) Related Hip #Fracture https://www.druginformer.com/search/side_effect_details/Pregabalin/hip%20fracture.html …pic.twitter.com/EbnPEdgnWJ	FAVOR
918739798583595009	0	#Pregabalin #Gabapentin http://www.bbc.co.uk/news/uk-england-41441857 … #knowthescore http://www.dan247.org.uk/Drug_Gabapentin.asp … or call @dan_247 on 0808 808 2234 #open247 (KH)	FAVOR
910398296530681856	0	Recognize And Cure Your Neuropathic Pain With Lyrica http://bit.ly/2xvw0Es #health #lyrica #nervepain #pain #pregabalin pic.twitter.com/TMEqY5eULz	AGAINST
910031036741951489	0	Never Overlook The Signs Of Neuropathic Pain, Opt For Lyrica http://bit.ly/2fv75XR #health #lyrica #nervepain #pregabalin pic.twitter.com/UpHBjtWSLy	AGAINST
909647516056018945	0	#Gabapentin Impurity | Olympus Chemicals & Fertilizers Visit @ https://goo.gl/FWeLuQ #health #Chemicals #INDUSTRY #Manufacturingpic.twitter.com/hXSLbLB7mB	AGAINST
908651852735987712	0	Scuffling Nerve Pain? Emerge A Winner With Lyrica http://bit.ly/2h6oDtv #health #lyrica #nervepain #pregabalin pic.twitter.com/9rDQ3AaPmd	AGAINST
905727101461946368	0	Lyrica Helps To Break The Nerve Agony Due To Nerve Damage http://bit.ly/2xdi8zD #health #lyrica #pain #pregabalin #nervepainpic.twitter.com/bnYMWWyClo	AGAINST
905368933666095104	0	Eradicate Your Crippling Nerve Ache By Using Lyrica……http://bit.ly/2eET8G2 #nervepain #lyrica #Pregabalin #fibromyalgia #diabeticneuropathpic.twitter.com/HY49yPfCAc	AGAINST
902067123798859777	0	Treat Neuropathy Of Foot Via Medicine Pregabalin Consisting Lyrica…..http://bit.ly/2whcg4P #nervepain #pregabalin #Epilepsy #Fibromyalgiapic.twitter.com/imjG0Fljf3	AGAINST
899533751260110848	0	#Gabapentin Impurity | Olympus Chemicals & Fertilizers Visit @ https://goo.gl/FWeLuQ #health #Chemicals #INDUSTRY #Manufacturingpic.twitter.com/21QnSc9ooY	FAVOR
898146474751557632	0	To Live Life Without The Killing Nerve Pain Choose Lyrica….http://bit.ly/2fO0WJv #nervepain #lyrica #fibromyalgia #pregabalin pic.twitter.com/IDVpiCXmi9	AGAINST
894872653772750850	0	Are Your Nerves On Fire (Neuropathic Pain) Then Use Lyrica http://bit.ly/2wDolAq #nervepain #health #Pregabalin #Neuropathic #Pain #Lyricapic.twitter.com/Ps9Q1vJvC8	AGAINST
892667988578451456	0	Use Lyrica To Omit Your Pain Due To Nerve Damage http://bit.ly/2vi5gH7 #health #lyrica #nervedamage #pregabalin pic.twitter.com/5DYXTl5vgO	AGAINST
891640141210677248	0	#Gabapentin http://www.journal-times.com/news/drug-reclassification-welcomed-by-most/article_00da9280-6703-11e7-a291-ff3e1f528278.html … | Drug reclassification welcomed by most	AGAINST
890508273002074112	0	Neurontin A Remarkable Remedy For Controlling The Seizures….http://bit.ly/2uA4vrN #seizures #Gabapentin #Neurontin #painkiller #nervepainpic.twitter.com/AzyZsF3Iaw	FAVOR
886640338793877504	0	#Patients With #Fibromyalgia, #Depression May Benefit From #Pregabalin http://ow.ly/5SWT30dyhFb pic.twitter.com/NxIoclzrLC	FAVOR
886391446231711744	0	#Gabapentin Awareness FB Community	FAVOR
885814040164945920	0	#PREGABALIN - IMPURITY D pic.twitter.com/K3bZgdt31A	NONE
884053019519848451	0	New On The Streets: Drug For Nerve Pain Boosts High For Opioid Abusers http://khn.org/NzQ1MDQ0  via @khnews #neurontin @1newstracker	AGAINST
883799903062949892	0	Gabapentin Boosts High For Opioid Abusers https://www.painnewsnetwork.org/stories/2017/7/6/gabapentin-boosts-high-for-opioid-abusers … #Gabapentin #Boosts #High #Opioids #Abusers #ChronicPain #addiction	FAVOR
